backend_lane,dense_kernel_s,device_to_host_s,device_transfer_count,h_attempted,host_to_device_s,segment_index,t_before,total_wall_s
hybrid_dense_core,0.583120112947654,0.005918641982134432,2,0.01,0.03740266099339351,0,0.0,1.2116803849930875
hybrid_dense_core,0.36759441200410947,0.005717774969525635,2,0.01,0.000623484025709331,1,0.01,0.7626952000427991
hybrid_dense_core,0.3700105309835635,0.00589139194926247,2,0.01,0.0005345450481399894,2,0.02,0.9976824859622866
hybrid_dense_core,0.3673589900135994,0.005731815996114165,2,0.01,0.0005663550109602511,3,0.03,1.0359420150052756
hybrid_dense_core,0.3671422189800069,0.005708594981115311,2,0.01,0.0005751429707743227,4,0.04,1.0508472410147078
hybrid_dense_core,0.36871701397467405,0.005758952000178397,2,0.01,0.0005341119831427932,5,0.05,1.1017606260138564
hybrid_dense_core,0.42302679002750665,0.005777460988610983,2,0.01,0.0005255519645288587,6,0.06,1.154273732972797
hybrid_dense_core,0.3695822450099513,0.005875401024241,2,0.01,0.0005562400328926742,7,0.07,1.1021021789638326
hybrid_dense_core,0.3770691379904747,0.006011262012179941,2,0.01,0.0005509110051207244,8,0.08,1.126241795020178
hybrid_dense_core,0.3794629109906964,0.005855618976056576,2,0.01,0.0005350999999791384,9,0.09,1.1350445710122585
