horizon,channel,flowstar_width,legacy_width,h1_width,h1_h2_width,candidate_width,legacy_excess,candidate_reduction,fraction_of_legacy_excess_removed,candidate_no_wider_than_h1_h2,meets_10pct
1.0,endpoint_x,0.07951782806323093,0.08795592352408854,0.08794394085749313,0.08780082201661954,0.08763412990388875,0.008438095460857609,0.00032179362019979507,0.038135811770857765,True,False
1.0,endpoint_y,0.1115769155531654,0.11429217453027352,0.11427702048455424,0.11408091586610758,0.11384217117563089,0.002715258977108115,0.0004500033546426252,0.1657312832538357,True,True
1.0,segment_x,0.08375257163162497,0.09222151766116604,0.09220953091155537,0.09206636031573256,0.09189960514713102,0.008468946029541069,0.00032191251403501653,0.03801092992116528,True,False
1.0,segment_y,0.11966699301819556,0.12856523859517793,0.12854926466339128,0.1283427687219053,0.12809136488991996,0.008898245576982378,0.0004738737052579767,0.05325473444830226,True,False
3.0,endpoint_x,0.13850532673418248,0.18725958974064205,0.1865686202280239,0.1847205548702633,0.18249356179174203,0.048754263006459575,0.00476602794890002,0.09775612746455745,True,False
3.0,endpoint_y,0.10885167146482555,0.15586425555328454,0.1541143564637606,0.15094035690859942,0.1468418604323336,0.047012584088458986,0.009022395120950932,0.19191446919774444,True,True
3.0,segment_x,0.16392087538948363,0.21273503964284135,0.21204385105422802,0.21019519724689206,0.20796749551800348,0.04881416425335772,0.004767544124837875,0.0976672283088394,True,False
3.0,segment_y,0.1256837925656762,0.17276779494517935,0.17101707198805904,0.16784158847320407,0.16374117322801585,0.047084002379503165,0.009026621717163508,0.19171313526848813,True,True
6.32,endpoint_x,0.15307555562376207,0.9165121028676784,0.7919255932246037,0.6805171231958236,0.5489073247629823,0.7634365472439163,0.36760477810469605,0.48151320424963506,True,True
6.32,endpoint_y,0.12229562798699911,1.5898587282667334,1.2745154469370612,1.0373859831492918,0.7737280035448646,1.4675631002797342,0.8161307247218688,0.5561128680370234,True,True
6.32,segment_x,0.1783272999656937,0.9420414425127712,0.8174173573354471,0.7059752141315424,0.5743256104684731,0.7637141425470775,0.36771583204429814,0.48148359649059547,True,True
6.32,segment_y,0.13982130901719003,1.6080698024787572,1.2925904925204887,1.0553588399094207,0.7915870847892559,1.4682484934615672,0.8164827176895013,0.556093005595087,True,True
