backend_lane,dense_kernel_s,device_to_host_s,device_transfer_count,h_attempted,host_to_device_s,segment_index,t_before,total_wall_s
hybrid_dense_core,0.14636744500603527,0.0,0,0.01,0.0,0,0.0,0.2382921320386231
hybrid_dense_core,0.1341034839861095,0.0,0,0.01,0.0,1,0.01,0.3396035829791799
hybrid_dense_core,0.1347649300005287,0.0,0,0.01,0.0,2,0.02,0.40909163700416684
hybrid_dense_core,0.13415662897750735,0.0,0,0.01,0.0,3,0.03,0.4196819149656221
hybrid_dense_core,0.1401452490244992,0.0,0,0.01,0.0,4,0.04,0.44846529501955956
hybrid_dense_core,0.13599333603633568,0.0,0,0.01,0.0,5,0.05,0.4478577119880356
hybrid_dense_core,0.1762060869950801,0.0,0,0.01,0.0,6,0.06,0.4996839159866795
hybrid_dense_core,0.13542325800517574,0.0,0,0.01,0.0,7,0.07,0.4576232639956288
hybrid_dense_core,0.13416809402406216,0.0,0,0.01,0.0,8,0.08,0.46085508703254163
hybrid_dense_core,0.13399694894906133,0.0,0,0.01,0.0,9,0.09,0.46089059102814645
