backend_lane,dense_kernel_s,device_to_host_s,device_transfer_count,h_attempted,host_to_device_s,segment_index,t_before,total_wall_s
hybrid_dense_core,0.14898321399232373,0.0,0,0.01,0.0,0,0.0,0.24291150399949402
hybrid_dense_core,0.13572860299609601,0.0,0,0.01,0.0,1,0.01,0.343718601972796
hybrid_dense_core,0.13667428900953382,0.0,0,0.01,0.0,2,0.02,0.4188127540401183
hybrid_dense_core,0.1366216010064818,0.0,0,0.01,0.0,3,0.03,0.43492946500191465
hybrid_dense_core,0.1371719150338322,0.0,0,0.01,0.0,4,0.04,0.44869832397671416
hybrid_dense_core,0.13640681898687035,0.0,0,0.01,0.0,5,0.05,0.46094244095729664
hybrid_dense_core,0.1762499950127676,0.0,0,0.01,0.0,6,0.06,0.5105411119875498
hybrid_dense_core,0.1371848980197683,0.0,0,0.01,0.0,7,0.07,0.4728200719691813
hybrid_dense_core,0.1388275580247864,0.0,0,0.01,0.0,8,0.08,0.47719966899603605
hybrid_dense_core,0.13697085401508957,0.0,0,0.01,0.0,9,0.09,0.47916313901077956
hybrid_dense_core,0.13791487802518532,0.0,0,0.01,0.0,10,0.1,0.4796778549789451
hybrid_dense_core,0.13685088296188042,0.0,0,0.01,0.0,11,0.11,0.4780071660061367
hybrid_dense_core,0.13717800204176456,0.0,0,0.01,0.0,12,0.12,0.49057414004346356
hybrid_dense_core,0.13946018600836396,0.0,0,0.01,0.0,13,0.13,0.4868261520168744
hybrid_dense_core,0.13721924199489877,0.0,0,0.01,0.0,14,0.14,0.49642649898305535
hybrid_dense_core,0.13780305295949802,0.0,0,0.01,0.0,15,0.15,0.499584463017527
hybrid_dense_core,0.13761691702529788,0.0,0,0.01,0.0,16,0.16,0.5000079839956015
hybrid_dense_core,0.13696558598894626,0.0,0,0.01,0.0,17,0.17,0.4981340199592523
hybrid_dense_core,0.13829599897144362,0.0,0,0.01,0.0,18,0.18,0.5022350969957188
hybrid_dense_core,0.13765346503350884,0.0,0,0.01,0.0,19,0.19,0.501341966970358
hybrid_dense_core,0.13629096798831597,0.0,0,0.01,0.0,20,0.2,0.511561035993509
hybrid_dense_core,0.1363765699788928,0.0,0,0.01,0.0,21,0.21,0.5133473579771817
hybrid_dense_core,0.18464078300166875,0.0,0,0.01,0.0,22,0.22,0.562435359985102
hybrid_dense_core,0.13797461905051023,0.0,0,0.01,0.0,23,0.23,0.5151386260404252
hybrid_dense_core,0.13900730200111866,0.0,0,0.01,0.0,24,0.24,0.5305519670364447
hybrid_dense_core,0.13894227403216064,0.0,0,0.01,0.0,25,0.25,0.5168007680331357
hybrid_dense_core,0.13686591800069436,0.0,0,0.01,0.0,26,0.26,0.5157632210175507
hybrid_dense_core,0.13719956000568345,0.0,0,0.01,0.0,27,0.27,0.5148983300314285
hybrid_dense_core,0.13809569703880697,0.0,0,0.01,0.0,28,0.28,0.5239051920361817
hybrid_dense_core,0.13729778199922293,0.0,0,0.01,0.0,29,0.29,0.5114470350090414
hybrid_dense_core,0.13771016203099862,0.0,0,0.01,0.0,30,0.3,0.5155115970410407
hybrid_dense_core,0.13712448999285698,0.0,0,0.01,0.0,31,0.31,0.5086669209995307
