accepted_steps,completed_horizon,completed_requested_horizon,device,endpoint_x,endpoint_y,matrix_elapsed_s,message,mode,peak_rss_bytes,rejected_attempts,relative_output,requested_horizon,reset_mode,runtime_s,schedule,segment_x,segment_y,status
100,1.0,True,cpu,0.08795592352408854,0.11429217453027352,42.88566039700527,,legacy,448036864,0,fixed/cpu/legacy/T1,1.0,normalized_insertion,40.60482794698328,fixed,0.09222151766116604,0.12856523859517793,completed
100,1.0,True,cpu,0.08794394085749313,0.11427702048455424,55.37009508302435,,candidate,448057344,0,fixed/cpu/candidate/T1,1.0,normalized_insertion_dependency_preserving,53.06380944495322,fixed,0.09220953091155537,0.12854926466339128,completed
300,3.0,True,cpu,0.18725958974064205,0.15586425555328454,130.263591681025,,legacy,521523200,0,fixed/cpu/legacy/T3,3.0,normalized_insertion,126.5941079200129,fixed,0.21273503964284135,0.17276779494517935,completed
300,3.0,True,cpu,0.1865686202280239,0.1541143564637606,165.20748966297833,,candidate,520933376,0,fixed/cpu/candidate/T3,3.0,normalized_insertion_dependency_preserving,161.45062643894926,fixed,0.21204385105422802,0.17101707198805904,completed
632,6.32,True,cpu,0.9165121028676784,1.5898587282667334,271.1890077420394,,legacy,642150400,0,fixed/cpu/legacy/T6p32,6.32,normalized_insertion,265.18521583802067,fixed,0.9420414425127712,1.6080698024787572,completed
632,6.32,True,cpu,0.7919255932246037,1.2745154469370612,363.95564723399,,candidate,641347584,0,fixed/cpu/candidate/T6p32,6.32,normalized_insertion_dependency_preserving,357.86004135699477,fixed,0.8174173573354471,1.2925904925204887,completed
307,6.397083942944808,False,cpu,1.5122004956501187,3.472604243214909,136.6186416989658,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002,legacy,526372864,48,native/cpu/legacy/T10,10.0,normalized_insertion,132.7843621049542,native,1.5209534671329465,3.4763301670059747,failed
293,6.441433080631058,False,cpu,1.3892891832458276,3.156933697681742,172.199541570968,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002,candidate,522702848,46,native/cpu/candidate/T10,10.0,normalized_insertion_dependency_preserving,168.47535642998992,native,1.3986342721795961,3.159143461870391,failed
10,0.1,True,cuda,0.30347000002846736,0.301930218317253,13.086223694961518,,legacy,1013645312,0,fixed/cuda/legacy/T0p1,0.1,normalized_insertion,11.25980428699404,fixed,0.3249974866214653,0.34750330509387495,completed
10,0.1,True,cuda,0.30346999051914114,0.30192984431837955,16.07358030800242,,candidate,1011912704,0,fixed/cuda/candidate/T0p1,0.1,normalized_insertion_dependency_preserving,14.210316798998974,fixed,0.3249974770646398,0.3475029222578314,completed
10,0.1,True,cpu,0.30347000002846736,0.301930218317253,5.099063367000781,,legacy,414060544,0,fixed/cpu/legacy/T0p1,0.1,normalized_insertion,3.4958211799967103,fixed,0.3249974866214653,0.34750330509387495,completed
10,0.1,True,cpu,0.30346999051914114,0.30192984431837955,5.937670178012922,,candidate,415846400,0,fixed/cpu/candidate/T0p1,0.1,normalized_insertion_dependency_preserving,4.340618842979893,fixed,0.3249974770646398,0.3475029222578314,completed
