accumulated_before_x0_add_hi,accumulated_before_x0_add_lo,adaptive_attempt_index,attempt,candidate_remainder_hi,candidate_remainder_lo,finite,finite_residual,h,h_max,h_min,h_try,mode,order,ordinary_residual_hi,ordinary_residual_lo,ordinary_residual_width_sum,phase,picard_image_remainder_hi,picard_image_remainder_lo,poly_diff_range_hi,poly_diff_range_lo,polynomial_range_width_sum,range_method,raw_ctrunc_residual_width_sum,raw_remainder_ledger_widths,raw_rhs_remainder_hi,raw_rhs_remainder_lo,rejection_reason,remainder_ledger_widths,segment_index,step_grow_factor,step_policy_mode,step_shrink_factor,subdivision_depth,subset_margin,subset_result,t_before,target_subset_result,tmp_remainder_ledger_widths,validation_message,validation_mode,validation_status
"[[1.0000001000000004e-05, 0.005051040839316916]]","[[-1.0000001000000004e-05, -0.005378762379047432]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.1,0.1,0.002,0.1,dense,4,"[[0.00027727280056054934, 0.002703763057970243]]","[[-0.00015659687396549695, -0.0032014704777582]]",0.006339103210254489,remainder_validation,"[[1.0000003000000007e-05, 0.0050510408413169195]]","[[-1.0000003000000007e-05, -0.005378762381047435]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",1.2674364783286054,adaptive_subdivision,0.010449803228364354,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.0005380346875000095]], ""polynomial_truncation"": [[0.0, 0.07137706219452457]], ""remainder_times_poly"": [[0.0, 0.03198136102682714]], ""remainder_times_remainder"": [[0.0, 1.5742547916679993e-06]]}","[[0.0001, 0.050510408383169135]]","[[-0.0001, -0.053787623780474296]]",Flowstar raw remainder compat residual not subset of target remainder,"{""initial_remainder"": [[2.000000000000001e-05, 4.000000000000003e-05]], ""integration_overflow"": [[0.0004138696725260459, 0.002217911009175642]], ""poly_times_remainder"": [[1e-323, 5.3885825455730126e-05]], ""polynomial_truncation"": [[1e-323, 0.0031498071075688272]], ""remainder_times_poly"": [[1e-323, 0.0004436111584782326]], ""remainder_times_remainder"": [[1e-323, 1.843305000539809e-08]]}",0,1.1,flowstar_compat,0.5,1,"[[8.9999997e-05, -0.005278762381047435]]",False,0.0,False,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[2.000000000000001e-05, 4.000000000000003e-05]], ""integration_overflow"": [[0.0004138696725260459, 0.002217911009175642]], ""poly_times_remainder"": [[1e-323, 5.3885825455730126e-05]], ""polynomial_truncation"": [[1e-323, 0.0031498071075688272]], ""remainder_times_poly"": [[1e-323, 0.0004436111584782326]], ""remainder_times_remainder"": [[1e-323, 1.843305000539809e-08]]}",Flowstar raw remainder compat residual not subset of target remainder,flowstar_raw_remainder_compat,failed
"[[5.000001000000002e-06, 0.0005723478886691701]]","[[-5.000001000000002e-06, -0.00039033226806963275]]",2,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.05,0.1,0.002,0.05,dense,4,"[[2.7026852745605664e-05, 0.00029944119237837317]]","[[-1.5812370664510275e-05, -0.0002748116713870836]]",0.0006170920871755727,remainder_validation,"[[5.000003000000005e-06, 0.0005723478906691704]]","[[-5.000003000000005e-06, -0.0003903322700696329]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.7978983025091955,adaptive_subdivision,0.0009726801667388034,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.0004628086718750081]], ""polynomial_truncation"": [[0.0, 0.012451032068781568]], ""remainder_times_poly"": [[0.0, 0.005939457210432374]], ""remainder_times_remainder"": [[0.0, 3.0514368709060026e-07]]}","[[0.0001, 0.011446957753383398]]","[[-0.0001, -0.007806645341392653]]",Flowstar raw remainder compat residual not subset of target remainder,"{""initial_remainder"": [[1.0000000000000004e-05, 2.0000000000000015e-05]], ""integration_overflow"": [[3.2839221410115904e-05, 0.00029622873664570147]], ""poly_times_remainder"": [[1e-323, 2.314595784098348e-05]], ""polynomial_truncation"": [[1e-323, 0.000144471008487948]], ""remainder_times_poly"": [[1e-323, 9.040345182151578e-05]], ""remainder_times_remainder"": [[1e-323, 3.7069693073287068e-09]]}",0,1.1,flowstar_compat,0.5,1,"[[9.4999997e-05, -0.00047234789066917044]]",False,0.0,False,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[1.0000000000000004e-05, 2.0000000000000015e-05]], ""integration_overflow"": [[3.2839221410115904e-05, 0.00029622873664570147]], ""poly_times_remainder"": [[1e-323, 2.314595784098348e-05]], ""polynomial_truncation"": [[1e-323, 0.000144471008487948]], ""remainder_times_poly"": [[1e-323, 9.040345182151578e-05]], ""remainder_times_remainder"": [[1e-323, 3.7069693073287068e-09]]}",Flowstar raw remainder compat residual not subset of target remainder,flowstar_raw_remainder_compat,failed
"[[2.500001000000001e-06, 0.0001030667831465864]]","[[-2.500001000000001e-06, -7.318021237225071e-05]]",3,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.025,0.1,0.002,0.025,dense,4,"[[4.794740666461968e-06, 6.272276974822398e-05]]","[[-3.513868179552734e-06, -5.621301667758669e-05]]",0.00012724439527182538,remainder_validation,"[[2.5000030000000018e-06, 0.00010306678514658644]]","[[-2.5000030000000018e-06, -7.318021437225075e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.5910363944143064,adaptive_subdivision,0.0001812470055188372,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.00042685216796875747]], ""polynomial_truncation"": [[0.0, 0.004004878642287651]], ""remainder_times_poly"": [[0.0, 0.002218044105860089]], ""remainder_times_remainder"": [[0.0, 1.0482463698063383e-07]]}","[[0.0001, 0.004122671285863455]]","[[-0.0001, -0.0029272084548900277]]",Flowstar raw remainder compat residual not subset of target remainder,"{""initial_remainder"": [[5.000000000000002e-06, 1.0000000000000008e-05]], ""integration_overflow"": [[3.308606846014695e-06, 5.0847825985362595e-05]], ""poly_times_remainder"": [[1e-323, 1.067169658381163e-05]], ""polynomial_truncation"": [[1e-323, 1.0030151201284153e-05]], ""remainder_times_poly"": [[1e-323, 3.738459221988952e-05]], ""remainder_times_remainder"": [[1e-323, 1.5184354626322258e-09]]}",0,1.1,flowstar_compat,0.5,1,"[[9.7499997e-05, -3.0667851465864324e-06]]",False,0.0,False,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[5.000000000000002e-06, 1.0000000000000008e-05]], ""integration_overflow"": [[3.308606846014695e-06, 5.0847825985362595e-05]], ""poly_times_remainder"": [[1e-323, 1.067169658381163e-05]], ""polynomial_truncation"": [[1e-323, 1.0030151201284153e-05]], ""remainder_times_poly"": [[1e-323, 3.738459221988952e-05]], ""remainder_times_remainder"": [[1e-323, 1.5184354626322258e-09]]}",Flowstar raw remainder compat residual not subset of target remainder,flowstar_raw_remainder_compat,failed
"[[1.2500010000000006e-06, 2.7130529560022047e-05]]","[[-1.2500010000000006e-06, -2.2986520930317837e-05]]",4,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.0125,0.1,0.002,0.0125,dense,4,"[[1.544918197987441e-06, 2.0159982610104487e-05]]","[[-1.3885884425371524e-06, -1.9124354400542328e-05]]",4.221784365117141e-05,remainder_validation,"[[1.2500030000000012e-06, 2.7130531560022056e-05]]","[[-1.2500030000000012e-06, -2.2986522930317846e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.49365905538460386,adaptive_subdivision,5.2617060490339904e-05,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.00040928804199219466]], ""polynomial_truncation"": [[0.0, 0.001636776821564554]], ""remainder_times_poly"": [[0.0, 0.0015632319119302288]], ""remainder_times_remainder"": [[0.0, 6.710374020940892e-08]]}","[[0.0001, 0.002170442284801763]]","[[-0.0001, -0.0018389215944254263]]",,"{""initial_remainder"": [[2.500000000000001e-06, 5.000000000000004e-06]], ""integration_overflow"": [[4.335046405245908e-07, 1.0327721579565755e-05]], ""poly_times_remainder"": [[1e-323, 5.116130938832056e-06]], ""polynomial_truncation"": [[1e-323, 1.090745330876698e-06]], ""remainder_times_poly"": [[1e-323, 1.7749016145217056e-05]], ""remainder_times_remainder"": [[1e-323, 7.210161552089909e-10]]}",0,1.1,flowstar_compat,0.5,1,"[[9.8749997e-05, 7.286946843997795e-05]]",True,0.0,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[2.500000000000001e-06, 5.000000000000004e-06]], ""integration_overflow"": [[4.335046405245908e-07, 1.0327721579565755e-05]], ""poly_times_remainder"": [[1e-323, 5.116130938832056e-06]], ""polynomial_truncation"": [[1e-323, 1.090745330876698e-06]], ""remainder_times_poly"": [[1e-323, 1.7749016145217056e-05]], ""remainder_times_remainder"": [[1e-323, 7.210161552089909e-10]]}",,flowstar_raw_remainder_compat,validated
"[[1.3750010000000006e-06, 3.344919758458576e-05]]","[[-1.3750010000000006e-06, -2.769237432781065e-05]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.013750000000000002,0.1,0.002,0.013750000000000002,dense,4,"[[1.8071191194384592e-06, 2.4019907910982023e-05]]","[[-1.5900604874841578e-06, -2.278895708343696e-05]]",5.02060446013416e-05,remainder_validation,"[[1.3750030000000013e-06, 3.344919958458579e-05]]","[[-1.3750030000000013e-06, -2.769237632781066e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.5349652968096978,adaptive_subdivision,6.389158191239644e-05,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.00042844370865847563]], ""polynomial_truncation"": [[0.0, 0.001985994359797432]], ""remainder_times_poly"": [[0.0, 0.0016321502928173385]], ""remainder_times_remainder"": [[0.0, 7.126871921569234e-08]]}","[[0.0001, 0.002432668842515327]]","[[-0.0001, -0.0020139907874771375]]",,"{""initial_remainder"": [[2.750000000000001e-06, 5.500000000000004e-06]], ""integration_overflow"": [[6.471776069226141e-07, 1.3839323531988603e-05]], ""poly_times_remainder"": [[1e-323, 5.891150137632816e-06]], ""polynomial_truncation"": [[1e-323, 1.7075498618746734e-06]], ""remainder_times_poly"": [[1e-323, 1.9870025980411993e-05]], ""remainder_times_remainder"": [[1e-323, 8.134825108466947e-10]]}",1,1.1,flowstar_compat,0.5,1,"[[9.8624997e-05, 6.655080041541422e-05]]",True,0.0125,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[2.750000000000001e-06, 5.500000000000004e-06]], ""integration_overflow"": [[6.471776069226141e-07, 1.3839323531988603e-05]], ""poly_times_remainder"": [[1e-323, 5.891150137632816e-06]], ""polynomial_truncation"": [[1e-323, 1.7075498618746734e-06]], ""remainder_times_poly"": [[1e-323, 1.9870025980411993e-05]], ""remainder_times_remainder"": [[1e-323, 8.134825108466947e-10]]}",,flowstar_raw_remainder_compat,validated
"[[1.5125010000000008e-06, 4.1679195161882e-05]]","[[-1.5125010000000008e-06, -3.369891205443376e-05]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.015125000000000003,0.1,0.002,0.015125000000000003,dense,4,"[[2.1372648798818037e-06, 2.8884775141284703e-05]]","[[-1.8371270810145523e-06, -2.747367607902769e-05]]",6.033284318120875e-05,remainder_validation,"[[1.5125030000000015e-06, 4.167919716188203e-05]]","[[-1.5125030000000015e-06, -3.369891405443379e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.5802073208759899,adaptive_subdivision,7.840311721631582e-05,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.00044954207592196564]], ""polynomial_truncation"": [[0.0, 0.0024194050774556672]], ""remainder_times_poly"": [[0.0, 0.0017146528491040224]], ""remainder_times_remainder"": [[0.0, 7.637545657034939e-08]]}","[[0.0001, 0.0027556492007855854]]","[[-0.0001, -0.0022280271771526437]]",,"{""initial_remainder"": [[3.0250000000000015e-06, 6.050000000000005e-06]], ""integration_overflow"": [[9.493899608963518e-07, 1.8629364139573984e-05]], ""poly_times_remainder"": [[1e-323, 6.7994028577548285e-06]], ""polynomial_truncation"": [[1e-323, 2.6375515119386026e-06]], ""remainder_times_poly"": [[1e-323, 2.224121110942338e-05]], ""remainder_times_remainder"": [[1e-323, 9.196016215423542e-10]]}",2,1.1,flowstar_compat,0.5,1,"[[9.8487497e-05, 5.832080283811798e-05]]",True,0.026250000000000002,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[3.0250000000000015e-06, 6.050000000000005e-06]], ""integration_overflow"": [[9.493899608963518e-07, 1.8629364139573984e-05]], ""poly_times_remainder"": [[1e-323, 6.7994028577548285e-06]], ""polynomial_truncation"": [[1e-323, 2.6375515119386026e-06]], ""remainder_times_poly"": [[1e-323, 2.224121110942338e-05]], ""remainder_times_remainder"": [[1e-323, 9.196016215423542e-10]]}",,flowstar_raw_remainder_compat,validated
"[[1.6637510000000008e-06, 5.2440440335009035e-05]]","[[-1.6637510000000008e-06, -4.1420718813833203e-05]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.016637500000000003,0.1,0.002,0.016637500000000003,dense,4,"[[2.55520417427236e-06, 3.519167746582452e-05]]","[[-2.1427022206153388e-06, -3.365731634428405e-05]]",7.354690020499626e-05,remainder_validation,"[[1.6637530000000015e-06, 5.244044233500906e-05]]","[[-1.6637530000000015e-06, -4.142072081383323e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.6293548065645107,adaptive_subdivision,9.71886691488423e-05,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.00047270405002375153]], ""polynomial_truncation"": [[0.0, 0.0029551093796588487]], ""remainder_times_poly"": [[0.0, 0.0018136460388970081]], ""remainder_times_remainder"": [[0.0, 8.265907431329585e-08]]}","[[0.0001, 0.0031519422590538847]]","[[-0.0001, -0.0024895998686000407]]",,"{""initial_remainder"": [[3.3275000000000016e-06, 6.655000000000005e-06]], ""integration_overflow"": [[1.3704043948876936e-06, 2.5431981193012582e-05]], ""poly_times_remainder"": [[1e-323, 7.864739695026047e-06]], ""polynomial_truncation"": [[1e-323, 4.014629801158498e-06]], ""remainder_times_poly"": [[1e-323, 2.4881599371585883e-05]], ""remainder_times_remainder"": [[1e-323, 1.0417493254575887e-09]]}",3,1.1,flowstar_compat,0.5,1,"[[9.8336247e-05, 4.7559557664990944e-05]]",True,0.04137500000000001,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[3.3275000000000016e-06, 6.655000000000005e-06]], ""integration_overflow"": [[1.3704043948876936e-06, 2.5431981193012582e-05]], ""poly_times_remainder"": [[1e-323, 7.864739695026047e-06]], ""polynomial_truncation"": [[1e-323, 4.014629801158498e-06]], ""remainder_times_poly"": [[1e-323, 2.4881599371585883e-05]], ""remainder_times_remainder"": [[1e-323, 1.0417493254575887e-09]]}",,flowstar_raw_remainder_compat,validated
"[[1.830126000000001e-06, 6.649762004194469e-05]]","[[-1.830126000000001e-06, -5.137371792685608e-05]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.018301250000000005,0.1,0.002,0.018301250000000005,dense,4,"[[3.0844533479591345e-06, 4.333311749302017e-05]]","[[-2.5223396932291523e-06, -4.1796978268890256e-05]]",9.073688880309871e-05,remainder_validation,"[[1.8301280000000017e-06, 6.649762204194472e-05]]","[[-1.8301280000000017e-06, -5.1373719926856103e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.682244621489615,adaptive_subdivision,0.00012153159796880083,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.0004980209612128713]], ""polynomial_truncation"": [[0.0, 0.003610337480947722]], ""remainder_times_poly"": [[0.0, 0.0019321678388357537]], ""remainder_times_remainder"": [[0.0, 9.039648746656267e-08]]}","[[0.0001, 0.0036335014844310993]]","[[-0.0001, -0.0028071151930527177]]",,"{""initial_remainder"": [[3.660250000000002e-06, 7.320500000000006e-06]], ""integration_overflow"": [[1.946541041188282e-06, 3.488062913892369e-05]], ""poly_times_remainder"": [[1e-323, 9.114605877111924e-06]], ""polynomial_truncation"": [[1e-323, 6.007805511826342e-06]], ""remainder_times_poly"": [[1e-323, 2.7805370458855618e-05]], ""remainder_times_remainder"": [[1e-323, 1.1827751927575602e-09]]}",4,1.1,flowstar_compat,0.5,1,"[[9.8169872e-05, 3.350237795805528e-05]]",True,0.05801250000000001,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[3.660250000000002e-06, 7.320500000000006e-06]], ""integration_overflow"": [[1.946541041188282e-06, 3.488062913892369e-05]], ""poly_times_remainder"": [[1e-323, 9.114605877111924e-06]], ""polynomial_truncation"": [[1e-323, 6.007805511826342e-06]], ""remainder_times_poly"": [[1e-323, 2.7805370458855618e-05]], ""remainder_times_remainder"": [[1e-323, 1.1827751927575602e-09]]}",,flowstar_raw_remainder_compat,validated
"[[2.0131385000000014e-06, 8.475871515555678e-05]]","[[-2.0131385000000014e-06, -6.684283999763901e-05]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.020131375000000007,0.1,0.002,0.020131375000000007,dense,4,"[[3.7506310041461237e-06, 5.381692890013867e-05]]","[[-2.9935073256873753e-06, -5.2501750927752533e-05]]",0.0001130628181577247,remainder_validation,"[[2.0131405000000023e-06, 8.475871715555681e-05]]","[[-2.0131405000000023e-06, -6.684284199763905e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.7384446159812623,adaptive_subdivision,0.00015562784015319588,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.0005255788615232635]], ""polynomial_truncation"": [[0.0, 0.004530320650754962]], ""remainder_times_poly"": [[0.0, 0.0020746114721943193]], ""remainder_times_remainder"": [[0.0, 9.997246385920615e-08]]}","[[0.0001, 0.004210279434740882]]","[[-0.0001, -0.0033203315221955266]]",,"{""initial_remainder"": [[4.026275000000003e-06, 8.052550000000008e-06]], ""integration_overflow"": [[2.7178613298334928e-06, 4.784477657987125e-05]], ""poly_times_remainder"": [[1e-323, 1.0580940367783256e-05]], ""polynomial_truncation"": [[1e-323, 8.809750422220455e-06]], ""remainder_times_poly"": [[1e-323, 3.1029314384406e-05]], ""remainder_times_remainder"": [[1e-323, 1.3460736101380954e-09]]}",5,1.1,flowstar_compat,0.5,1,"[[9.79868595e-05, 1.5241282844443191e-05]]",True,0.07631375000000001,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[4.026275000000003e-06, 8.052550000000008e-06]], ""integration_overflow"": [[2.7178613298334928e-06, 4.784477657987125e-05]], ""poly_times_remainder"": [[1e-323, 1.0580940367783256e-05]], ""polynomial_truncation"": [[1e-323, 8.809750422220455e-06]], ""remainder_times_poly"": [[1e-323, 3.1029314384406e-05]], ""remainder_times_remainder"": [[1e-323, 1.3460736101380954e-09]]}",,flowstar_raw_remainder_compat,validated
"[[2.2144522500000016e-06, 0.0001081408408201141]]","[[-2.2144522500000016e-06, -9.135634089764372e-05]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.02214451250000001,0.1,0.002,0.02214451250000001,dense,4,"[[4.5775816794447424e-06, 6.72915467460724e-05]]","[[-3.573544712618611e-06, -6.656081193971777e-05]]",0.0001420034850778535,remainder_validation,"[[2.2144542500000025e-06, 0.00010814084282011413]]","[[-2.2144542500000025e-06, -9.135634289764375e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.7971525631405894,adaptive_subdivision,0.0002039260942177579,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.0005553498604067221]], ""polynomial_truncation"": [[0.0, 0.005809755797382261]], ""remainder_times_poly"": [[0.0, 0.0022436592103396045]], ""remainder_times_remainder"": [[0.0, 1.116974656016883e-07]]}","[[0.0001, 0.004883414788206064]]","[[-0.0001, -0.00412546177738813]]",Flowstar raw remainder compat residual not subset of target remainder,"{""initial_remainder"": [[4.428902500000004e-06, 8.857805000000009e-06]], ""integration_overflow"": [[3.7222218920633444e-06, 6.543407536689457e-05]], ""poly_times_remainder"": [[1e-323, 1.2298444056813576e-05]], ""polynomial_truncation"": [[1e-323, 1.2683240490736212e-05]], ""remainder_times_poly"": [[1e-323, 3.457725615319412e-05]], ""remainder_times_remainder"": [[1e-323, 1.5356181515132992e-09]]}",6,1.1,flowstar_compat,0.5,1,"[[9.778554575e-05, -8.140842820114128e-06]]",False,0.09644512500000002,False,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[4.428902500000004e-06, 8.857805000000009e-06]], ""integration_overflow"": [[3.7222218920633444e-06, 6.543407536689457e-05]], ""poly_times_remainder"": [[1e-323, 1.2298444056813576e-05]], ""polynomial_truncation"": [[1e-323, 1.2683240490736212e-05]], ""remainder_times_poly"": [[1e-323, 3.457725615319412e-05]], ""remainder_times_remainder"": [[1e-323, 1.5356181515132992e-09]]}",Flowstar raw remainder compat residual not subset of target remainder,flowstar_raw_remainder_compat,failed
