accumulated_before_x0_add_hi,accumulated_before_x0_add_lo,adaptive_attempt_index,attempt,candidate_remainder_hi,candidate_remainder_lo,finite,finite_residual,h,h_max,h_min,h_try,mode,order,ordinary_residual_hi,ordinary_residual_lo,ordinary_residual_width_sum,phase,picard_image_remainder_hi,picard_image_remainder_lo,poly_diff_range_hi,poly_diff_range_lo,polynomial_range_width_sum,range_method,raw_ctrunc_residual_width_sum,raw_remainder_ledger_widths,raw_rhs_remainder_hi,raw_rhs_remainder_lo,rejection_reason,remainder_ledger_widths,segment_index,step_grow_factor,step_policy_mode,step_shrink_factor,subdivision_depth,subset_margin,subset_result,t_before,target_subset_result,tmp_remainder_ledger_widths,validation_message,validation_mode,validation_status
"[[1.0000001000000004e-05, 0.006150872043743298]]","[[-1.0000001000000004e-05, -0.006022380682016295]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.1,0.1,0.002,0.1,dense,4,"[[0.00027727280056054934, 0.0028787540123154463]]","[[-0.00015659687396549695, -0.0032979464827105585]]",0.006610570169552051,remainder_validation,"[[1.0000003000000007e-05, 0.0061508720457433014]]","[[-1.0000003000000007e-05, -0.006022380684016298]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",1.2674364783286054,natural,0.012193252735759599,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.0005380346875000095]], ""polynomial_truncation"": [[0.0, 0.08672872280565015]], ""remainder_times_poly"": [[0.0, 0.03406415477463136]], ""remainder_times_remainder"": [[0.0, 1.614969814311391e-06]]}","[[0.0001, 0.06150872042743295]]","[[-0.0001, -0.06022380681016293]]",Flowstar raw remainder compat residual not subset of target remainder,"{""initial_remainder"": [[2.000000000000001e-05, 4.000000000000003e-05]], ""integration_overflow"": [[0.0004138696725260459, 0.002217911009175642]], ""poly_times_remainder"": [[1e-323, 5.3885825455730126e-05]], ""polynomial_truncation"": [[1e-323, 0.0033473358657816255]], ""remainder_times_poly"": [[1e-323, 0.0005175474638434974]], ""remainder_times_remainder"": [[1e-323, 2.032876950358722e-08]]}",0,1.1,flowstar_compat,0.5,0,"[[8.9999997e-05, -0.006050872045743301]]",False,0.0,False,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[2.000000000000001e-05, 4.000000000000003e-05]], ""integration_overflow"": [[0.0004138696725260459, 0.002217911009175642]], ""poly_times_remainder"": [[1e-323, 5.3885825455730126e-05]], ""polynomial_truncation"": [[1e-323, 0.0033473358657816255]], ""remainder_times_poly"": [[1e-323, 0.0005175474638434974]], ""remainder_times_remainder"": [[1e-323, 2.032876950358722e-08]]}",Flowstar raw remainder compat residual not subset of target remainder,flowstar_raw_remainder_compat,failed
"[[5.000001000000002e-06, 0.0006436581484371152]]","[[-5.000001000000002e-06, -0.0005118466780257314]]",2,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.05,0.1,0.002,0.05,dense,4,"[[2.7026852745605664e-05, 0.0003100051510670388]]","[[-1.5812370664510275e-05, -0.0002799143129152918]]",0.0006327586873924465,remainder_validation,"[[5.000003000000005e-06, 0.0006436581504371155]]","[[-5.000003000000005e-06, -0.0005118466800257317]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.7978983025091955,natural,0.0011655048364628473,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.0004628086718750081]], ""polynomial_truncation"": [[0.0, 0.016075085632833892]], ""remainder_times_poly"": [[0.0, 0.0061718947132193645]], ""remainder_times_remainder"": [[0.0, 3.0747132864383555e-07]]}","[[0.0001, 0.012873162948742299]]","[[-0.0001, -0.010236933540514623]]",Flowstar raw remainder compat residual not subset of target remainder,"{""initial_remainder"": [[1.0000000000000004e-05, 2.0000000000000015e-05]], ""integration_overflow"": [[3.2839221410115904e-05, 0.00029622873664570147]], ""poly_times_remainder"": [[1e-323, 2.314595784098348e-05]], ""polynomial_truncation"": [[1e-323, 0.0001560584065679787]], ""remainder_times_poly"": [[1e-323, 9.448253757628127e-05]], ""remainder_times_remainder"": [[1e-323, 3.823351384990476e-09]]}",0,1.1,flowstar_compat,0.5,0,"[[9.4999997e-05, -0.0005436581504371155]]",False,0.0,False,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[1.0000000000000004e-05, 2.0000000000000015e-05]], ""integration_overflow"": [[3.2839221410115904e-05, 0.00029622873664570147]], ""poly_times_remainder"": [[1e-323, 2.314595784098348e-05]], ""polynomial_truncation"": [[1e-323, 0.0001560584065679787]], ""remainder_times_poly"": [[1e-323, 9.448253757628127e-05]], ""remainder_times_remainder"": [[1e-323, 3.823351384990476e-09]]}",Flowstar raw remainder compat residual not subset of target remainder,flowstar_raw_remainder_compat,failed
"[[2.500001000000001e-06, 0.00010750515080699003]]","[[-2.500001000000001e-06, -8.661021147948803e-05]]",3,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.025,0.1,0.002,0.025,dense,4,"[[4.794740666461968e-06, 6.376925165949638e-05]]","[[-3.513868179552734e-06, -5.6533345624558456e-05]]",0.00012861120613006952,remainder_validation,"[[2.5000030000000018e-06, 0.00010750515280699007]]","[[-2.5000030000000018e-06, -8.661021347948806e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.5910363944143064,natural,0.00019911537228647813,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.00042685216796875747]], ""polynomial_truncation"": [[0.0, 0.004693154684372681]], ""remainder_times_poly"": [[0.0, 0.0022445025957118893]], ""remainder_times_remainder"": [[0.0, 1.0496340578902845e-07]]}","[[0.0001, 0.0043002059922796]]","[[-0.0001, -0.00346440841917952]]",Flowstar raw remainder compat residual not subset of target remainder,"{""initial_remainder"": [[5.000000000000002e-06, 1.0000000000000008e-05]], ""integration_overflow"": [[3.308606846014695e-06, 5.0847825985362595e-05]], ""poly_times_remainder"": [[1e-323, 1.067169658381163e-05]], ""polynomial_truncation"": [[1e-323, 1.1186908349692499e-05]], ""remainder_times_poly"": [[1e-323, 3.759464246050512e-05]], ""remainder_times_remainder"": [[1e-323, 1.521904682842092e-09]]}",0,1.1,flowstar_compat,0.5,0,"[[9.7499997e-05, -7.50515280699006e-06]]",False,0.0,False,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[5.000000000000002e-06, 1.0000000000000008e-05]], ""integration_overflow"": [[3.308606846014695e-06, 5.0847825985362595e-05]], ""poly_times_remainder"": [[1e-323, 1.067169658381163e-05]], ""polynomial_truncation"": [[1e-323, 1.1186908349692499e-05]], ""remainder_times_poly"": [[1e-323, 3.759464246050512e-05]], ""remainder_times_remainder"": [[1e-323, 1.521904682842092e-09]]}",Flowstar raw remainder compat residual not subset of target remainder,flowstar_raw_remainder_compat,failed
"[[1.2500010000000006e-06, 2.7521185465707292e-05]]","[[-1.2500010000000006e-06, -2.4640075802100153e-05]]",4,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.0125,0.1,0.002,0.0125,dense,4,"[[1.544918197987441e-06, 2.0300499608332578e-05]]","[[-1.3885884425371524e-06, -1.914723402649069e-05]]",4.2381240275347856e-05,remainder_validation,"[[1.2500030000000012e-06, 2.75211874657073e-05]]","[[-1.2500030000000012e-06, -2.4640077802100162e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.49365905538460386,natural,5.466127126780747e-05,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.00040928804199219466]], ""polynomial_truncation"": [[0.0, 0.0017967446943782008]], ""remainder_times_poly"": [[0.0, 0.0015668008928494302]], ""remainder_times_remainder"": [[0.0, 6.71122047656213e-08]]}","[[0.0001, 0.0022016947572565827]]","[[-0.0001, -0.0019712059841680116]]",,"{""initial_remainder"": [[2.500000000000001e-06, 5.000000000000004e-06]], ""integration_overflow"": [[4.335046405245908e-07, 1.0327721579565755e-05]], ""poly_times_remainder"": [[1e-323, 5.116130938832056e-06]], ""polynomial_truncation"": [[1e-323, 1.2437919461843549e-06]], ""remainder_times_poly"": [[1e-323, 1.7759366048278898e-05]], ""remainder_times_remainder"": [[1e-323, 7.211219621616456e-10]]}",0,1.1,flowstar_compat,0.5,0,"[[9.8749997e-05, 7.24788125342927e-05]]",True,0.0,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[2.500000000000001e-06, 5.000000000000004e-06]], ""integration_overflow"": [[4.335046405245908e-07, 1.0327721579565755e-05]], ""poly_times_remainder"": [[1e-323, 5.116130938832056e-06]], ""polynomial_truncation"": [[1e-323, 1.2437919461843549e-06]], ""remainder_times_poly"": [[1e-323, 1.7759366048278898e-05]], ""remainder_times_remainder"": [[1e-323, 7.211219621616456e-10]]}",,flowstar_raw_remainder_compat,validated
"[[1.3750010000000006e-06, 3.420550871869602e-05]]","[[-1.3750010000000006e-06, -3.06486599589667e-05]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.013750000000000002,0.1,0.002,0.013750000000000002,dense,4,"[[1.8071233509756227e-06, 2.4248763504631123e-05]]","[[-1.5900649524250415e-06, -2.283798067050134e-05]]",5.048393247853313e-05,remainder_validation,"[[1.3750030000000013e-06, 3.420551071869605e-05]]","[[-1.3750030000000013e-06, -3.064866195896673e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.5349687016157461,natural,6.760417867766278e-05,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.00042844372191163705]], ""polynomial_truncation"": [[0.0, 0.002249887000194757]], ""remainder_times_poly"": [[0.0, 0.0016382646612835337]], ""remainder_times_remainder"": [[0.0, 7.128407644655376e-08]]}","[[0.0001, 0.0024876732886324367]]","[[-0.0001, -0.0022289933788339406]]",,"{""initial_remainder"": [[2.750000000000001e-06, 5.500000000000004e-06]], ""integration_overflow"": [[6.471863034006613e-07, 1.383943054026906e-05]], ""poly_times_remainder"": [[1e-323, 5.891150320594634e-06]], ""polynomial_truncation"": [[1e-323, 1.965701269912184e-06]], ""remainder_times_poly"": [[1e-323, 1.9889646351305183e-05]], ""remainder_times_remainder"": [[1e-323, 8.13693051347029e-10]]}",1,1.1,flowstar_compat,0.5,0,"[[9.8624997e-05, 6.579448928130396e-05]]",True,0.0125,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[2.750000000000001e-06, 5.500000000000004e-06]], ""integration_overflow"": [[6.471863034006613e-07, 1.383943054026906e-05]], ""poly_times_remainder"": [[1e-323, 5.891150320594634e-06]], ""polynomial_truncation"": [[1e-323, 1.965701269912184e-06]], ""remainder_times_poly"": [[1e-323, 1.9889646351305183e-05]], ""remainder_times_remainder"": [[1e-323, 8.13693051347029e-10]]}",,flowstar_raw_remainder_compat,validated
"[[1.5125010000000008e-06, 4.307580571750279e-05]]","[[-1.5125010000000008e-06, -3.8799710348622005e-05]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.015125000000000003,0.1,0.002,0.015125000000000003,dense,4,"[[2.137279379800836e-06, 2.9254661009332995e-05]]","[[-1.8371425795984785e-06, -2.7574845487283447e-05]]",6.080392845601575e-05,remainder_validation,"[[1.5125030000000015e-06, 4.307580771750282e-05]]","[[-1.5125030000000015e-06, -3.879971234862203e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.580216875999201,natural,8.490052606612486e-05,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.00044954213097070557]], ""polynomial_truncation"": [[0.0, 0.002838840570543153]], ""remainder_times_poly"": [[0.0, 0.0017247980241303766]], ""remainder_times_remainder"": [[0.0, 7.640269458782778e-08]]}","[[0.0001, 0.0028479870887605134]]","[[-0.0001, -0.002565270039578313]]",,"{""initial_remainder"": [[3.0250000000000015e-06, 6.050000000000005e-06]], ""integration_overflow"": [[9.494199593993101e-07, 1.8629773245920463e-05]], ""poly_times_remainder"": [[1e-323, 6.79940369336664e-06]], ""polynomial_truncation"": [[1e-323, 3.072230896441495e-06]], ""remainder_times_poly"": [[1e-323, 2.2277176649840186e-05]], ""remainder_times_remainder"": [[1e-323, 9.200110475984562e-10]]}",2,1.1,flowstar_compat,0.5,0,"[[9.8487497e-05, 5.692419228249719e-05]]",True,0.026250000000000002,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[3.0250000000000015e-06, 6.050000000000005e-06]], ""integration_overflow"": [[9.494199593993101e-07, 1.8629773245920463e-05]], ""poly_times_remainder"": [[1e-323, 6.79940369336664e-06]], ""polynomial_truncation"": [[1e-323, 3.072230896441495e-06]], ""remainder_times_poly"": [[1e-323, 2.2277176649840186e-05]], ""remainder_times_remainder"": [[1e-323, 9.200110475984562e-10]]}",,flowstar_raw_remainder_compat,validated
"[[1.6637510000000008e-06, 5.49288111796277e-05]]","[[-1.6637510000000008e-06, -4.997645280977236e-05]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.016637500000000003,0.1,0.002,0.016637500000000003,dense,4,"[[2.5552416157972926e-06, 3.578443934085987e-05]]","[[-2.142742905375689e-06, -3.3859073478618964e-05]]",7.434149734065183e-05,remainder_validation,"[[1.6637530000000015e-06, 5.4928813179627726e-05]]","[[-1.6637530000000015e-06, -4.997645480977239e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.6293750702015946,natural,0.00010823277398940012,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.00047270420456787876]], ""polynomial_truncation"": [[0.0, 0.0036025118329312137]], ""remainder_times_poly"": [[0.0, 0.0018300513380556677]], ""remainder_times_remainder"": [[0.0, 8.270645274983504e-08]]}","[[0.0001, 0.003301506246709402]]","[[-0.0001, -0.003003843835298112]]",,"{""initial_remainder"": [[3.3275000000000016e-06, 6.655000000000005e-06]], ""integration_overflow"": [[1.3704825211729767e-06, 2.543315626975696e-05]], ""poly_times_remainder"": [[1e-323, 7.86474227554594e-06]], ""polynomial_truncation"": [[1e-323, 4.7438470935594854e-06]], ""remainder_times_poly"": [[1e-323, 2.4945722650909855e-05]], ""remainder_times_remainder"": [[1e-323, 1.0425297064954192e-09]]}",3,1.1,flowstar_compat,0.5,0,"[[9.8336247e-05, 4.507118682037228e-05]]",True,0.04137500000000001,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[3.3275000000000016e-06, 6.655000000000005e-06]], ""integration_overflow"": [[1.3704825211729767e-06, 2.543315626975696e-05]], ""poly_times_remainder"": [[1e-323, 7.86474227554594e-06]], ""polynomial_truncation"": [[1e-323, 4.7438470935594854e-06]], ""remainder_times_poly"": [[1e-323, 2.4945722650909855e-05]], ""remainder_times_remainder"": [[1e-323, 1.0425297064954192e-09]]}",,flowstar_raw_remainder_compat,validated
"[[1.830126000000001e-06, 7.079958002286764e-05]]","[[-1.830126000000001e-06, -6.537010786218566e-05]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.018301250000000005,0.1,0.002,0.018301250000000005,dense,4,"[[3.084539333817275e-06, 4.4274167537799555e-05]]","[[-2.5224350790092086e-06, -4.218756988612819e-05]]",9.206871183675423e-05,remainder_validation,"[[1.8301280000000017e-06, 7.079958202286767e-05]]","[[-1.8301280000000017e-06, -6.537010986218569e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.6822830035780703,natural,0.00013982994788505339,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.0004980213270654954]], ""polynomial_truncation"": [[0.0, 0.004584256560457722]], ""remainder_times_poly"": [[0.0, 0.0019580898488384905]], ""remainder_times_remainder"": [[0.0, 9.04774244086552e-08]]}","[[0.0001, 0.003868565208544094]]","[[-0.0001, -0.0035718930052420256]]",,"{""initial_remainder"": [[3.660250000000002e-06, 7.320500000000006e-06]], ""integration_overflow"": [[1.9467224128264783e-06, 3.4883623279546625e-05]], ""poly_times_remainder"": [[1e-323, 9.114612598322228e-06]], ""polynomial_truncation"": [[1e-323, 7.224971269881833e-06]], ""remainder_times_poly"": [[1e-323, 2.7916844041416005e-05]], ""remainder_times_remainder"": [[1e-323, 1.1842347609525e-09]]}",4,1.1,flowstar_compat,0.5,0,"[[9.8169872e-05, 2.9200417977132335e-05]]",True,0.05801250000000001,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[3.660250000000002e-06, 7.320500000000006e-06]], ""integration_overflow"": [[1.9467224128264783e-06, 3.4883623279546625e-05]], ""poly_times_remainder"": [[1e-323, 9.114612598322228e-06]], ""polynomial_truncation"": [[1e-323, 7.224971269881833e-06]], ""remainder_times_poly"": [[1e-323, 2.7916844041416005e-05]], ""remainder_times_remainder"": [[1e-323, 1.1842347609525e-09]]}",,flowstar_raw_remainder_compat,validated
"[[2.0131385000000014e-06, 9.199515670124261e-05]]","[[-2.0131385000000014e-06, -8.653788816548886e-05]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.020131375000000007,0.1,0.002,0.020131375000000007,dense,4,"[[3.750815373215213e-06, 5.52950414378925e-05]]","[[-2.993717154632076e-06, -5.32256557739252e-05]]",0.00011526522973966498,remainder_validation,"[[2.0131405000000023e-06, 9.199515870124265e-05]]","[[-2.0131405000000023e-06, -8.653789016548889e-05]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.7385128992032395,natural,0.00018255932986673156,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.0005255796482950844]], ""polynomial_truncation"": [[0.0, 0.005828073390078632]], ""remainder_times_poly"": [[0.0, 0.002114644708284202]], ""remainder_times_remainder"": [[0.0, 1.0010826909279002e-07]]}","[[0.0001, 0.004569740303443881]]","[[-0.0001, -0.004298657551483135]]",,"{""initial_remainder"": [[4.026275000000003e-06, 8.052550000000008e-06]], ""integration_overflow"": [[2.718255527847283e-06, 4.785188216005031e-05]], ""poly_times_remainder"": [[1e-323, 1.0580956272849442e-05]], ""polynomial_truncation"": [[1e-323, 1.0827997830040857e-05]], ""remainder_times_poly"": [[1e-323, 3.120596019715437e-05]], ""remainder_times_remainder"": [[1e-323, 1.3487517226138452e-09]]}",5,1.1,flowstar_compat,0.5,0,"[[9.79868595e-05, 8.004841298757357e-06]]",True,0.07631375000000001,True,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[4.026275000000003e-06, 8.052550000000008e-06]], ""integration_overflow"": [[2.718255527847283e-06, 4.785188216005031e-05]], ""poly_times_remainder"": [[1e-323, 1.0580956272849442e-05]], ""polynomial_truncation"": [[1e-323, 1.0827997830040857e-05]], ""remainder_times_poly"": [[1e-323, 3.120596019715437e-05]], ""remainder_times_remainder"": [[1e-323, 1.3487517226138452e-09]]}",,flowstar_raw_remainder_compat,validated
"[[2.2144522500000016e-06, 0.0001199910230004783]]","[[-2.2144522500000016e-06, -0.00011531297633854123]]",1,1,"[[0.0001, 0.0001]]","[[-0.0001, -0.0001]]",True,True,0.02214451250000001,0.1,0.002,0.02214451250000001,dense,4,"[[4.5779406832935724e-06, 6.962544506396505e-05]]","[[-3.5739651273938913e-06, -6.788116522179597e-05]]",0.0001456585160964485,remainder_validation,"[[2.2144542500000025e-06, 0.00011999102500047833]]","[[-2.2144542500000025e-06, -0.00011531297833854127]]","[[1.0000000000000002e-12, 1.0000000000000002e-12]]","[[-1.0000000000000002e-12, -1.0000000000000002e-12]]",0.7972633923654346,natural,0.0002397329118390196,"{""cutoff"": [[0.0, 4.450147717014405e-308]], ""initial_remainder"": [[0.0002, 0.00040000000000000013]], ""poly_times_remainder"": [[0.0, 0.0005553514108999037]], ""polynomial_truncation"": [[0.0, 0.007367990725207313]], ""remainder_times_poly"": [[0.0, 0.0023023837139812364]], ""remainder_times_remainder"": [[0.0, 1.119207371302396e-07]]}","[[0.0001, 0.005418544300782337]]","[[-0.0001, -0.005207293470043252]]",Flowstar raw remainder compat residual not subset of target remainder,"{""initial_remainder"": [[4.428902500000004e-06, 8.857805000000009e-06]], ""integration_overflow"": [[3.723001310687455e-06, 6.544938397648445e-05]], ""poly_times_remainder"": [[1e-323, 1.2298478547083674e-05]], ""polynomial_truncation"": [[1e-323, 1.6083763980996418e-05]], ""remainder_times_poly"": [[1e-323, 3.48156363497742e-05]], ""remainder_times_remainder"": [[1e-323, 1.5404314221006532e-09]]}",6,1.1,flowstar_compat,0.5,0,"[[9.778554575e-05, -1.9991025000478323e-05]]",False,0.09644512500000002,False,"{""cutoff"": [[4.450147717014404e-308, 4.450147717014404e-308]], ""initial_remainder"": [[4.428902500000004e-06, 8.857805000000009e-06]], ""integration_overflow"": [[3.723001310687455e-06, 6.544938397648445e-05]], ""poly_times_remainder"": [[1e-323, 1.2298478547083674e-05]], ""polynomial_truncation"": [[1e-323, 1.6083763980996418e-05]], ""remainder_times_poly"": [[1e-323, 3.48156363497742e-05]], ""remainder_times_remainder"": [[1e-323, 1.5404314221006532e-09]]}",Flowstar raw remainder compat residual not subset of target remainder,flowstar_raw_remainder_compat,failed
