accepted_steps,completed_horizon,leaf_evaluations,range_invocations,rejected_attempts,requested_horizon,run,runtime_s,status
7,0.1,392,98,3,0.1,t0p1_proactive_d1_truncation,2.6696315109729767,completed
31,0.5,1736,434,6,0.5,t0p5_proactive_d1_truncation,14.134379355236888,completed
50,1.0,2800,700,8,1.0,t1_proactive_d1_truncation,25.18994962517172,completed
138,4.0,7728,1932,21,4.0,t4_proactive_d1_truncation,95.77521470747888,completed
234,6.0,13104,3276,35,6.0,t6_proactive_d1_truncation,203.59564652759582,completed
307,6.397083942944808,17248,4312,48,6.5,t6p5_proactive_d1_truncation,316.7678998783231,failed
307,6.397083942944808,17248,4312,48,7.5,t7p5_proactive_d1_truncation,323.03601079806685,failed
307,6.397083942944808,17248,4312,48,10.0,t10_proactive_d1_truncation,315.26696055568755,failed
7,0.1,0,0,3,0.1,t0p1_natural,2.4412558879703283,completed
34,0.5,0,0,7,0.5,t0p5_natural,14.420215996913612,completed
52,1.0,0,0,8,1.0,t1p0_natural,24.63779387716204,completed
308,6.3497830056387565,1568,392,123,6.5,t6p5_on_failure_truncation_d1,327.7748500071466,failed
