tool,protocol,system,mode,basis,h,horizon,completed_steps,requested_steps,successful_horizon,native_validation_passed,exact_reference_checks,exact_reference_violations,sample_checks,sample_violations,validation_failed,final_endpoint_width_max,local_construction_basis,local_construction_order,carried_basis,carried_max_degree,projection_method,reset_method,validator,numerical_backend,python_orchestration_time_s,compile_time_s,first_call_time_s,steady_step_time_s,number_of_retained_coefficients,number_of_discarded_candidates,message
analytic_oracle,torch_dependency_forensics,harmonic,exact_rotation,affine_exact,0.01,10.0,1000,1000,10.0,True,2000,0,0,0,False,0.27661852799316466,rotation_matrix,exact,affine,1,none,none,analytic,torch_float64_cpu,,,,,,,
diffreach_experimental_strict_affine,matched_affine_carry,harmonic,strict_affine_projection,B1_carry,0.01,10.0,990,1000,9.9,False,1982,0,0,0,True,3987.3947586926747,"restricted_quasi_quadratic_{1,z,t^2,t*z}",restricted_quasi_quadratic,constant+affine_state_generators+independent_interval,1,Lt_termwise_range_midpoint_to_constant_residual_to_remainder,stock_symbolic_linear_normalization,DiffReach_remainder_picard,jax_cpu_float64,1.1166243911720812,0.9458716469816864,0.9458716469816864,2.6587331667542458e-05,2,6000,native Picard contraction failed
diffreach_restricted_quasiquadratic,complete_degree_two_reference,harmonic,restricted_quasiquadratic_native_carry,restricted_quasiquadratic_not_complete_degree_2,0.01,10.0,1000,1000,10.0,True,2002,0,0,0,False,0.4210171737847723,"restricted_quasi_quadratic_{1,z,t^2,t*z}",restricted_quasi_quadratic,"restricted_{1,z,t^2,t*z}",restricted_quasiquadratic,none,stock_symbolic_linear_normalization,DiffReach_remainder_picard,jax_cpu_float64,0.9381692172028124,0.8022612640634179,0.8022612640634179,2.691816072911024e-05,2,6000,
flowstar,complete_degree_two_reference,harmonic,order2_complete_carry,B2,0.01,10.0,450,1000,4.4999999999999485,False,902,0,0,0,True,1.9836458385553022,complete_total_degree_2,2,complete_total_degree_2,2,none,Flowstar_native_normalized_carry,Flowstar_initial_Picard_candidate_inclusion_retained,Flowstar_MPFR_interval_cpu,1.7992686480283737e-05,1.71813485911116,0.000647,0.000618,4,0,Flow* returned 4
flowstar,matched_affine_carry,harmonic,order2_local_affine_carry,B1_carry,0.01,10.0,450,1000,4.4999999999999485,False,902,0,0,0,True,1.9836458385553004,complete_total_degree_2,2,constant+affine_state_generators+independent_interval,1,Flowstar_ctrunc_degree_1_to_interval_remainder,stepwise_normalized_affine_carry,Flowstar_initial_Picard_candidate_inclusion_retained,Flowstar_MPFR_interval_cpu,1.7239246517419815e-05,1.7820625971071422,0.000627,0.000583,4,0,Flow* returned 4
torch_tm_flowpipe,complete_degree_two_reference,harmonic,finite_dictionary_complete_carry,B2,0.01,10.0,1000,1000,10.0,True,2002,0,0,0,False,8.493688718396932e+96,B2,2,complete_total_degree_2,2,termwise_interval_to_independent_remainder,none_dependency_preserving,torch_picard_growth,torch_float64_cpu,37.9257146040909,0.0,0.020357581786811352,0.02918629813939333,7996,3998,
torch_tm_flowpipe,matched_affine_carry,harmonic,finite_dictionary_affine_box_reset,B1,0.01,10.0,1000,1000,10.0,True,2002,0,0,0,False,56261.49596108419,B1,2,constant+affine_state_generators+independent_interval,1,termwise_interval_to_independent_remainder,affine_recenter_rescale_box,torch_picard_growth,torch_float64_cpu,20.225281877908856,0.0,0.015631152782589197,0.01571940677240491,2000,4000,
torch_tm_flowpipe,matched_basis_ablation,harmonic,finite_dictionary_affine_box_reset,B2,0.01,10.0,1000,1000,10.0,True,2002,0,0,0,False,4462.172298785031,B2,2,constant+affine_state_generators+independent_interval,1,termwise_interval_to_independent_remainder,affine_recenter_rescale_box,torch_picard_growth,torch_float64_cpu,27.72200697194785,0.0,0.020249678753316402,0.020264299120754004,4000,2000,
torch_tm_flowpipe,matched_basis_ablation,harmonic,finite_dictionary_affine_box_reset,B_DR,0.01,10.0,1000,1000,10.0,True,2002,0,0,0,False,4462.172298785031,B_DR,2,constant+affine_state_generators+independent_interval,1,termwise_interval_to_independent_remainder,affine_recenter_rescale_box,torch_picard_growth,torch_float64_cpu,27.643555426970124,0.0,0.020505124237388372,0.020306662656366825,4000,2000,
torch_tm_flowpipe,torch_dependency_forensics,harmonic,affine_box,B1,0.01,10.0,1000,1000,10.0,True,2000,0,0,0,False,4744.055596985269,complete_total_degree_1,1,affine,1,endpoint_box_to_affine_generators,affine_box,torch_picard_growth,torch_float64_cpu,17.116820211987942,0.0,0.017106615006923676,0.01695673121139407,,,
torch_tm_flowpipe,torch_dependency_forensics,harmonic,dependency_preserving,B1,0.01,10.0,1000,1000,10.0,True,2000,0,0,0,False,45064.98209770954,complete_total_degree_1,1,affine,1,none,dependency_preserving,torch_picard_growth,torch_float64_cpu,17.109057422261685,0.0,0.022084794007241726,0.016948253847658634,,,
torch_tm_flowpipe,torch_dependency_forensics,harmonic,qr,B1,0.01,10.0,1000,1000,10.0,True,2000,0,0,0,False,4744.055596985269,complete_total_degree_1,1,affine,1,endpoint_box_to_affine_generators,qr,torch_picard_growth,torch_float64_cpu,17.031579911708832,0.0,0.01711152819916606,0.01691892324015498,,,
torch_tm_flowpipe,torch_dependency_forensics,harmonic,range_only,B1,0.01,10.0,1000,1000,10.0,True,2000,0,0,0,False,4744.060282274752,complete_total_degree_1,1,affine,1,endpoint_box_to_affine_generators,range_only,torch_picard_growth,torch_float64_cpu,17.216846084222198,0.0,0.017049185931682587,0.017092364840209484,,,
