acceleration_scope,algorithmic_hardware_fair_comparison,analytic_reference_contained,backend,backend_status,compile_or_jit_time_s,completed_steps,device,dtype,evaluation_time,failure_category,first_step_time_s,h,message,native_validation_passed,peak_process_rss_kib,repetition,requested_horizon,requested_steps,steady_full_configuration_time_s,steady_step_time_s,successful_horizon,system,tool,variant,width_at_evaluation_time
secondary_native_hardware_throughput;same_full_configuration,False,,jax_cpu,available,3.2386256949976087,50,cpu,float64,0.25,,,0.005,,True,621616,0,0.25,50,0.0037143100053071976,7.428620010614395e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,,jax_cpu,available,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,1,0.25,50,0.003669939935207367,7.339879870414734e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,,jax_cpu,available,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,2,0.25,50,0.0031478768214583397,6.29575364291668e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,,jax_cpu,available,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,3,0.25,50,0.003673013299703598,7.346026599407196e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,,jax_cpu,available,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,4,0.25,50,0.00371452234685421,7.429044693708419e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,,jax_cpu,available,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,5,0.25,50,0.0035128723829984665,7.025744765996933e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,,jax_cpu,available,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,6,0.25,50,0.003404080867767334,6.808161735534668e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,,jax_cpu,available,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,7,0.25,50,0.0034141363576054573,6.828272715210915e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,,jax_cpu,available,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,8,0.25,50,0.0034346869215369225,6.869373843073845e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,,jax_cpu,available,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,9,0.25,50,0.004029444418847561,8.058888837695122e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput,False,,jax_cuda,unavailable,,,cuda,,,,,0.005,installed JAX/JAXlib exposes no GPU device,,,,0.25,,,,,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,
