acceleration_scope,algorithmic_hardware_fair_comparison,analytic_reference_contained,backend,backend_status,compile_or_jit_time_s,completed_steps,device,dtype,evaluation_time,failure_category,first_step_time_s,h,message,native_validation_passed,peak_process_rss_kib,repetition,requested_horizon,requested_steps,steady_full_configuration_time_s,steady_step_time_s,successful_horizon,system,tool,variant,width_at_evaluation_time
secondary_native_hardware_throughput;same_full_configuration,False,,flowstar_cpu,available,1.7121694004163146,50,cpu,MPFR_interval_53_bit,0.25,,0.000954,0.005,,True,unavailable,0,0.25,50,0.25281934067606926,0.00156,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
secondary_native_hardware_throughput;same_full_configuration,False,,flowstar_cpu,available,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000984,0.005,,True,unavailable,1,0.25,50,0.25381139013916254,0.001553,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
secondary_native_hardware_throughput;same_full_configuration,False,,flowstar_cpu,available,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000978,0.005,,True,unavailable,2,0.25,50,0.2525931978598237,0.001567,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
secondary_native_hardware_throughput;same_full_configuration,False,,flowstar_cpu,available,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.00099,0.005,,True,unavailable,3,0.25,50,0.24995960015803576,0.001546,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
secondary_native_hardware_throughput;same_full_configuration,False,,flowstar_cpu,available,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000975,0.005,,True,unavailable,4,0.25,50,0.2525996211916208,0.001564,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
secondary_native_hardware_throughput;same_full_configuration,False,,flowstar_cpu,available,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000981,0.005,,True,unavailable,5,0.25,50,0.25160289742052555,0.00156,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
secondary_native_hardware_throughput;same_full_configuration,False,,flowstar_cpu,available,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000981,0.005,,True,unavailable,6,0.25,50,0.2563861720263958,0.001581,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
secondary_native_hardware_throughput;same_full_configuration,False,,flowstar_cpu,available,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000983,0.005,,True,unavailable,7,0.25,50,0.25196688901633024,0.001555,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
secondary_native_hardware_throughput;same_full_configuration,False,,flowstar_cpu,available,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000976,0.005,,True,unavailable,8,0.25,50,0.25265013333410025,0.00156,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
secondary_native_hardware_throughput;same_full_configuration,False,,flowstar_cpu,available,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000982,0.005,,True,unavailable,9,0.25,50,0.2535511888563633,0.001577,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
