accepted_step,accepted_steps,analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,center_shift_from_initial,compile_time_s,dependency_loss_metric,dependency_loss_semantics,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_center,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,memory_measurement,memory_unavailable_reason,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,reference_oracle,remainder_estimation,remainder_width,requested_step,reset_method,runtime_export_s,runtime_propagation_s,runtime_s,runtime_setup_s,runtime_unavailable_semantics,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
0.01,48,,,,,c+A*xi+fresh_independent_interval,0.0025346707322675827,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,0.48,0.052534670732267585,tube,,,-34.012433048911085,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.10002621711778885,,common_affine_carry,,analytic_interval_solution,,68.0299092221689,0.01,,unavailable,0.023065208923071623,0.023065208923071623,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,48,0.48,riccati,3,0.48,torch_tm_flowpipe,not_applicable_analytic_reference,34.11750239037562,,2,,complete_total_degree_1,68.1299354392867
0.01,48,True,,,,c+A*xi+fresh_independent_interval,0.002547779291163718,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,0.48,0.05254777929116372,endpoint_raw,,,-34.01240683179329,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.10000000000000009,,common_affine_carry,,analytic_interval_solution,,68.0299092221689,0.01,,unavailable,0.023065208923071623,0.023065208923071623,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,48,0.48,riccati,2,0.48,torch_tm_flowpipe,not_applicable_analytic_reference,34.11750239037562,,2,,complete_total_degree_1,68.12990922216892
0.01,400,,,,,c+A*xi+fresh_independent_interval,0.0,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,4.0,0.0,tube,,,-1.4802512005434878e+38,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1}",True,,,,,0.20000000000000018,,common_affine_carry,,analytic_interval_solution,,2.9605024010869753e+38,0.01,,unavailable,0.024846676271408796,0.024846676271408796,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,400,4.0,harmonic,1,4.0,torch_tm_flowpipe,not_applicable_analytic_reference,1.4802512005434878e+38,,2,,complete_total_degree_1,2.9605024010869757e+38
0.01,400,,,,,c+A*xi+fresh_independent_interval,0.0,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,4.0,0.0,tube,,,-1.4802512005434878e+38,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1}",True,,,,,0.20000000000000018,,common_affine_carry,,analytic_interval_solution,,2.9605024010869753e+38,0.01,,unavailable,0.024846676271408796,0.024846676271408796,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,400,4.0,harmonic,1,4.0,torch_tm_flowpipe,not_applicable_analytic_reference,1.4802512005434878e+38,,2,,complete_total_degree_1,2.9605024010869757e+38
0.01,400,True,,,,c+A*xi+fresh_independent_interval,0.0,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,4.0,0.0,endpoint_raw,,,-1.4802512005434878e+38,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1}",True,,,,,0.20000000000000015,,common_affine_carry,,analytic_interval_solution,,2.9605024010869753e+38,0.01,,unavailable,0.024846676271408796,0.024846676271408796,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,400,4.0,harmonic,1,4.0,torch_tm_flowpipe,not_applicable_analytic_reference,1.4802512005434878e+38,,2,,complete_total_degree_1,2.9605024010869757e+38
0.01,400,True,,,,c+A*xi+fresh_independent_interval,0.0,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.01,4.0,0.0,endpoint_raw,,,-1.4802512005434878e+38,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1}",True,,,,,0.20000000000000015,,common_affine_carry,,analytic_interval_solution,,2.9605024010869753e+38,0.01,,unavailable,0.024846676271408796,0.024846676271408796,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,400,4.0,harmonic,1,4.0,torch_tm_flowpipe,not_applicable_analytic_reference,1.4802512005434878e+38,,2,,complete_total_degree_1,2.9605024010869757e+38
0.005,50,,,,,c+A*xi+fresh_independent_interval,0.004512394987530394,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.005,0.25,0.1045123949875304,tube,,,-36.671871713101545,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.040082918038154614,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,73.51268529813998,0.005,,unavailable,0.060390898026525974,0.060390898026525974,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,50,0.25,coupled_quadratic,3,0.25,torch_tm_flowpipe,True,36.880896503076606,,2,,complete_total_degree_1,73.55276821617815
0.005,50,,,,,c+A*xi+fresh_independent_interval,-0.04154927505560907,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.005,0.25,0.15845072494439094,tube,,,-63.82918430022581,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.04073905392118701,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,127.9345309964192,0.005,,unavailable,0.060390898026525974,0.060390898026525974,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,50,0.25,coupled_quadratic,3,0.25,torch_tm_flowpipe,True,64.1460857501146,,2,,complete_total_degree_1,127.97527005034041
0.005,50,,,,,c+A*xi+fresh_independent_interval,0.004553854006606878,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.005,0.25,0.10455385400660688,endpoint_raw,,,-36.67178879506339,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.04000000000000012,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,73.51268529813998,0.005,,unavailable,0.060390898026525974,0.060390898026525974,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,50,0.25,coupled_quadratic,2,0.25,torch_tm_flowpipe,True,36.880896503076606,,2,,complete_total_degree_1,73.55268529814
0.005,50,,,,,c+A*xi+fresh_independent_interval,-0.041918802016198964,0.0,reference,affine carry reference for box-reset dependency loss,torch_nextafter_outward,,,,True,0.005,0.25,0.15808119798380105,endpoint_raw,,,-63.82918430022581,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.04000000000000026,,common_affine_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,127.9345309964192,0.005,,unavailable,0.060390898026525974,0.060390898026525974,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,50,0.25,coupled_quadratic,2,0.25,torch_tm_flowpipe,True,64.14534669619341,,2,,complete_total_degree_1,127.97453099641922
