accepted_step,accepted_steps,analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,center_shift_from_initial,compile_time_s,dependency_loss_metric,dependency_loss_semantics,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_center,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,memory_measurement,memory_unavailable_reason,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,reference_oracle,remainder_estimation,remainder_width,requested_step,reset_method,runtime_export_s,runtime_propagation_s,runtime_s,runtime_setup_s,runtime_unavailable_semantics,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
0.01,100,,,,,componentwise_box,0.00416339285707492,0.0,unavailable,dependency loss requires a matched carry/reset control,torch_nextafter_outward,,,,True,0.01,1.0,0.05416339285707492,tube,,,-0.004750865523691221,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.11762605310421057,,common_box_carry,,analytic_interval_solution,,0.0002024636573217648,0.01,,unavailable,0.02223547687754035,0.02223547687754035,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,100,1.0,riccati,3,1.0,torch_tm_flowpipe,not_applicable_analytic_reference,0.11307765123784107,,2,,complete_total_degree_1,0.11782851676153229
0.01,100,True,,,,componentwise_box,0.004178043925176171,0.0,unavailable,no same-time affine reference row,torch_nextafter_outward,,,,True,0.01,1.0,0.054178043925176174,endpoint_raw,,,-0.004721563387488711,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.11759675096800802,,common_box_carry,,analytic_interval_solution,,0.0002024636573217648,0.01,,unavailable,0.02223547687754035,0.02223547687754035,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,100,1.0,riccati,2,1.0,torch_tm_flowpipe,not_applicable_analytic_reference,0.11307765123784105,,2,,complete_total_degree_1,0.11779921462532976
0.01,400,,,,,componentwise_box,0.0,0.0,unavailable,dependency loss requires a matched carry/reset control,torch_nextafter_outward,,,,True,0.01,4.0,0.0,tube,,,-14.388408360235823,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1}",True,,,,,28.42154737824112,,common_box_carry,,analytic_interval_solution,,0.3552693422305393,0.01,,unavailable,0.024857533164322376,0.024857533164322376,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,400,4.0,harmonic,1,4.0,torch_tm_flowpipe,not_applicable_analytic_reference,14.388408360235823,,2,,complete_total_degree_1,28.776816720471647
0.01,400,,,,,componentwise_box,0.0,0.0,unavailable,dependency loss requires a matched carry/reset control,torch_nextafter_outward,,,,True,0.01,4.0,0.0,tube,,,-14.388408360235823,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1}",True,,,,,28.42154737824112,,common_box_carry,,analytic_interval_solution,,0.3552693422305393,0.01,,unavailable,0.024857533164322376,0.024857533164322376,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,400,4.0,harmonic,1,4.0,torch_tm_flowpipe,not_applicable_analytic_reference,14.388408360235823,,2,,complete_total_degree_1,28.776816720471647
0.01,400,True,,,,componentwise_box,0.0,0.0,9.720247722111616e-38,box_width_over_same_time_affine_carry_width,torch_nextafter_outward,,,,True,0.01,4.0,0.0,endpoint_raw,,,-14.388408360235823,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1}",True,,,,,28.421547378241115,,common_box_carry,,analytic_interval_solution,,0.3552693422305393,0.01,,unavailable,0.024857533164322376,0.024857533164322376,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,400,4.0,harmonic,1,4.0,torch_tm_flowpipe,not_applicable_analytic_reference,14.388408360235823,,2,,complete_total_degree_1,28.776816720471647
0.01,400,True,,,,componentwise_box,0.0,0.0,9.720247722111616e-38,box_width_over_same_time_affine_carry_width,torch_nextafter_outward,,,,True,0.01,4.0,0.0,endpoint_raw,,,-14.388408360235823,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1}",True,,,,,28.421547378241115,,common_box_carry,,analytic_interval_solution,,0.3552693422305393,0.01,,unavailable,0.024857533164322376,0.024857533164322376,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,400,4.0,harmonic,1,4.0,torch_tm_flowpipe,not_applicable_analytic_reference,14.388408360235823,,2,,complete_total_degree_1,28.776816720471647
0.005,50,,,,,componentwise_box,0.0045173122952179845,0.0,unavailable,dependency loss requires a matched carry/reset control,torch_nextafter_outward,,,,True,0.005,0.25,0.10451731229521799,tube,,,0.08236035106004969,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.044224074460069415,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,8.984801026723808e-05,0.005,,unavailable,0.05984779028221965,0.05984779028221965,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,50,0.25,coupled_quadratic,3,0.25,torch_tm_flowpipe,True,0.1266742735303863,,2,,complete_total_degree_1,0.04431392247033661
0.005,50,,,,,componentwise_box,-0.04154614792038511,0.0,unavailable,dependency loss requires a matched carry/reset control,torch_nextafter_outward,,,,True,0.005,0.25,0.1584538520796149,tube,,,0.12904662025126112,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 1}",True,,,,,0.058391040227710495,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,0.0004234234289972385,0.005,,unavailable,0.05984779028221965,0.05984779028221965,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,50,0.25,coupled_quadratic,3,0.25,torch_tm_flowpipe,True,0.18786108390796868,,2,,complete_total_degree_1,0.05881446365670756
0.005,50,,,,,componentwise_box,0.00455879483500804,0.0,0.0006013506809638528,box_width_over_same_time_affine_carry_width,torch_nextafter_outward,,,,True,0.005,0.25,0.10455879483500805,endpoint_raw,,,0.08244331613962981,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.04414110938048925,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,8.984801026723808e-05,0.005,,unavailable,0.05984779028221965,0.05984779028221965,0.0,unavailable means the backend did not isolate this component; it is not zero,,0,,50,0.25,coupled_quadratic,2,0.25,torch_tm_flowpipe,True,0.12667427353038627,,2,,complete_total_degree_1,0.044230957390756456
0.005,50,,,,,componentwise_box,-0.041915913515451375,0.0,0.00045380070561227453,box_width_over_same_time_affine_carry_width,torch_nextafter_outward,,,,True,0.005,0.25,0.15808408648454864,endpoint_raw,,,0.12904662025126115,1,unavailable,this protocol did not isolate process/device peak memory,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.057651509037577764,,common_box_carry,,deterministic_DOP853_trajectory_sanity_non_proof,,0.0004234234289972385,0.005,,unavailable,0.05984779028221965,0.05984779028221965,0.0,unavailable means the backend did not isolate this component; it is not zero,,1,,50,0.25,coupled_quadratic,2,0.25,torch_tm_flowpipe,True,0.1871215527178361,,2,,complete_total_degree_1,0.05807493246657494
