analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,compile_time_s,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,remainder_estimation,remainder_width,reset_method,runtime_s,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
,,,,none_one_step,1.7069080891087651,True,,,,False,0.005,0.005,tube,,,-1.2531289217414028e-05,2,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 2, ""time_state"": 1}",True,,,,,0.10006250312500016,,one_step_common_input,,,1.257509876297054e-05,,1.8786592450924218,,0,,1,,riccati,5,0.005,flowstar,,0.10005004693454558,,23,,flowstar_root_cause_patch,0.100062578223763
True,,,,none_one_step,1.7069080891087651,True,,,,False,0.005,0.005,endpoint_raw,,,-1.2528164217412203e-05,1,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.10005000000000008,,one_step_common_input,,,1.2575098762977479e-05,,1.8786592450924218,,0,,1,,riccati,2,0.005,flowstar,,0.10005004693454558,,23,,flowstar_root_cause_patch,0.100062575098763
,,,,none_one_step,1.7101519270800054,True,,,,False,0.005,0.005,tube,,,-2.5021886738024632e-05,4,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 4, ""time_state"": 1, ""time_state_higher"": 4}",True,,,,,0.10007503125703168,,one_step_common_input,,,1.2538346778814681e-08,,1.8812042870558798,,0,,1,,riccati,11,0.005,flowstar,,0.10005002815785899,,27,,flowstar_root_cause_patch,0.10007505004459702
True,,,,none_one_step,1.7101519270800054,True,,,,False,0.005,0.005,endpoint_raw,,,-2.5021886737823404e-05,2,,,"{""affine_state"": 1, ""constant"": 1, ""state_state"": 1}",True,,,,,0.10006252813125009,,one_step_common_input,,,1.2538346792692469e-08,,1.8812042870558798,,0,,1,,riccati,3,0.005,flowstar,,0.10005002815785899,,27,,flowstar_root_cause_patch,0.10007505004459681
,,,,none_one_step,1.7183545981533825,True,,,,False,0.01,0.01,tube,,,-2.512531417887451e-05,2,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 2, ""time_state"": 1}",True,,,,,0.10012501250000015,,one_step_common_input,,,2.5300791108456286e-05,,1.889517362229526,,0,,1,,riccati,5,0.01,flowstar,,0.10010018797692961,,23,,flowstar_root_cause_patch,0.10012531329110849
True,,,,none_one_step,1.7183545981533825,True,,,,False,0.01,0.01,endpoint_raw,,,-2.511281417887415e-05,1,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.10010000000000009,,one_step_common_input,,,2.5300791108470164e-05,,1.889517362229526,,0,,1,,riccati,2,0.01,flowstar,,0.10010018797692961,,23,,flowstar_root_cause_patch,0.10012530079110848
,,,,none_one_step,1.7194495750591159,True,,,,False,0.01,0.01,tube,,,-5.008759405873296e-05,4,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 4, ""time_state"": 1, ""time_state_higher"": 4}",True,,,,,0.10015012505625334,,one_step_common_input,,,5.030729997416936e-08,,1.8912233477458358,,0,,1,,riccati,11,0.01,flowstar,,0.10010011276324439,,27,,flowstar_root_cause_patch,0.10015020035730313
True,,,,none_one_step,1.7194495750591159,True,,,,False,0.01,0.01,endpoint_raw,,,-5.00875940556174e-05,2,,,"{""affine_state"": 1, ""constant"": 1, ""state_state"": 1}",True,,,,,0.10012511255000012,,one_step_common_input,,,5.030729997416936e-08,,1.8912233477458358,,0,,1,,riccati,3,0.01,flowstar,,0.10010011276324439,,27,,flowstar_root_cause_patch,0.1001502003573
,,,,none_one_step,1.7203284199349582,True,,,,False,0.02,0.02,tube,,,-5.0502520482300046e-05,2,,,"{""affine_state"": 1, ""constant"": 1, ""time_only"": 2, ""time_state"": 1}",True,,,,,0.10025005000000016,,one_step_common_input,,,5.120634498432178e-05,,1.891152218915522,,0,,1,,riccati,5,0.02,flowstar,,0.10020075382450205,,23,,flowstar_root_cause_patch,0.10025125634498436
True,,,,none_one_step,1.7203284199349582,True,,,,False,0.02,0.02,endpoint_raw,,,-5.045252048230555e-05,1,,,"{""affine_state"": 1, ""constant"": 1}",True,,,,,0.1002000000000001,,one_step_common_input,,,5.120634498432872e-05,,1.891152218915522,,0,,1,,riccati,2,0.02,flowstar,,0.10020075382450205,,23,,flowstar_root_cause_patch,0.10025120634498436
