failure_category,h,message,protocol,result_source,step_index,system,tool,variant
native_validation_failure,0.005,native Picard contraction failed,common_affine_carry,controlled_summary,,van_der_pol,diffreach_experimental_strict_affine,
native_validation_failure,0.01,native Picard contraction failed,common_affine_carry,controlled_summary,,van_der_pol,diffreach_experimental_strict_affine,
native_configuration_rejected,0.05,"Flow* exporter returned 4; stdout=FLOWSTAR_AUDIT step=1 phase=advance_enter dimension=1 order=2 step_lower=0 step_upper=0.050000000000000003 cutoff_lower=-1.0000000000000001e-15 cutoff_upper=1.0000000000000001e-15 source_line=921
FLOWSTAR_AUDIT step=1 phase=configured_candidate_remainder state=0 round=-1 lower=-0.0001 upper=0.0001 width=0.00020000000000000001 subset=-1 source_line=926
FLOWSTAR_AUDIT step=1 phase=current_input_domain state=0 round=-1 lower=0 upper=0 width=0 subset=-1 source_line=931
FLOWSTAR_AUDIT step=1 phase=current_input_domain state=1 round=-1 lower=-1 upper=1 width=2 subset=-1 source_line=931
FLOWSTAR_AUDIT step=1 phase=current_input_box state=0 round=-1 lower=-0.050000000000000003 upper=0.050000000000000003 width=0.10000000000000001 subset=-1 source_line=999
FLOWSTAR_AUDIT step=1 phase=polynomial_core_before_validation state=0 round=-1 lower=-0.00025000000000000011 upper=0.10037531250000001 width=0.10062531250000001 subset=-1 source_line=1044
FLOWSTAR_AUDIT step=1 phase=cache_leaf_truncation_recorded state=-1 round=-1 lower=-0.00025000000000000011 upper=0.00025031250000000016 width=0.00050031250000000032 subset=-1 source_line=1664
FLOWSTAR_AUDIT step=1 phase=first_picard_image_remainder_before_int_difference state=0 round=-1 lower=-4.135505468750004e-06 upper=0.00012913942109863289 width=0.00013327492656738289 subset=-1 source_line=1073
FLOWSTAR_AUDIT step=1 phase=polynomial_difference_interval state=0 round=-1 lower=-6.5052130349130276e-20 upper=4.3435849535200528e-20 width=1.084879798843308e-19 subset=-1 source_line=1075
FLOWSTAR_AUDIT step=1 phase=candidate_minus_picard_margins state=0 lower_margin=9.5864494531249937e-05 upper_margin=-2.913942109863294e-05 source_line=1097
FLOWSTAR_AUDIT step=1 phase=cutoff_and_uncertainty_accounting state=0 cutoff_contribution=embedded_in_picard_remainder uncertainty_contribution=embedded_in_picard_remainder separately_exposed=0 source_line=1104
FLOWSTAR_AUDIT step=1 phase=first_picard_image_remainder_with_int_difference state=0 round=-1 lower=-4.1355054687500693e-06 upper=0.00012913942109863294 width=0.00013327492656738303 subset=0 source_line=1108
FLOWSTAR_AUDIT step=1 phase=advance_return reason=first_picard_inclusion_failed failing_state=0 return_code=0 source_line=1119
FS_STATUS advanced=0 seconds=0.00012899999999999999 variant=flowstar_root_cause_patch
; stderr=",one_step_common_input,controlled_summary,,riccati,flowstar,flowstar_root_cause_patch
flowstar_advance_validation_failure,0.01,Flow* returned 4,common_box_carry,controlled_summary,,harmonic,flowstar,flowstar_root_cause_patch
flowstar_advance_validation_failure,0.005,Flow* returned 4,common_affine_carry,controlled_summary,,van_der_pol,flowstar,flowstar_root_cause_patch
flowstar_advance_validation_failure,0.005,Flow* returned 4,common_box_carry,controlled_summary,,van_der_pol,flowstar,flowstar_root_cause_patch
flowstar_advance_validation_failure,0.01,Flow* returned 4,common_affine_carry,controlled_summary,,van_der_pol,flowstar,flowstar_root_cause_patch
flowstar_advance_validation_failure,0.01,Flow* returned 4,common_box_carry,controlled_summary,,van_der_pol,flowstar,flowstar_root_cause_patch
native_validation_failure,0.01,non-finite residual interval,native_low_order,native_summary,,riccati,torch_tm_flowpipe,order1_raw_dependency
native_validation_failure,0.01,non-finite residual interval,native_practical,native_summary,,riccati,torch_tm_flowpipe,order2_raw_dependency
native_validation_failure,0.005,non-finite residual interval,native_low_order,native_summary,,coupled_quadratic,torch_tm_flowpipe,order1_raw_dependency
native_validation_failure,0.005,non-finite residual interval,native_low_order,native_summary,,van_der_pol,torch_tm_flowpipe,order1_raw_dependency
native_validation_failure,0.005,non-finite residual interval,native_low_order,native_summary,,van_der_pol,torch_tm_flowpipe,order1_legacy_tightened
native_validation_failure,0.005,non-finite residual interval,native_low_order,native_summary,,van_der_pol,torch_tm_flowpipe,order1_range_only
native_validation_failure,0.005,non-finite residual interval,native_practical,native_summary,,van_der_pol,torch_tm_flowpipe,order2_raw_dependency
native_validation_failure,0.01,non-finite residual interval,native_low_order,native_summary,,van_der_pol,torch_tm_flowpipe,order1_raw_dependency
native_validation_failure,0.01,non-finite residual interval,native_low_order,native_summary,,van_der_pol,torch_tm_flowpipe,order1_legacy_tightened
native_validation_failure,0.01,non-finite residual interval,native_low_order,native_summary,,van_der_pol,torch_tm_flowpipe,order1_range_only
native_validation_failure,0.01,non-finite residual interval,native_practical,native_summary,,van_der_pol,torch_tm_flowpipe,order2_raw_dependency
native_validation_failure,0.005,,native_low_order,native_summary,,van_der_pol,diffreach,affine_flag
native_validation_failure,0.01,,native_low_order,native_summary,,van_der_pol,diffreach,affine_flag
native_validation_failure,0.01,,native_low_order,native_summary,,van_der_pol,diffreach,quasi_window1_round1
analytic_reference_violation,0.005,,,flowstar_correctness,,riccati,flowstar,flowstar_stock
analytic_reference_violation,0.01,,,flowstar_correctness,,riccati,flowstar,flowstar_stock
analytic_reference_violation,0.02,,,flowstar_correctness,,riccati,flowstar,flowstar_stock
