basis,coefficient,destination,exponent,h,iteration,range_lower,range_upper,range_width,stage,state_index,system
B1,0.0020000000000000005,fresh_independent_interval_remainder,"[0, 1, 1]",0.0025,1,-5.000000000000003e-06,5.000000000000003e-06,1.0000000000000008e-05,picard,0,coupled_quadratic
B1,0.003999999999999999,fresh_independent_interval_remainder,"[1, 0, 1]",0.0025,1,-1.0000000000000003e-05,1.0000000000000003e-05,2.000000000000001e-05,picard,0,coupled_quadratic
B1,0.0004,fresh_independent_interval_remainder,"[1, 1, 1]",0.0025,1,-1.0000000000000006e-06,1.0000000000000006e-06,2.0000000000000016e-06,picard,0,coupled_quadratic
B1,0.003999999999999999,fresh_independent_interval_remainder,"[1, 0, 1]",0.0025,1,-1.0000000000000003e-05,1.0000000000000003e-05,2.000000000000001e-05,picard,1,coupled_quadratic
B1,0.00039999999999999986,fresh_independent_interval_remainder,"[2, 0, 1]",0.0025,1,-5e-324,1.0000000000000004e-06,1.0000000000000006e-06,picard,1,coupled_quadratic
B1,-0.020000000000000004,fresh_independent_interval_remainder,"[0, 1, 1]",0.0025,1,-5.000000000000003e-05,5.000000000000003e-05,0.00010000000000000007,picard,1,coupled_quadratic
B1,0.0020000000000000005,fresh_independent_interval_remainder,"[0, 1, 1]",0.0025,2,-5.000000000000003e-06,5.000000000000003e-06,1.0000000000000008e-05,picard,0,coupled_quadratic
B1,-0.0075000000000000015,fresh_independent_interval_remainder,"[0, 0, 2]",0.0025,2,-4.687500000000002e-08,5e-324,4.687500000000003e-08,picard,0,coupled_quadratic
B1,0.003999999999999999,fresh_independent_interval_remainder,"[1, 0, 1]",0.0025,2,-1.0000000000000003e-05,1.0000000000000003e-05,2.000000000000001e-05,picard,0,coupled_quadratic
B1,0.0004,fresh_independent_interval_remainder,"[1, 1, 1]",0.0025,2,-1.0000000000000006e-06,1.0000000000000006e-06,2.0000000000000016e-06,picard,0,coupled_quadratic
B1,-0.0018999999999999998,fresh_independent_interval_remainder,"[1, 0, 2]",0.0025,2,-1.1875000000000004e-08,1.1875000000000004e-08,2.375000000000001e-08,picard,0,coupled_quadratic
B1,0.0002000000000000001,fresh_independent_interval_remainder,"[0, 1, 2]",0.0025,2,-1.2500000000000013e-09,1.2500000000000013e-09,2.500000000000003e-09,picard,0,coupled_quadratic
B1,-0.001266666666666667,fresh_independent_interval_remainder,"[0, 0, 3]",0.0025,2,-1.9791666666666682e-11,5e-324,1.9791666666666686e-11,picard,0,coupled_quadratic
B1,0.003999999999999999,fresh_independent_interval_remainder,"[1, 0, 1]",0.0025,2,-1.0000000000000003e-05,1.0000000000000003e-05,2.000000000000001e-05,picard,1,coupled_quadratic
B1,0.097,fresh_independent_interval_remainder,"[0, 0, 2]",0.0025,2,-5e-324,6.062500000000002e-07,6.062500000000003e-07,picard,1,coupled_quadratic
B1,0.00039999999999999986,fresh_independent_interval_remainder,"[2, 0, 1]",0.0025,2,-5e-324,1.0000000000000004e-06,1.0000000000000006e-06,picard,1,coupled_quadratic
B1,0.0004,fresh_independent_interval_remainder,"[1, 0, 2]",0.0025,2,-2.5000000000000013e-09,2.5000000000000013e-09,5.000000000000003e-09,picard,1,coupled_quadratic
B1,0.0001333333333333334,fresh_independent_interval_remainder,"[0, 0, 3]",0.0025,2,-5e-324,2.0833333333333354e-12,2.083333333333336e-12,picard,1,coupled_quadratic
B1,-0.020000000000000004,fresh_independent_interval_remainder,"[0, 1, 1]",0.0025,2,-5.000000000000003e-05,5.000000000000003e-05,0.00010000000000000007,picard,1,coupled_quadratic
B_DR,0.0004,fresh_independent_interval_remainder,"[1, 1, 1]",0.0025,1,-1.0000000000000006e-06,1.0000000000000006e-06,2.0000000000000016e-06,picard,0,coupled_quadratic
B_DR,0.00039999999999999986,fresh_independent_interval_remainder,"[2, 0, 1]",0.0025,1,-5e-324,1.0000000000000004e-06,1.0000000000000006e-06,picard,1,coupled_quadratic
B_DR,-0.0012999999999999997,fresh_independent_interval_remainder,"[1, 0, 2]",0.0025,2,-8.125000000000003e-09,8.125000000000003e-09,1.625000000000001e-08,picard,0,coupled_quadratic
B_DR,-0.0006000000000000001,fresh_independent_interval_remainder,"[0, 1, 2]",0.0025,2,-3.750000000000002e-09,3.750000000000002e-09,7.500000000000006e-09,picard,0,coupled_quadratic
B_DR,0.0004,fresh_independent_interval_remainder,"[1, 1, 1]",0.0025,2,-1.0000000000000006e-06,1.0000000000000006e-06,2.0000000000000016e-06,picard,0,coupled_quadratic
B_DR,3.999999999999998e-05,fresh_independent_interval_remainder,"[2, 0, 2]",0.0025,2,-5e-324,2.5000000000000007e-10,2.500000000000001e-10,picard,0,coupled_quadratic
B_DR,-0.00016,fresh_independent_interval_remainder,"[1, 1, 2]",0.0025,2,-1.0000000000000009e-09,1.0000000000000009e-09,2.000000000000002e-09,picard,0,coupled_quadratic
B_DR,-0.001266666666666667,fresh_independent_interval_remainder,"[0, 0, 3]",0.0025,2,-1.9791666666666682e-11,5e-324,1.9791666666666686e-11,picard,0,coupled_quadratic
B_DR,-0.0002266666666666666,fresh_independent_interval_remainder,"[1, 0, 3]",0.0025,2,-3.5416666666666678e-12,3.5416666666666678e-12,7.083333333333336e-12,picard,0,coupled_quadratic
B_DR,-0.0002600000000000001,fresh_independent_interval_remainder,"[0, 1, 3]",0.0025,2,-4.0625000000000046e-12,4.0625000000000046e-12,8.12500000000001e-12,picard,0,coupled_quadratic
B_DR,2.000000000000001e-05,fresh_independent_interval_remainder,"[0, 2, 2]",0.0025,2,-5e-324,1.2500000000000014e-10,1.2500000000000016e-10,picard,0,coupled_quadratic
B_DR,0.010200000000000002,fresh_independent_interval_remainder,"[0, 1, 2]",0.0025,2,-6.375000000000005e-08,6.375000000000005e-08,1.2750000000000013e-07,picard,1,coupled_quadratic
