analytic_reference_contained,basis,carry,directed_rounding_or_mpfr,endpoint_evaluation_path,excluded_from_authoritative,floating_point_enclosure_candidate,h,horizon,interval_kind,lower,message,native_validation_passed,order,polynomial_width,protocol,remainder_width,runtime_s,state_index,step_index,system,time,tool,upper,variant,width
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-2.511281417887415e-05,,True,2,0.10010000000000001,native_low_order,2.5300791108456286e-05,0.000136,0,1,riccati,0.01,flowstar,0.1001001879769296,root_cause_fixed_order_2,0.10012530079110847
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-5.027611842930601e-05,,True,2,0.100200150075025,native_low_order,5.0703058507337286e-05,0.000109,0,2,riccati,0.02,flowstar,0.10020057701510304,root_cause_fixed_order_2,0.10025085313353235
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-7.549002734455671e-05,,True,2,0.10030045052552547,native_low_order,7.620722240997222e-05,0.000109,0,3,riccati,0.03,flowstar,0.10030116772059089,root_cause_fixed_order_2,0.10037665774793544
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0001007546558278267,,True,2,0.10040090165270407,native_low_order,0.00010181370502635596,0.000107,0,4,riccati,0.04,flowstar,0.1004019607019026,root_cause_fixed_order_2,0.10050271535773043
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0001260701190932839,,True,2,0.10050150375851803,native_low_order,0.00012752293057416295,0.000106,0,5,riccati,0.05,flowstar,0.10050295656999891,root_cause_fixed_order_2,0.1006290266890922
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00015143653266700877,,True,2,0.10060225714568141,native_low_order,0.0001533353252898308,0.000108,0,6,riccati,0.060000000000000005,flowstar,0.10060415593830424,root_cause_fixed_order_2,0.10075559247097125
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00017685401238803016,,True,2,0.10070316211766721,native_low_order,0.00017925131743971499,0.000104,0,7,riccati,0.07,flowstar,0.1007055594227189,root_cause_fixed_order_2,0.10088241343510693
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00020232267440931247,,True,2,0.10080421897870989,native_low_order,0.00020527133733131423,0.000104,0,8,riccati,0.08,flowstar,0.10080716764163189,root_cause_fixed_order_2,0.1010094903160412
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00022784263519877137,,True,2,0.10090542803380748,native_low_order,0.0002313958173245678,0.000114,0,9,riccati,0.09,flowstar,0.10090898121593327,root_cause_fixed_order_2,0.10113682385113204
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0002534140115402895,,True,2,0.10100678958872397,native_low_order,0.000257625191843225,0.000106,0,10,riccati,0.09999999999999999,flowstar,0.1010110007690269,root_cause_fixed_order_2,0.10126441478056719
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00027903692053471175,,True,2,0.10110830394999165,native_low_order,0.00028395989738628705,0.000124,0,11,riccati,0.10999999999999999,flowstar,0.10111322692684323,root_cause_fixed_order_2,0.10139226384737794
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0003047114796008341,,True,2,0.10120997142491328,native_low_order,0.0003104003725395223,0.000108,0,12,riccati,0.11999999999999998,flowstar,0.10121566031785198,root_cause_fixed_order_2,0.10152037179745281
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0003304378064765313,,True,2,0.10131179232156462,native_low_order,0.0003369470579870557,0.000108,0,13,riccati,0.12999999999999998,flowstar,0.10131830157307516,root_cause_fixed_order_2,0.10164873937955168
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00035621601921965594,,True,2,0.10141376694879659,native_low_order,0.0003636003965230318,0.000107,0,14,riccati,0.13999999999999999,flowstar,0.10142115132609997,root_cause_fixed_order_2,0.10177736734531963
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00038204623620913264,,True,2,0.10151589561623763,native_low_order,0.00039036083306335297,0.000108,0,15,riccati,0.15,flowstar,0.10152421021309185,root_cause_fixed_order_2,0.10190625644930099
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0004079285761460585,,True,2,0.10161817863429631,native_low_order,0.0004172288146574932,0.000108,0,16,riccati,0.16,flowstar,0.10162747887280775,root_cause_fixed_order_2,0.10203540744895381
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0004338631580545412,,True,2,0.10172061631416321,native_low_order,0.0004442047905003873,0.000108,0,17,riccati,0.17,flowstar,0.10173095794660905,root_cause_fixed_order_2,0.10216482110466359
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.00045985010128296025,,True,2,0.10182320896781374,native_low_order,0.000471289211944397,0.000107,0,18,riccati,0.18000000000000002,flowstar,0.10183464807847518,root_cause_fixed_order_2,0.10229449817975815
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0004858895255048747,,True,2,0.10192595690801026,native_low_order,0.0004984825325113542,0.000108,0,19,riccati,0.19000000000000003,flowstar,0.10193854991501676,root_cause_fixed_order_2,0.10242443944052164
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0005119815507201255,,True,2,0.10202886044830459,native_low_order,0.0005257852079046819,0.000107,0,20,riccati,0.20000000000000004,flowstar,0.10204266410548914,root_cause_fixed_order_2,0.10255464565620927
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.000538126297255883,,True,2,0.10213191990304026,native_low_order,0.0005531976960215923,0.000118,0,21,riccati,0.21000000000000005,flowstar,0.10214699130180598,root_cause_fixed_order_2,0.10268511759906186
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0005643238857676733,,True,2,0.10223513558735506,native_low_order,0.0005807204569653654,0.000108,0,22,riccati,0.22000000000000006,flowstar,0.10225153215855276,root_cause_fixed_order_2,0.10281585604432043
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0005905744372404683,,True,2,0.10233850781718337,native_low_order,0.0006083539530577049,0.000105,0,23,riccati,0.23000000000000007,flowstar,0.10235628733300062,root_cause_fixed_order_2,0.10294686177024108
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0006168780729897751,,True,2,0.10244203690925863,native_low_order,0.0006360986488511771,0.000105,0,24,riccati,0.24000000000000007,flowstar,0.10246125748512004,root_cause_fixed_order_2,0.10307813555810981
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0006432349146626366,,True,2,0.10254572318111566,native_low_order,0.0006639550111417265,0.000104,0,25,riccati,0.25000000000000006,flowstar,0.10256644327759476,root_cause_fixed_order_2,0.10320967819225739
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0006696450842387563,,True,2,0.1026495669510932,native_low_order,0.0006919235089812754,0.000104,0,26,riccati,0.26000000000000006,flowstar,0.10267184537583574,root_cause_fixed_order_2,0.10334149046007449
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0006961087040315623,,True,2,0.10275356853833634,native_low_order,0.0007200046136904043,0.000105,0,27,riccati,0.2700000000000001,flowstar,0.1027774644479952,root_cause_fixed_order_2,0.10347357315202675
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.000722625896689291,,True,2,0.10285772826279893,native_low_order,0.0007481987988711141,0.000104,0,28,riccati,0.2800000000000001,flowstar,0.10288330116498076,root_cause_fixed_order_2,0.10360592706167006
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0007491967851960512,,True,2,0.10296204644524606,native_low_order,0.0007765065404196728,0.000108,0,29,riccati,0.2900000000000001,flowstar,0.10298935620046969,root_cause_fixed_order_2,0.10373855298566574
