basis,carry_or_preconditioning,compile_or_jit_time_s,evaluation_time,excluded_from_authoritative,exclusion_reason,h,memory_kib,native_validation_passed,primary_numerical_eligible,requested_horizon,runtime_max_s,runtime_min_s,runtime_repetitions,runtime_statistic,steady_full_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time,width_runtime_pareto
complete_total_degree_1,dependency_raw,0.0,0.49,True,native_validation_failure,0.01,unavailable,False,False,1.0,,,1,single_native_sweep,0.6873356304131448,0.49,riccati,torch_tm_flowpipe,True,order1_raw_dependency,68.1126893216861,False
complete_total_degree_1,dependency_tightened,0.0,1.0,True,supplemental_tightened_endpoint_not_raw_comparable,0.01,unavailable,True,False,1.0,,,1,single_native_sweep,1.3034142758697271,1.0,riccati,torch_tm_flowpipe,True,order1_legacy_tightened,0.11428888990517203,False
complete_total_degree_2,dependency_raw,0.0,0.49,True,native_validation_failure,0.01,unavailable,False,False,1.0,,,1,single_native_sweep,0.8896119939163327,0.49,riccati,torch_tm_flowpipe,True,order2_raw_dependency,68.11268932168593,False
complete_total_degree_1,dependency_tightened,0.0,4.0,True,supplemental_tightened_endpoint_not_raw_comparable,0.01,unavailable,True,False,4.0,,,1,single_native_sweep,10.116890120785683,4.0,harmonic,torch_tm_flowpipe,True,order1_legacy_tightened,30.22974298580359,False
complete_total_degree_1,dependency_raw,0.0,0.22,True,native_validation_failure,0.005,unavailable,False,False,0.25,,,1,single_native_sweep,1.8661399013362825,0.22,coupled_quadratic,torch_tm_flowpipe,True,order1_raw_dependency,137.5430221640465,False
complete_total_degree_1,dependency_tightened,0.0,0.25,True,supplemental_tightened_endpoint_not_raw_comparable,0.005,unavailable,True,False,0.25,,,1,single_native_sweep,1.9376852316781878,0.25,coupled_quadratic,torch_tm_flowpipe,True,order1_legacy_tightened,0.06755913690932709,False
complete_total_degree_1,dependency_tightened,0.0,0.25,True,supplemental_tightened_endpoint_not_raw_comparable,0.01,unavailable,True,False,0.25,,,1,single_native_sweep,0.9704744867049158,0.25,coupled_quadratic,torch_tm_flowpipe,True,order1_legacy_tightened,0.06886708150726166,False
complete_total_degree_1,dependency_raw,0.0,0.11,True,native_validation_failure,0.005,unavailable,False,False,1.0,,,1,single_native_sweep,1.2261391603387892,0.11,van_der_pol,torch_tm_flowpipe,True,order1_raw_dependency,73.19030728198442,False
complete_total_degree_1,dependency_tightened,0.0,0.48,True,supplemental_tightened_endpoint_not_raw_comparable,0.005,unavailable,False,False,1.0,,,1,single_native_sweep,4.628198771737516,0.48,van_der_pol,torch_tm_flowpipe,True,order1_legacy_tightened,249.69579923823426,False
complete_total_degree_1,range_only,0.0,0.49,True,native_validation_failure,0.005,unavailable,False,False,1.0,,,1,single_native_sweep,4.84864102024585,0.49,van_der_pol,torch_tm_flowpipe,True,order1_range_only,385.94103994518116,False
complete_total_degree_2,dependency_raw,0.0,0.135,True,native_validation_failure,0.005,unavailable,False,False,1.0,,,1,single_native_sweep,3.741048056166619,0.135,van_der_pol,torch_tm_flowpipe,True,order2_raw_dependency,150.51824262577833,False
complete_total_degree_1,dependency_raw,0.0,0.16,True,native_validation_failure,0.01,unavailable,False,False,1.0,,,1,single_native_sweep,0.9677902394905686,0.16,van_der_pol,torch_tm_flowpipe,True,order1_raw_dependency,38.51513422364772,False
complete_total_degree_1,dependency_tightened,0.0,0.46,True,supplemental_tightened_endpoint_not_raw_comparable,0.01,unavailable,False,False,1.0,,,1,single_native_sweep,2.351321554277092,0.46,van_der_pol,torch_tm_flowpipe,True,order1_legacy_tightened,113.17649373905493,False
complete_total_degree_1,range_only,0.0,0.48,True,native_validation_failure,0.01,unavailable,False,False,1.0,,,1,single_native_sweep,2.555048124399036,0.48,van_der_pol,torch_tm_flowpipe,True,order1_range_only,241.81431775633405,False
complete_total_degree_2,dependency_raw,0.0,0.2,True,native_validation_failure,0.01,unavailable,False,False,1.0,,,1,single_native_sweep,2.9317036559805274,0.2,van_der_pol,torch_tm_flowpipe,True,order2_raw_dependency,86.65277001256274,False
"{1,tau,xi}",,1.4529645591974258,0.615,True,native_validation_failure,0.005,unavailable,False,False,1.0,,,1,single_native_sweep,0.010775282979011536,0.615,van_der_pol,diffreach,True,affine_flag,7.9366121731784345,False
"{1,tau,xi}",,1.4004775360226631,0.53,True,native_validation_failure,0.01,unavailable,False,False,1.0,,,1,single_native_sweep,0.005531493108719587,0.53,van_der_pol,diffreach,True,affine_flag,4.970272925768296,False
"{1,tau,xi,tau^2,tau*xi}",,2.6101552871987224,0.9500000000000001,True,native_validation_failure,0.01,unavailable,False,False,1.0,,,1,single_native_sweep,0.002538401633501053,0.9500000000000001,van_der_pol,diffreach,True,quasi_window1_round1,3.710860489821561,False
