basis,carry_or_preconditioning,compile_or_jit_time_s,evaluation_time,excluded_from_authoritative,h,memory_kib,native_validation_passed,primary_numerical_eligible,requested_horizon,runtime_max_s,runtime_min_s,runtime_repetitions,runtime_statistic,steady_full_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time,width_runtime_pareto
complete_total_degree_1,range_only,0.0,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,1.3080267920158803,1.0,riccati,torch_tm_flowpipe,True,order1_range_only,0.11406560545058263,True
complete_total_degree_2,affine_reset,0.0,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,4.269061144441366,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset,0.11473790771246169,False
complete_total_degree_4,affine_reset,0.0,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,12.798771664034575,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset,0.1139617329824736,False
complete_total_degree_4,qr_reset,0.0,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,12.759399096481502,1.0,riccati,torch_tm_flowpipe,True,order4_qr_reset,0.1139617329824736,True
complete_total_degree_6,affine_reset,0.0,1.0,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,29.561500635463744,1.0,riccati,torch_tm_flowpipe,True,order6_affine_reset,0.11396089557805959,True
complete_total_degree_1,dependency_raw,0.0,4.0,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,10.067116568330675,4.0,harmonic,torch_tm_flowpipe,True,order1_raw_dependency,2.9605024010869757e+38,True
complete_total_degree_1,range_only,0.0,4.0,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,10.175232294481248,4.0,harmonic,torch_tm_flowpipe,True,order1_range_only,28.776816743333047,True
complete_total_degree_2,dependency_raw,0.0,4.0,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,20.97062125010416,4.0,harmonic,torch_tm_flowpipe,True,order2_raw_dependency,1.5344152046451352e+36,False
complete_total_degree_2,affine_reset,0.0,4.0,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,15.622045867610723,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset,10.973092497064886,False
complete_total_degree_4,affine_reset,0.0,4.0,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,28.222225124482065,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset,10.494236021719196,False
complete_total_degree_4,qr_reset,0.0,4.0,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,44.16646066773683,4.0,harmonic,torch_tm_flowpipe,True,order4_qr_reset,0.28208927442984455,True
complete_total_degree_6,affine_reset,0.0,4.0,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,43.268413042183965,4.0,harmonic,torch_tm_flowpipe,True,order6_affine_reset,10.494235592238002,True
complete_total_degree_1,range_only,0.0,0.25,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,1.8805585419759154,0.25,coupled_quadratic,torch_tm_flowpipe,True,order1_range_only,0.1152545706151343,False
complete_total_degree_2,dependency_raw,0.0,0.25,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,2.735739076975733,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_raw_dependency,76.65073066812798,False
complete_total_degree_2,affine_reset,0.0,0.25,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,7.036087941378355,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset,0.043027088479031264,False
complete_total_degree_4,affine_reset,0.0,0.25,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,28.30439581302926,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset,0.04296633789350138,False
