analytic_reference_contained,compile_or_jit_time_s,completed_steps,device,dtype,evaluation_time,failure_category,first_step_time_s,h,message,native_validation_passed,peak_process_rss_kib,repetition,requested_horizon,requested_steps,steady_full_configuration_time_s,steady_step_time_s,successful_horizon,system,tool,variant,width_at_evaluation_time
True,0.8926654569804668,100,cpu,float64,1.0,,,0.01,,True,431688,0,1.0,100,0.0017099231481552124,1.7099231481552124e-05,1.0,riccati,diffreach,restricted_quasi_window100_round5_selected,0.11389458226420779
True,0.0,100,cpu,float64,1.0,,,0.01,,True,431688,1,1.0,100,0.0017610127106308937,1.7610127106308937e-05,1.0,riccati,diffreach,restricted_quasi_window100_round5_selected,0.11389458226420779
True,0.0,100,cpu,float64,1.0,,,0.01,,True,431688,2,1.0,100,0.0017677750438451767,1.7677750438451767e-05,1.0,riccati,diffreach,restricted_quasi_window100_round5_selected,0.11389458226420779
True,0.0,100,cpu,float64,1.0,,,0.01,,True,431688,3,1.0,100,0.0017415210604667664,1.7415210604667662e-05,1.0,riccati,diffreach,restricted_quasi_window100_round5_selected,0.11389458226420779
True,0.0,100,cpu,float64,1.0,,,0.01,,True,431688,4,1.0,100,0.0017548389732837677,1.7548389732837676e-05,1.0,riccati,diffreach,restricted_quasi_window100_round5_selected,0.11389458226420779
True,0.0,100,cpu,float64,1.0,,,0.01,,True,431688,5,1.0,100,0.0017233146354556084,1.7233146354556084e-05,1.0,riccati,diffreach,restricted_quasi_window100_round5_selected,0.11389458226420779
True,0.0,100,cpu,float64,1.0,,,0.01,,True,431688,6,1.0,100,0.001628388650715351,1.628388650715351e-05,1.0,riccati,diffreach,restricted_quasi_window100_round5_selected,0.11389458226420779
True,0.0,100,cpu,float64,1.0,,,0.01,,True,431688,7,1.0,100,0.0016700709238648415,1.6700709238648415e-05,1.0,riccati,diffreach,restricted_quasi_window100_round5_selected,0.11389458226420779
True,0.0,100,cpu,float64,1.0,,,0.01,,True,431688,8,1.0,100,0.001713670790195465,1.7136707901954652e-05,1.0,riccati,diffreach,restricted_quasi_window100_round5_selected,0.11389458226420779
True,0.0,100,cpu,float64,1.0,,,0.01,,True,431688,9,1.0,100,0.001707807183265686,1.707807183265686e-05,1.0,riccati,diffreach,restricted_quasi_window100_round5_selected,0.11389458226420779
True,1.4554826291278005,400,cpu,float64,4.0,,,0.01,,True,526840,0,4.0,400,0.015096157789230347,3.774039447307587e-05,4.0,harmonic,diffreach,restricted_quasi_window100_round5_selected,0.3031861786118206
True,0.0,400,cpu,float64,4.0,,,0.01,,True,526840,1,4.0,400,0.015119311399757862,3.7798278499394654e-05,4.0,harmonic,diffreach,restricted_quasi_window100_round5_selected,0.3031861786118206
True,0.0,400,cpu,float64,4.0,,,0.01,,True,526840,2,4.0,400,0.015217743813991547,3.8044359534978866e-05,4.0,harmonic,diffreach,restricted_quasi_window100_round5_selected,0.3031861786118206
True,0.0,400,cpu,float64,4.0,,,0.01,,True,526840,3,4.0,400,0.015073521062731743,3.768380265682936e-05,4.0,harmonic,diffreach,restricted_quasi_window100_round5_selected,0.3031861786118206
True,0.0,400,cpu,float64,4.0,,,0.01,,True,526840,4,4.0,400,0.015100518241524696,3.775129560381174e-05,4.0,harmonic,diffreach,restricted_quasi_window100_round5_selected,0.3031861786118206
True,0.0,400,cpu,float64,4.0,,,0.01,,True,526840,5,4.0,400,0.01496225968003273,3.740564920008183e-05,4.0,harmonic,diffreach,restricted_quasi_window100_round5_selected,0.3031861786118206
True,0.0,400,cpu,float64,4.0,,,0.01,,True,526840,6,4.0,400,0.015022234991192818,3.755558747798204e-05,4.0,harmonic,diffreach,restricted_quasi_window100_round5_selected,0.3031861786118206
True,0.0,400,cpu,float64,4.0,,,0.01,,True,526840,7,4.0,400,0.01500200480222702,3.750501200556755e-05,4.0,harmonic,diffreach,restricted_quasi_window100_round5_selected,0.3031861786118206
True,0.0,400,cpu,float64,4.0,,,0.01,,True,526840,8,4.0,400,0.015299787744879723,3.824946936219931e-05,4.0,harmonic,diffreach,restricted_quasi_window100_round5_selected,0.3031861786118206
True,0.0,400,cpu,float64,4.0,,,0.01,,True,526840,9,4.0,400,0.015241735614836216,3.810433903709054e-05,4.0,harmonic,diffreach,restricted_quasi_window100_round5_selected,0.3031861786118206
,3.2386256949976087,50,cpu,float64,0.25,,,0.005,,True,621616,0,0.25,50,0.0037143100053071976,7.428620010614395e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,1,0.25,50,0.003669939935207367,7.339879870414734e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,2,0.25,50,0.0031478768214583397,6.29575364291668e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,3,0.25,50,0.003673013299703598,7.346026599407196e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,4,0.25,50,0.00371452234685421,7.429044693708419e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,5,0.25,50,0.0035128723829984665,7.025744765996933e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,6,0.25,50,0.003404080867767334,6.808161735534668e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,7,0.25,50,0.0034141363576054573,6.828272715210915e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,8,0.25,50,0.0034346869215369225,6.869373843073845e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
,0.0,50,cpu,float64,0.25,,,0.005,,True,621616,9,0.25,50,0.004029444418847561,8.058888837695122e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.0429775920432517
,3.267505587078631,25,cpu,float64,0.25,,,0.01,,True,657488,0,0.25,25,0.002292104996740818,9.168419986963272e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.04298894317792923
,0.0,25,cpu,float64,0.25,,,0.01,,True,657488,1,0.25,25,0.00241235364228487,9.649414569139481e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.04298894317792923
,0.0,25,cpu,float64,0.25,,,0.01,,True,657488,2,0.25,25,0.002160710282623768,8.642841130495072e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.04298894317792923
,0.0,25,cpu,float64,0.25,,,0.01,,True,657488,3,0.25,25,0.002090723253786564,8.362893015146256e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.04298894317792923
,0.0,25,cpu,float64,0.25,,,0.01,,True,657488,4,0.25,25,0.0019305935129523277,7.722374051809311e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.04298894317792923
,0.0,25,cpu,float64,0.25,,,0.01,,True,657488,5,0.25,25,0.002101869322359562,8.407477289438248e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.04298894317792923
,0.0,25,cpu,float64,0.25,,,0.01,,True,657488,6,0.25,25,0.0019724806770682335,7.889922708272933e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.04298894317792923
,0.0,25,cpu,float64,0.25,,,0.01,,True,657488,7,0.25,25,0.0022236499935388565,8.894599974155425e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.04298894317792923
,0.0,25,cpu,float64,0.25,,,0.01,,True,657488,8,0.25,25,0.0021080169826745987,8.432067930698395e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.04298894317792923
,0.0,25,cpu,float64,0.25,,,0.01,,True,657488,9,0.25,25,0.0018019340932369232,7.207736372947692e-05,0.25,coupled_quadratic,diffreach,restricted_quasi_window100_round5_selected,0.04298894317792923
,3.461324921809137,200,cpu,float64,1.0,,,0.005,,True,692976,0,1.0,200,0.013215335085988045,6.607667542994022e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.14064663658680115
,0.0,200,cpu,float64,1.0,,,0.005,,True,692976,1,1.0,200,0.012806909158825874,6.403454579412938e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.14064663658680115
,0.0,200,cpu,float64,1.0,,,0.005,,True,692976,2,1.0,200,0.01309111900627613,6.545559503138066e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.14064663658680115
,0.0,200,cpu,float64,1.0,,,0.005,,True,692976,3,1.0,200,0.012890610843896866,6.445305421948433e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.14064663658680115
,0.0,200,cpu,float64,1.0,,,0.005,,True,692976,4,1.0,200,0.013391205109655857,6.695602554827929e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.14064663658680115
,0.0,200,cpu,float64,1.0,,,0.005,,True,692976,5,1.0,200,0.012991406954824924,6.495703477412463e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.14064663658680115
,0.0,200,cpu,float64,1.0,,,0.005,,True,692976,6,1.0,200,0.013368530198931694,6.684265099465847e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.14064663658680115
,0.0,200,cpu,float64,1.0,,,0.005,,True,692976,7,1.0,200,0.013651798479259014,6.825899239629507e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.14064663658680115
,0.0,200,cpu,float64,1.0,,,0.005,,True,692976,8,1.0,200,0.013005685061216354,6.502842530608178e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.14064663658680115
,0.0,200,cpu,float64,1.0,,,0.005,,True,692976,9,1.0,200,0.0131252845749259,6.56264228746295e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.14064663658680115
,3.491240721195936,100,cpu,float64,1.0,,,0.01,,True,727040,0,1.0,100,0.007818452082574368,7.818452082574368e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.15133241787615204
,0.0,100,cpu,float64,1.0,,,0.01,,True,727040,1,1.0,100,0.007077325135469437,7.077325135469436e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.15133241787615204
,0.0,100,cpu,float64,1.0,,,0.01,,True,727040,2,1.0,100,0.006945803761482239,6.945803761482239e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.15133241787615204
,0.0,100,cpu,float64,1.0,,,0.01,,True,727040,3,1.0,100,0.006931621581315994,6.931621581315994e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.15133241787615204
,0.0,100,cpu,float64,1.0,,,0.01,,True,727040,4,1.0,100,0.006003267131745815,6.003267131745815e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.15133241787615204
,0.0,100,cpu,float64,1.0,,,0.01,,True,727040,5,1.0,100,0.00596008263528347,5.96008263528347e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.15133241787615204
,0.0,100,cpu,float64,1.0,,,0.01,,True,727040,6,1.0,100,0.005985175259411335,5.985175259411335e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.15133241787615204
,0.0,100,cpu,float64,1.0,,,0.01,,True,727040,7,1.0,100,0.00604226253926754,6.04226253926754e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.15133241787615204
,0.0,100,cpu,float64,1.0,,,0.01,,True,727040,8,1.0,100,0.006004746071994305,6.004746071994305e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.15133241787615204
,0.0,100,cpu,float64,1.0,,,0.01,,True,727040,9,1.0,100,0.006078352220356464,6.078352220356464e-05,1.0,van_der_pol,diffreach,restricted_quasi_window100_round5_selected,0.15133241787615204
