analytic_reference_contained,compile_or_jit_time_s,completed_steps,device,dtype,evaluation_time,failure_category,first_step_time_s,h,message,native_validation_passed,peak_process_rss_kib,repetition,requested_horizon,requested_steps,steady_full_configuration_time_s,steady_step_time_s,successful_horizon,system,tool,variant,width_at_evaluation_time
True,1.7005488313734531,100,cpu,MPFR_interval_53_bit,1.0,,0.000329,0.01,,True,unavailable,0,1.0,100,0.06284685898572206,0.000279,1.0,riccati,flowstar,root_cause_order4_selected,0.11696258259713109
True,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.000295,0.01,,True,unavailable,1,1.0,100,0.061699336394667625,0.00028,1.0,riccati,flowstar,root_cause_order4_selected,0.11696258259713109
True,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.000276,0.01,,True,unavailable,2,1.0,100,0.06103659048676491,0.000279,1.0,riccati,flowstar,root_cause_order4_selected,0.11696258259713109
True,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.000303,0.01,,True,unavailable,3,1.0,100,0.061471386812627316,0.00028,1.0,riccati,flowstar,root_cause_order4_selected,0.11696258259713109
True,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.000296,0.01,,True,unavailable,4,1.0,100,0.061377464793622494,0.000279,1.0,riccati,flowstar,root_cause_order4_selected,0.11696258259713109
True,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.000274,0.01,,True,unavailable,5,1.0,100,0.06126663647592068,0.000279,1.0,riccati,flowstar,root_cause_order4_selected,0.11696258259713109
True,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.0003,0.01,,True,unavailable,6,1.0,100,0.06183428596705198,0.00028,1.0,riccati,flowstar,root_cause_order4_selected,0.11696258259713109
True,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.000293,0.01,,True,unavailable,7,1.0,100,0.06128000933676958,0.000279,1.0,riccati,flowstar,root_cause_order4_selected,0.11696258259713109
True,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.000272,0.01,,True,unavailable,8,1.0,100,0.06064287666231394,0.000278,1.0,riccati,flowstar,root_cause_order4_selected,0.11696258259713109
True,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.000292,0.01,,True,unavailable,9,1.0,100,0.061480422504246235,0.000279,1.0,riccati,flowstar,root_cause_order4_selected,0.11696258259713109
True,1.7089600274339318,400,cpu,MPFR_interval_53_bit,4.0,,0.000127,0.01,,True,unavailable,0,4.0,400,0.11534306965768337,0.0001,4.0,harmonic,flowstar,root_cause_order4_selected,0.28209137296574344
True,0.0,400,cpu,MPFR_interval_53_bit,4.0,,0.000119,0.01,,True,unavailable,1,4.0,400,0.11758694890886545,0.000101,4.0,harmonic,flowstar,root_cause_order4_selected,0.28209137296574344
True,0.0,400,cpu,MPFR_interval_53_bit,4.0,,0.000115,0.01,,True,unavailable,2,4.0,400,0.12085776403546333,0.000106,4.0,harmonic,flowstar,root_cause_order4_selected,0.28209137296574344
True,0.0,400,cpu,MPFR_interval_53_bit,4.0,,0.00011,0.01,,True,unavailable,3,4.0,400,0.11494552716612816,0.0001,4.0,harmonic,flowstar,root_cause_order4_selected,0.28209137296574344
True,0.0,400,cpu,MPFR_interval_53_bit,4.0,,0.000121,0.01,,True,unavailable,4,4.0,400,0.11446875892579556,0.000101,4.0,harmonic,flowstar,root_cause_order4_selected,0.28209137296574344
True,0.0,400,cpu,MPFR_interval_53_bit,4.0,,0.000113,0.01,,True,unavailable,5,4.0,400,0.11520569119602442,0.0001,4.0,harmonic,flowstar,root_cause_order4_selected,0.28209137296574344
True,0.0,400,cpu,MPFR_interval_53_bit,4.0,,0.000111,0.01,,True,unavailable,6,4.0,400,0.11776917055249214,0.000103,4.0,harmonic,flowstar,root_cause_order4_selected,0.28209137296574344
True,0.0,400,cpu,MPFR_interval_53_bit,4.0,,0.000123,0.01,,True,unavailable,7,4.0,400,0.11496041622012854,0.000101,4.0,harmonic,flowstar,root_cause_order4_selected,0.28209137296574344
True,0.0,400,cpu,MPFR_interval_53_bit,4.0,,0.000126,0.01,,True,unavailable,8,4.0,400,0.11553307715803385,0.000101,4.0,harmonic,flowstar,root_cause_order4_selected,0.28209137296574344
True,0.0,400,cpu,MPFR_interval_53_bit,4.0,,0.000125,0.01,,True,unavailable,9,4.0,400,0.11479909252375364,0.0001,4.0,harmonic,flowstar,root_cause_order4_selected,0.28209137296574344
,1.7121694004163146,50,cpu,MPFR_interval_53_bit,0.25,,0.000954,0.005,,True,unavailable,0,0.25,50,0.25281934067606926,0.00156,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000984,0.005,,True,unavailable,1,0.25,50,0.25381139013916254,0.001553,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000978,0.005,,True,unavailable,2,0.25,50,0.2525931978598237,0.001567,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.00099,0.005,,True,unavailable,3,0.25,50,0.24995960015803576,0.001546,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000975,0.005,,True,unavailable,4,0.25,50,0.2525996211916208,0.001564,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000981,0.005,,True,unavailable,5,0.25,50,0.25160289742052555,0.00156,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000981,0.005,,True,unavailable,6,0.25,50,0.2563861720263958,0.001581,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000983,0.005,,True,unavailable,7,0.25,50,0.25196688901633024,0.001555,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000976,0.005,,True,unavailable,8,0.25,50,0.25265013333410025,0.00156,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
,0.0,50,cpu,MPFR_interval_53_bit,0.25,,0.000982,0.005,,True,unavailable,9,0.25,50,0.2535511888563633,0.001577,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.04296770088971223
,1.7108448389917612,25,cpu,MPFR_interval_53_bit,0.25,,0.000979,0.01,,True,unavailable,0,0.25,25,0.12511639297008514,0.0015585,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.042967728064041324
,0.0,25,cpu,MPFR_interval_53_bit,0.25,,0.001006,0.01,,True,unavailable,1,0.25,25,0.12487027887254953,0.0015609999999999999,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.042967728064041324
,0.0,25,cpu,MPFR_interval_53_bit,0.25,,0.000985,0.01,,True,unavailable,2,0.25,25,0.1282132025808096,0.0016215000000000001,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.042967728064041324
,0.0,25,cpu,MPFR_interval_53_bit,0.25,,0.001026,0.01,,True,unavailable,3,0.25,25,0.13350062537938356,0.0016815,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.042967728064041324
,0.0,25,cpu,MPFR_interval_53_bit,0.25,,0.000918,0.01,,True,unavailable,4,0.25,25,0.12411589175462723,0.001559,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.042967728064041324
,0.0,25,cpu,MPFR_interval_53_bit,0.25,,0.000989,0.01,,True,unavailable,5,0.25,25,0.12426196970045567,0.001568,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.042967728064041324
,0.0,25,cpu,MPFR_interval_53_bit,0.25,,0.00099,0.01,,True,unavailable,6,0.25,25,0.12622022442519665,0.0015815,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.042967728064041324
,0.0,25,cpu,MPFR_interval_53_bit,0.25,,0.000989,0.01,,True,unavailable,7,0.25,25,0.12502515595406294,0.0015804999999999999,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.042967728064041324
,0.0,25,cpu,MPFR_interval_53_bit,0.25,,0.001022,0.01,,True,unavailable,8,0.25,25,0.1302876453846693,0.00165,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.042967728064041324
,0.0,25,cpu,MPFR_interval_53_bit,0.25,,0.000987,0.01,,True,unavailable,9,0.25,25,0.12459656875580549,0.0015765,0.25,coupled_quadratic,flowstar,root_cause_order4_selected,0.042967728064041324
,1.7142012743279338,200,cpu,MPFR_interval_53_bit,1.0,,0.001029,0.005,,True,unavailable,0,1.0,200,1.1019476549699903,0.001866,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.11282176719263581
,0.0,200,cpu,MPFR_interval_53_bit,1.0,,0.000991,0.005,,True,unavailable,1,1.0,200,1.1008211746811867,0.001862,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.11282176719263581
,0.0,200,cpu,MPFR_interval_53_bit,1.0,,0.000983,0.005,,True,unavailable,2,1.0,200,1.107862682081759,0.001872,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.11282176719263581
,0.0,200,cpu,MPFR_interval_53_bit,1.0,,0.001002,0.005,,True,unavailable,3,1.0,200,1.106703219935298,0.001875,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.11282176719263581
,0.0,200,cpu,MPFR_interval_53_bit,1.0,,0.000972,0.005,,True,unavailable,4,1.0,200,1.1080757323652506,0.00188,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.11282176719263581
,0.0,200,cpu,MPFR_interval_53_bit,1.0,,0.000995,0.005,,True,unavailable,5,1.0,200,1.110567782074213,0.001878,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.11282176719263581
,0.0,200,cpu,MPFR_interval_53_bit,1.0,,0.000999,0.005,,True,unavailable,6,1.0,200,1.1035936763510108,0.001875,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.11282176719263581
,0.0,200,cpu,MPFR_interval_53_bit,1.0,,0.00102,0.005,,True,unavailable,7,1.0,200,1.1137682851403952,0.001875,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.11282176719263581
,0.0,200,cpu,MPFR_interval_53_bit,1.0,,0.000991,0.005,,True,unavailable,8,1.0,200,1.1009171046316624,0.001868,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.11282176719263581
,0.0,200,cpu,MPFR_interval_53_bit,1.0,,0.001027,0.005,,True,unavailable,9,1.0,200,1.1103830626234412,0.001879,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.11282176719263581
,1.7571283336728811,100,cpu,MPFR_interval_53_bit,1.0,,0.001118,0.01,,True,unavailable,0,1.0,100,0.5554158128798008,0.001901,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.113239997430433
,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.000992,0.01,,True,unavailable,1,1.0,100,0.5580455493181944,0.001904,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.113239997430433
,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.001015,0.01,,True,unavailable,2,1.0,100,0.5592051362618804,0.001903,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.113239997430433
,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.000995,0.01,,True,unavailable,3,1.0,100,0.5539540965110064,0.001902,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.113239997430433
,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.001,0.01,,True,unavailable,4,1.0,100,0.5551443817093968,0.001902,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.113239997430433
,0.0,100,cpu,MPFR_interval_53_bit,1.0,,0.000978,0.01,,True,unavailable,5,1.0,100,0.5647878600284457,0.00191,1.0,van_der_pol,flowstar,root_cause_order4_selected,0.113239997430433
