analytic_reference_contained,compile_or_jit_time_s,completed_steps,device,dtype,evaluation_time,failure_category,first_step_time_s,h,message,native_validation_passed,peak_process_rss_kib,repetition,requested_horizon,requested_steps,reset_discarded_term_count,steady_full_configuration_time_s,steady_step_time_s,successful_horizon,system,tool,variant,width_at_evaluation_time
True,0.0,100,cpu,float64,1.0,,0.03664323128759861,0.01,,True,396496,0,1.0,100,0,3.641884076874703,0.03618814703077078,1.0,riccati,torch_tm_flowpipe,order2_affine_reset_selected,0.11473790771246169
True,0.0,100,cpu,float64,1.0,,0.036148922983556986,0.01,,True,396496,1,1.0,100,0,3.635741666890681,0.03616948006674647,1.0,riccati,torch_tm_flowpipe,order2_affine_reset_selected,0.11473790771246169
True,0.0,100,cpu,float64,1.0,,0.03637317614629865,0.01,,True,396496,2,1.0,100,0,3.6415574089623988,0.036178422160446644,1.0,riccati,torch_tm_flowpipe,order2_affine_reset_selected,0.11473790771246169
True,0.0,100,cpu,float64,1.0,,0.03620897000655532,0.01,,True,396496,3,1.0,100,0,3.6391345825977623,0.036151668056845665,1.0,riccati,torch_tm_flowpipe,order2_affine_reset_selected,0.11473790771246169
True,0.0,100,cpu,float64,1.0,,0.03597577475011349,0.01,,True,396496,4,1.0,100,0,3.632224111817777,0.03619665699079633,1.0,riccati,torch_tm_flowpipe,order2_affine_reset_selected,0.11473790771246169
True,0.0,100,cpu,float64,1.0,,0.03710934007540345,0.01,,True,396496,5,1.0,100,0,3.6385440486483276,0.036189458798617125,1.0,riccati,torch_tm_flowpipe,order2_affine_reset_selected,0.11473790771246169
True,0.0,100,cpu,float64,1.0,,0.036314234137535095,0.01,,True,396496,6,1.0,100,0,3.6367618492804468,0.036187443882226944,1.0,riccati,torch_tm_flowpipe,order2_affine_reset_selected,0.11473790771246169
True,0.0,100,cpu,float64,1.0,,0.0362404752522707,0.01,,True,396496,7,1.0,100,0,3.644489011261612,0.03623244632035494,1.0,riccati,torch_tm_flowpipe,order2_affine_reset_selected,0.11473790771246169
True,0.0,100,cpu,float64,1.0,,0.036259226966649294,0.01,,True,396496,8,1.0,100,0,3.6335732927545905,0.036219824105501175,1.0,riccati,torch_tm_flowpipe,order2_affine_reset_selected,0.11473790771246169
True,0.0,100,cpu,float64,1.0,,0.03613189281895757,0.01,,True,396496,9,1.0,100,0,3.6409369008615613,0.03622190561145544,1.0,riccati,torch_tm_flowpipe,order2_affine_reset_selected,0.11473790771246169
True,0.0,100,cpu,float64,1.0,,0.1120095350779593,0.01,,True,396496,0,1.0,100,100,11.195225977804512,0.11147483019158244,1.0,riccati,torch_tm_flowpipe,order4_affine_reset_selected,0.1139617329824736
True,0.0,100,cpu,float64,1.0,,0.11453656433150172,0.01,,True,396496,1,1.0,100,100,17.77271208446473,0.18471139995381236,1.0,riccati,torch_tm_flowpipe,order4_affine_reset_selected,0.1139617329824736
True,0.0,100,cpu,float64,1.0,,0.18454291997477412,0.01,,True,396496,2,1.0,100,100,18.55394424451515,0.184697980992496,1.0,riccati,torch_tm_flowpipe,order4_affine_reset_selected,0.1139617329824736
True,0.0,100,cpu,float64,1.0,,0.184688625857234,0.01,,True,396496,3,1.0,100,100,18.557481836527586,0.18479652982205153,1.0,riccati,torch_tm_flowpipe,order4_affine_reset_selected,0.1139617329824736
