tool,tool_variant,system,h,checkpoint,state_index,state_name,status,lower,upper,width,exact_width,exact_inflation_ratio,first_failure_time
torch_tm_flowpipe,complete_total_degree_order_1,riccati,0.01,0.1,0,x,validated,-2.5357581894084396e-07,0.10101137989718029,0.10101163347299923,0.10101010101010102,1.0000151713826921,
torch_tm_flowpipe,complete_total_degree_order_1,riccati,0.01,0.5,0,x,validated,-1.3492994504756044e-06,0.10527024631706002,0.10527159561651049,0.10526315789473685,1.0000801583568495,
torch_tm_flowpipe,complete_total_degree_order_1,riccati,0.01,1.0,0,x,validated,-2.929930200279147e-06,0.11112733484523078,0.11113026477543106,0.11111111111111112,1.0001723829788796,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.01,1.0,0,x1,validated,-0.27384951598172264,0.27384951598172264,0.5476990319634453,0.27635465813520727,1.9818700927975024,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.01,1.0,1,x2,validated,-0.27384951598172264,0.27384951598172264,0.5476990319634453,0.27635465813520727,1.9818700927975024,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.01,2.0,0,x1,validated,-0.7499355737319653,0.7499355737319653,1.4998711474639306,0.26508885267456483,5.657994036079822,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.01,2.0,1,x2,validated,-0.7499355737319653,0.7499355737319653,1.4998711474639306,0.26508885267456483,5.657994036079822,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.01,4.0,0,x1,validated,-5.6240336432622335,5.6240336432622335,11.248067286524467,0.2820892232343081,39.874147468517904,
torch_tm_flowpipe,complete_total_degree_order_1,harmonic,0.01,4.0,1,x2,validated,-5.6240336432622335,5.6240336432622335,11.248067286524467,0.2820892232343081,39.874147468517904,
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.005,0.02,0,x1,validated,1.1456343477956363,1.4495584024691157,0.3039240546734794,,,0.63
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.005,0.02,1,x2,validated,2.265291579891547,2.4768570787722393,0.2115654988806921,,,0.63
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.005,0.05,0,x1,validated,1.2105834612673305,1.5249122119611598,0.31432875069382926,,,0.63
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.005,0.05,1,x2,validated,2.1169459388616363,2.51646795436503,0.39952201550339383,,,0.63
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.005,0.08,0,x1,validated,1.2706150658278557,1.6014657883192354,0.3308507224913797,,,0.63
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.005,0.08,1,x2,validated,1.9408613846526384,2.5553689474336387,0.6145075627810004,,,0.63
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.01,0.02,0,x1,validated,1.1450963705104011,1.4498456220877924,0.3047492515773913,,,0.6
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.01,0.02,1,x2,validated,2.2629130468580327,2.4769072835020234,0.21399423664399064,,,0.6
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.01,0.05,0,x1,validated,1.2090996855916947,1.5256505210005853,0.3165508354088906,,,0.6
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.01,0.05,1,x2,validated,2.1105194450443334,2.51660986923424,0.4060904241899066,,,0.6
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.01,0.08,0,x1,validated,1.2680001046719906,1.6026806233331377,0.334680518661147,,,0.6
torch_tm_flowpipe,complete_total_degree_order_1,van_der_pol,0.01,0.08,1,x2,validated,1.9297490172555194,2.555625403323492,0.6258763860679726,,,0.6
diffreach,affine_flag,riccati,0.01,0.1,0,x,validated,-0.0002536049364040854,0.10101100038291665,0.10126460531932073,0.10101010101010102,1.002519592661275,
diffreach,affine_flag,riccati,0.01,0.5,0,x,validated,-0.001334884387116421,0.10526815389660439,0.10660303828372081,0.10526315789473685,1.0127288636953475,
diffreach,affine_flag,riccati,0.01,1.0,0,x,validated,-0.002854481566461609,0.11112257807236828,0.11397705963882988,0.11111111111111112,1.0257935367494688,
diffreach,affine_flag,harmonic,0.01,1.0,0,x1,validated,-0.2731999041838318,0.2731999041838318,0.5463998083676636,0.27635465813520727,1.977168802055567,
diffreach,affine_flag,harmonic,0.01,1.0,1,x2,validated,-0.2731999041838318,0.2731999041838318,0.5463998083676636,0.27635465813520727,1.977168802055567,
diffreach,affine_flag,harmonic,0.01,2.0,0,x1,validated,-0.7463818737907137,0.7463818737907137,1.4927637475814275,0.26508885267456483,5.631182648838171,
diffreach,affine_flag,harmonic,0.01,2.0,1,x2,validated,-0.7463818737907137,0.7463818737907137,1.4927637475814275,0.26508885267456483,5.631182648838171,
diffreach,affine_flag,harmonic,0.01,4.0,0,x1,validated,-5.570858978048279,5.570858978048279,11.141717956096558,0.2820892232343081,39.4971414659186,
diffreach,affine_flag,harmonic,0.01,4.0,1,x2,validated,-5.570858978048279,5.570858978048279,11.141717956096558,0.2820892232343081,39.4971414659186,
diffreach,affine_flag,van_der_pol,0.005,0.02,0,x1,validated,1.1461577604256612,1.4488862556215791,0.30272849519591793,,,0.63
diffreach,affine_flag,van_der_pol,0.005,0.02,1,x2,validated,2.271021844225055,2.418580704125091,0.14755885990003614,,,0.63
diffreach,affine_flag,van_der_pol,0.005,0.05,0,x1,validated,1.2122499518302865,1.5209537933962105,0.308703841565924,,,0.63
diffreach,affine_flag,van_der_pol,0.005,0.05,1,x2,validated,2.1393252778078526,2.3628594692282583,0.22353419142040565,,,0.63
diffreach,affine_flag,van_der_pol,0.005,0.08,0,x1,validated,1.2741529283828783,1.5912527317592742,0.3170998033763959,,,0.63
diffreach,affine_flag,van_der_pol,0.005,0.08,1,x2,validated,1.9923933004594863,2.2984454653555764,0.3060521648960901,,,0.63
diffreach,affine_flag,van_der_pol,0.01,0.02,0,x1,validated,1.1460780196527325,1.4490878162874559,0.3030097966347234,,,0.55
diffreach,affine_flag,van_der_pol,0.01,0.02,1,x2,validated,2.270598652158336,2.4197780252114165,0.1491793730530806,,,0.55
diffreach,affine_flag,van_der_pol,0.01,0.05,0,x1,validated,1.2120257590083996,1.5215392154102716,0.309513456401872,,,0.55
diffreach,affine_flag,van_der_pol,0.01,0.05,1,x2,validated,2.1380220601113393,2.365967535530935,0.22794547541959576,,,0.55
diffreach,affine_flag,van_der_pol,0.01,0.08,0,x1,validated,1.2737445646294423,1.5923227162603013,0.318578151630859,,,0.55
diffreach,affine_flag,van_der_pol,0.01,0.08,1,x2,validated,1.9898480566057146,2.3036203120253673,0.3137722554196527,,,0.55
flowstar,minimum_supported_fixed_order_2,riccati,0.01,0.1,0,x,validated,-0.0012566649691989659,0.10175917740524637,0.10301584237444533,0.10101010101010102,1.0198568395070087,
flowstar,minimum_supported_fixed_order_2,riccati,0.01,0.5,0,x,validated,-0.006439509447746056,0.10900361133821138,0.11544312078595743,0.10526315789473685,1.0967096474665956,
flowstar,minimum_supported_fixed_order_2,riccati,0.01,1.0,0,x,validated,-0.013295436740967918,0.11855859317926246,0.13185402992023038,0.11111111111111113,1.1866862692820732,
flowstar,minimum_supported_fixed_order_2,harmonic,0.01,1.0,0,x1,validated,-0.2875295212363723,0.2875295212363723,0.5750590424727446,0.2763546581352072,2.0808733471443626,2.23
flowstar,minimum_supported_fixed_order_2,harmonic,0.01,1.0,1,x2,validated,-0.2875295212363723,0.2875295212363723,0.5750590424727446,0.2763546581352072,2.0808733471443626,2.23
flowstar,minimum_supported_fixed_order_2,harmonic,0.01,2.0,0,x1,validated,-0.7947619637013209,0.7947619637013209,1.5895239274026418,0.26508885267456495,5.996193017418251,2.23
flowstar,minimum_supported_fixed_order_2,harmonic,0.01,2.0,1,x2,validated,-0.7947619637013209,0.7947619637013209,1.5895239274026418,0.26508885267456495,5.996193017418251,2.23
flowstar,minimum_supported_fixed_order_2,harmonic,0.01,4.0,0,x1,validation_failed,,,,,,2.23
flowstar,minimum_supported_fixed_order_2,harmonic,0.01,4.0,1,x2,validation_failed,,,,,,2.23
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.005,0.02,0,x1,validated,1.1422769998582756,1.4526449975188718,0.3103679976605962,,,0.08
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.005,0.02,1,x2,validated,2.2703257899133304,2.419620888800162,0.14929509888683157,,,0.08
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.005,0.05,0,x1,validated,1.2025482592674157,1.5303366797915268,0.32778842052411106,,,0.08
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.005,0.05,1,x2,validated,2.1391051145797135,2.364050469077461,0.22494535449774755,,,0.08
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.005,0.08,0,x1,validation_failed,,,,,,0.08
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.005,0.08,1,x2,validation_failed,,,,,,0.08
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.01,0.02,0,x1,validation_failed,,,,,,0.01
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.01,0.02,1,x2,validation_failed,,,,,,0.01
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.01,0.05,0,x1,validation_failed,,,,,,0.01
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.01,0.05,1,x2,validation_failed,,,,,,0.01
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.01,0.08,0,x1,validation_failed,,,,,,0.01
flowstar,minimum_supported_fixed_order_2,van_der_pol,0.01,0.08,1,x2,validation_failed,,,,,,0.01
