failure_category,failure_message,h,protocol,requested_horizon,run_id,successful_horizon,system,tool,tool_variant
,,0.005,one_step_tube,0.005,torch_tm_flowpipe_2dbc1dd7747f4ca9,0.005,riccati,torch_tm_flowpipe,torch_order1
,,0.005,one_step_raw_endpoint,0.005,torch_tm_flowpipe_e41787534a166da0,0.005,riccati,torch_tm_flowpipe,torch_order1
,,0.01,one_step_tube,0.01,torch_tm_flowpipe_3045d2aef5331476,0.01,riccati,torch_tm_flowpipe,torch_order1
,,0.01,one_step_raw_endpoint,0.01,torch_tm_flowpipe_3a741cebc3bcef12,0.01,riccati,torch_tm_flowpipe,torch_order1
,,0.02,one_step_tube,0.02,torch_tm_flowpipe_4b646f98cc13c8a2,0.02,riccati,torch_tm_flowpipe,torch_order1
,,0.02,one_step_raw_endpoint,0.02,torch_tm_flowpipe_931847f9e800888a,0.02,riccati,torch_tm_flowpipe,torch_order1
,,0.05,one_step_tube,0.05,torch_tm_flowpipe_2b401461d33e5aa0,0.05,riccati,torch_tm_flowpipe,torch_order1
,,0.05,one_step_raw_endpoint,0.05,torch_tm_flowpipe_beb2e29f7b1138c8,0.05,riccati,torch_tm_flowpipe,torch_order1
,,0.01,common_box_raw_endpoint_carry,1.0,torch_tm_flowpipe_33f4e89cc2fa2f37,1.0,riccati,torch_tm_flowpipe,torch_order1_common_box_raw
nonfinite_remainder,non-finite residual interval,0.01,native_representation,1.0,torch_tm_flowpipe_989a85e82a567b9d,0.49,riccati,torch_tm_flowpipe,torch_order1_native_raw_carry
,,0.01,native_representation,1.0,torch_tm_flowpipe_38f1c1ef0d969489,1.0,riccati,torch_tm_flowpipe,torch_order1_native_tightened_carry
nonfinite_remainder,non-finite residual interval,0.01,deliberate_low_order_stress,1.0,torch_tm_flowpipe_6f8ee040b746d14d,0.49,riccati,torch_tm_flowpipe,torch_order1_native_raw_carry
,,0.005,one_step_tube,0.005,torch_tm_flowpipe_7fe474e906ecbb83,0.005,harmonic,torch_tm_flowpipe,torch_order1
,,0.005,one_step_raw_endpoint,0.005,torch_tm_flowpipe_1c91f0878e73edf5,0.005,harmonic,torch_tm_flowpipe,torch_order1
,,0.01,one_step_tube,0.01,torch_tm_flowpipe_b6e47a504ee1832c,0.01,harmonic,torch_tm_flowpipe,torch_order1
,,0.01,one_step_raw_endpoint,0.01,torch_tm_flowpipe_9531e6f2021f9ab5,0.01,harmonic,torch_tm_flowpipe,torch_order1
,,0.02,one_step_tube,0.02,torch_tm_flowpipe_23ad97c434173f0f,0.02,harmonic,torch_tm_flowpipe,torch_order1
,,0.02,one_step_raw_endpoint,0.02,torch_tm_flowpipe_dc8316b0aede0674,0.02,harmonic,torch_tm_flowpipe,torch_order1
,,0.05,one_step_tube,0.05,torch_tm_flowpipe_5b229f09e7d6e2e1,0.05,harmonic,torch_tm_flowpipe,torch_order1
,,0.05,one_step_raw_endpoint,0.05,torch_tm_flowpipe_4b1d83c962875752,0.05,harmonic,torch_tm_flowpipe,torch_order1
,,0.01,common_box_raw_endpoint_carry,4.0,torch_tm_flowpipe_8f51dc5fc4376d44,4.0,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw
,,0.01,native_representation,4.0,torch_tm_flowpipe_28fbf97e86779ca8,4.0,harmonic,torch_tm_flowpipe,torch_order1_native_raw_carry
,,0.01,native_representation,4.0,torch_tm_flowpipe_8179d43369c3fe4a,4.0,harmonic,torch_tm_flowpipe,torch_order1_native_tightened_carry
,,0.01,deliberate_low_order_stress,4.0,torch_tm_flowpipe_1c0c6806a9d00f0d,4.0,harmonic,torch_tm_flowpipe,torch_order1_native_raw_carry
,,0.0025,one_step_tube,0.0025,torch_tm_flowpipe_a464430cf3917347,0.0025,van_der_pol,torch_tm_flowpipe,torch_order1
,,0.0025,one_step_raw_endpoint,0.0025,torch_tm_flowpipe_53ca6d5261a907bb,0.0025,van_der_pol,torch_tm_flowpipe,torch_order1
,,0.005,one_step_tube,0.005,torch_tm_flowpipe_338689ad3ff814e2,0.005,van_der_pol,torch_tm_flowpipe,torch_order1
,,0.005,one_step_raw_endpoint,0.005,torch_tm_flowpipe_06692b1c172eb77c,0.005,van_der_pol,torch_tm_flowpipe,torch_order1
,,0.01,one_step_tube,0.01,torch_tm_flowpipe_adf926ded55269a0,0.01,van_der_pol,torch_tm_flowpipe,torch_order1
,,0.01,one_step_raw_endpoint,0.01,torch_tm_flowpipe_8e065a57b154cb2b,0.01,van_der_pol,torch_tm_flowpipe,torch_order1
,,0.02,one_step_tube,0.02,torch_tm_flowpipe_c9f9f7d3f6e721ef,0.02,van_der_pol,torch_tm_flowpipe,torch_order1
,,0.02,one_step_raw_endpoint,0.02,torch_tm_flowpipe_086f104257307090,0.02,van_der_pol,torch_tm_flowpipe,torch_order1
nonfinite_remainder,non-finite residual interval,0.005,common_box_raw_endpoint_carry,1.0,torch_tm_flowpipe_a44a65d37bf08e31,0.49,van_der_pol,torch_tm_flowpipe,torch_order1_common_box_raw
nonfinite_remainder,non-finite residual interval,0.005,native_representation,1.0,torch_tm_flowpipe_5199ce508e9de4fe,0.11,van_der_pol,torch_tm_flowpipe,torch_order1_native_raw_carry
nonfinite_remainder,non-finite residual interval,0.005,native_representation,1.0,torch_tm_flowpipe_57da194fff5b5f44,0.48,van_der_pol,torch_tm_flowpipe,torch_order1_native_tightened_carry
nonfinite_remainder,non-finite residual interval,0.005,deliberate_low_order_stress,1.0,torch_tm_flowpipe_792d89d1c26b7c8d,0.11,van_der_pol,torch_tm_flowpipe,torch_order1_native_raw_carry
nonfinite_remainder,non-finite residual interval,0.01,common_box_raw_endpoint_carry,1.0,torch_tm_flowpipe_92967728da423be6,0.48,van_der_pol,torch_tm_flowpipe,torch_order1_common_box_raw
nonfinite_remainder,non-finite residual interval,0.01,native_representation,1.0,torch_tm_flowpipe_596331b06ce8f473,0.16,van_der_pol,torch_tm_flowpipe,torch_order1_native_raw_carry
nonfinite_remainder,non-finite residual interval,0.01,native_representation,1.0,torch_tm_flowpipe_c158d3567efe4361,0.46,van_der_pol,torch_tm_flowpipe,torch_order1_native_tightened_carry
nonfinite_remainder,non-finite residual interval,0.01,deliberate_low_order_stress,1.0,torch_tm_flowpipe_693bec738e17cb65,0.16,van_der_pol,torch_tm_flowpipe,torch_order1_native_raw_carry
,,0.01,common_box_raw_endpoint_carry,0.1,torch_tm_flowpipe_1e6be83fab2b7543,0.1,riccati,torch_tm_flowpipe,torch_order1_common_box_raw
,,0.01,common_box_raw_endpoint_carry,1.0,torch_tm_flowpipe_8a2fb8f4cb30a815,1.0,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw
,,0.005,one_step_tube,0.005,diffreach_61eb7d2cc5950a5d,0.005,riccati,diffreach,diffreach_affine
,,0.005,one_step_raw_endpoint,0.005,diffreach_d84c59d3682cb079,0.005,riccati,diffreach,diffreach_affine
,,0.005,one_step_tube,0.005,diffreach_4c97909f9f22d0c2,0.005,riccati,diffreach,diffreach_restricted_quasi_quadratic
,,0.005,one_step_raw_endpoint,0.005,diffreach_4ffc53c24c34bc3a,0.005,riccati,diffreach,diffreach_restricted_quasi_quadratic
,,0.01,one_step_tube,0.01,diffreach_e3901596b9b65f40,0.01,riccati,diffreach,diffreach_affine
,,0.01,one_step_raw_endpoint,0.01,diffreach_813b611f46a4932f,0.01,riccati,diffreach,diffreach_affine
,,0.01,one_step_tube,0.01,diffreach_ac1790b1e7a59009,0.01,riccati,diffreach,diffreach_restricted_quasi_quadratic
,,0.01,one_step_raw_endpoint,0.01,diffreach_2ab2fa3d6523ba11,0.01,riccati,diffreach,diffreach_restricted_quasi_quadratic
,,0.02,one_step_tube,0.02,diffreach_0277d935cce28e3e,0.02,riccati,diffreach,diffreach_affine
,,0.02,one_step_raw_endpoint,0.02,diffreach_ccf7b523cd32e0df,0.02,riccati,diffreach,diffreach_affine
,,0.02,one_step_tube,0.02,diffreach_b2368bfc7ed4d0e4,0.02,riccati,diffreach,diffreach_restricted_quasi_quadratic
,,0.02,one_step_raw_endpoint,0.02,diffreach_449ef18edc230002,0.02,riccati,diffreach,diffreach_restricted_quasi_quadratic
,,0.05,one_step_tube,0.05,diffreach_4819a76de51a9bef,0.05,riccati,diffreach,diffreach_affine
,,0.05,one_step_raw_endpoint,0.05,diffreach_3cf3683c4b44b873,0.05,riccati,diffreach,diffreach_affine
,,0.05,one_step_tube,0.05,diffreach_8e856e247266959f,0.05,riccati,diffreach,diffreach_restricted_quasi_quadratic
,,0.05,one_step_raw_endpoint,0.05,diffreach_df91a1470fc8c113,0.05,riccati,diffreach,diffreach_restricted_quasi_quadratic
,,0.01,common_box_raw_endpoint_carry,1.0,diffreach_fb29b21792a5fe6f,1.0,riccati,diffreach,diffreach_affine
,,0.01,native_representation,1.0,diffreach_1587767229a49984,1.0,riccati,diffreach,diffreach_affine
,,0.01,native_representation,1.0,diffreach_c8861aa66d747a58,1.0,riccati,diffreach,diffreach_restricted_quasi_quadratic
,,0.01,deliberate_low_order_stress,1.0,diffreach_ea3ef335b2179c98,1.0,riccati,diffreach,diffreach_affine
,,0.005,one_step_tube,0.005,diffreach_ced96c54f9dbb98a,0.005,harmonic,diffreach,diffreach_affine
,,0.005,one_step_raw_endpoint,0.005,diffreach_b2bb78d704169048,0.005,harmonic,diffreach,diffreach_affine
,,0.005,one_step_tube,0.005,diffreach_ab955ac2d1f05467,0.005,harmonic,diffreach,diffreach_restricted_quasi_quadratic
,,0.005,one_step_raw_endpoint,0.005,diffreach_8a4f3160b41a4c39,0.005,harmonic,diffreach,diffreach_restricted_quasi_quadratic
,,0.01,one_step_tube,0.01,diffreach_51612ccf41da81c8,0.01,harmonic,diffreach,diffreach_affine
,,0.01,one_step_raw_endpoint,0.01,diffreach_9167267a54497f70,0.01,harmonic,diffreach,diffreach_affine
,,0.01,one_step_tube,0.01,diffreach_baf004dacd7a0739,0.01,harmonic,diffreach,diffreach_restricted_quasi_quadratic
