workload,batch,device,controller,range_bound_mode,dropped_merge_mode,status,elapsed_ms,range_bound_ms,dropped_range_bound_ms,rhs_construction_ms,mul_trunc_ms,tm_remainder_propagation_ms,controller_bound_ms,plant_step_ms,cuda_memory_allocated_bytes,cuda_memory_reserved_bytes,samples_checked,sample_violations,containment_pass,max_width,mean_width,speedup_vs_dense_cpu,dominant_operation,recommendation
many_box,128,cpu,,interval,merged,ok,333.640515,145.155477,124.533204,323.608521,10.0182416,17.9164307,,,0,0,144,0,yes,1.63046955,0.804825631,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,128,cpu,,interval,grouped,ok,332.526983,145.867685,123.589974,322.64955,9.82521009,17.9168154,,,0,0,144,0,yes,1.63046955,0.804825631,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,128,cpu,,blocked_interval,merged,ok,343.258958,153.505336,126.971542,333.399702,9.79305152,17.7308805,,,0,0,144,0,yes,1.63046955,0.804825631,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,128,cpu,,blocked_interval,grouped,ok,355.991791,162.364208,129.121057,345.847005,9.97474231,18.2760451,,,0,0,144,0,yes,1.63046955,0.804825631,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,512,cpu,,interval,merged,ok,736.474913,256.148961,383.854186,724.12717,27.1288054,23.8238042,,,0,0,144,0,yes,1.6705168,0.805781766,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,512,cpu,,interval,grouped,ok,752.123359,263.241506,390.91386,739.645292,27.3405518,24.3821135,,,0,0,144,0,yes,1.6705168,0.805781766,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,512,cpu,,blocked_interval,merged,ok,750.727478,265.916864,388.968372,738.263372,26.7464984,23.910108,,,0,0,144,0,yes,1.6705168,0.805781766,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,512,cpu,,blocked_interval,grouped,ok,748.413098,265.492228,387.199667,736.077609,26.7987689,24.0012556,,,0,0,144,0,yes,1.6705168,0.805781766,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,2048,cpu,,interval,merged,ok,2132.19531,663.449845,1255.42117,2106.83254,104.919069,34.5724905,,,0,0,144,0,yes,1.6705168,0.805965849,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,2048,cpu,,interval,grouped,ok,2130.16724,668.05751,1247.45577,2105.69417,103.830291,34.5307095,,,0,0,144,0,yes,1.6705168,0.805965849,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,2048,cpu,,blocked_interval,merged,ok,2146.84242,673.490529,1262.48061,2122.13673,102.753664,33.9824464,,,0,0,144,0,yes,1.6705168,0.805965849,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,2048,cpu,,blocked_interval,grouped,ok,2129.79001,671.742725,1249.92689,2105.33828,101.404901,33.9404223,,,0,0,144,0,yes,1.6705168,0.805965849,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,8192,cpu,,interval,merged,ok,10456.7786,2457.50704,6912.34297,10384.5667,783.782133,91.4201336,,,0,0,144,0,yes,1.6705168,0.806004278,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,8192,cpu,,interval,grouped,ok,10429.2736,2450.70765,6906.75701,10358.7471,776.628701,91.4290557,,,0,0,144,0,yes,1.6705168,0.806004278,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,8192,cpu,,blocked_interval,merged,ok,10494.3099,2461.71846,6928.95721,10418.9641,797.589169,90.5642677,,,0,0,144,0,yes,1.6705168,0.806004278,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,8192,cpu,,blocked_interval,grouped,ok,10488.8814,2448.06417,6955.91733,10415.7956,788.566019,90.5497866,,,0,0,144,0,yes,1.6705168,0.806004278,,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,128,cuda,,interval,merged,ok,872.91723,284.929999,254.073319,832.991851,15.135318,49.655267,,,636928,2097152,144,0,yes,1.63046955,0.804825631,0.382213231,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,128,cuda,,interval,grouped,ok,801.787183,280.78445,180.014633,761.780908,10.80913,48.767034,,,636928,2097152,144,0,yes,1.63046955,0.804825631,0.414732226,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,128,cuda,,blocked_interval,merged,ok,775.183808,296.991432,188.158777,735.336845,10.7650869,48.855572,,,636928,2097152,144,0,yes,1.63046955,0.804825631,0.442809763,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,128,cuda,,blocked_interval,grouped,ok,775.613336,296.567209,188.549893,736.361741,10.7721305,48.7894276,,,636928,2097152,144,0,yes,1.63046955,0.804825631,0.458981008,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,512,cuda,,interval,merged,ok,758.22896,282.092711,182.461291,717.756606,10.8707268,49.392255,,,2495488,4194304,144,0,yes,1.6705168,0.805781766,0.971309395,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,512,cuda,,interval,grouped,ok,758.547862,282.46425,182.358035,718.029519,10.9239435,49.477051,,,2495488,4194304,144,0,yes,1.6705168,0.805781766,0.991530523,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,512,cuda,,blocked_interval,merged,ok,779.856248,298.149395,189.475893,740.049803,10.7647358,49.3707694,,,2495488,4194304,144,0,yes,1.6705168,0.805781766,0.96264854,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,512,cuda,,blocked_interval,grouped,ok,782.575687,299.218807,190.106237,742.931901,10.8642504,49.3435925,,,2495488,4194304,144,0,yes,1.6705168,0.805781766,0.956345961,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,2048,cuda,,interval,merged,ok,759.472771,282.269225,182.802221,719.044089,11.1377398,49.1841529,,,9929728,29360128,144,0,yes,1.6705168,0.805965849,2.80746775,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,2048,cuda,,interval,grouped,ok,759.574466,282.357322,182.252461,719.020703,10.856769,49.2629725,,,9929728,29360128,144,0,yes,1.6705168,0.805965849,2.80442186,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,2048,cuda,,blocked_interval,merged,ok,789.659293,299.97065,191.497299,749.492658,10.8712027,49.5009143,,,9929728,29360128,144,0,yes,1.6705168,0.805965849,2.71869455,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,2048,cuda,,blocked_interval,grouped,ok,783.458931,298.663643,190.141516,743.388021,10.8250538,49.2249075,,,9929728,29360128,144,0,yes,1.6705168,0.805965849,2.718445,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,8192,cuda,,interval,merged,ok,764.965981,284.593618,183.522337,724.267364,10.9465299,49.4473772,,,40322048,77594624,144,0,yes,1.6705168,0.806004278,13.6695996,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,8192,cuda,,interval,grouped,ok,762.011296,283.718165,182.561733,721.372534,10.9579694,49.3362853,,,40322048,77594624,144,0,yes,1.6705168,0.806004278,13.6865078,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,8192,cuda,,blocked_interval,merged,ok,786.481156,300.695022,190.780672,746.753568,10.9240413,49.2835706,,,40322048,77594624,144,0,yes,1.6705168,0.806004278,13.3433711,rhs construction,CONTINUE_BLOCKED_DENSE
many_box,8192,cuda,,blocked_interval,grouped,ok,790.576317,302.277612,191.575268,749.980276,10.9210741,49.3985945,,,40322048,77594624,144,0,yes,1.6705168,0.806004278,13.2673863,rhs construction,CONTINUE_BLOCKED_DENSE
nncs,128,cpu,affine,interval,merged,ok,42.2011483,7.25386757,,,,,3.51913366,29.8636621,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cpu,affine,interval,grouped,ok,40.6530015,7.06006866,,,,,2.48804688,29.5882663,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cpu,affine,blocked_interval,merged,ok,41.1266815,7.45317992,,,,,2.48345826,29.7056092,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cpu,affine,blocked_interval,grouped,ok,41.1696546,7.45373499,,,,,2.48930603,29.7384784,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cpu,affine,interval,merged,ok,60.9054556,12.4707455,,,,,2.93140579,43.7138984,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cpu,affine,interval,grouped,ok,65.9908652,13.5928839,,,,,3.17475572,47.3947581,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cpu,affine,blocked_interval,merged,ok,66.490544,14.1014149,,,,,3.17439064,47.4241069,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cpu,affine,blocked_interval,grouped,ok,66.6114828,14.1161215,,,,,3.15986108,47.5069182,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cpu,affine,interval,merged,ok,142.299954,32.8846304,,,,,4.07729764,103.060407,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cpu,affine,interval,grouped,ok,139.382557,31.3487379,,,,,3.92521918,101.856453,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cpu,affine,blocked_interval,merged,ok,126.115711,28.6473092,,,,,3.4811683,91.8807145,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cpu,affine,blocked_interval,grouped,ok,126.323598,28.7391199,,,,,3.4760721,92.0327762,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cpu,affine,interval,merged,ok,395.356667,98.8564203,,,,,7.15536252,284.943912,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cpu,affine,interval,grouped,ok,391.884269,96.3913705,,,,,6.87949732,284.141536,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cpu,affine,blocked_interval,merged,ok,392.850964,97.1420221,,,,,6.83153421,284.458295,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cpu,affine,blocked_interval,grouped,ok,395.05539,98.5106286,,,,,7.03109894,285.065792,0,0,144,0,yes,0.0809334531,0.0791458721,,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cpu,relu_ibp,interval,merged,ok,40.2938537,7.15340581,,,,,3.28300055,28.3717932,0,0,144,0,yes,0.0872138521,0.0831913219,,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cpu,relu_ibp,interval,grouped,ok,39.1534688,7.08623044,,,,,2.7818121,27.8145196,0,0,144,0,yes,0.0872138521,0.0831913219,,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cpu,relu_ibp,blocked_interval,merged,ok,39.9181489,7.52113666,,,,,2.83418968,28.0816732,0,0,144,0,yes,0.0872138521,0.0831913219,,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cpu,relu_ibp,blocked_interval,grouped,ok,39.8949319,7.59290159,,,,,2.82702036,27.9335156,0,0,144,0,yes,0.0872138521,0.0831913219,,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cpu,relu_ibp,interval,merged,ok,50.1707261,11.1153787,,,,,3.16927955,34.1576496,0,0,144,0,yes,0.0872138521,0.0831872348,,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cpu,relu_ibp,interval,grouped,ok,50.4597966,11.1080417,,,,,3.12342588,34.4931055,0,0,144,0,yes,0.0872138521,0.0831872348,,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cpu,relu_ibp,blocked_interval,merged,ok,51.064875,11.864543,,,,,3.08598857,34.3774864,0,0,144,0,yes,0.0872138521,0.0831872348,,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cpu,relu_ibp,blocked_interval,grouped,ok,50.9404354,11.8992347,,,,,3.13526206,34.1289267,0,0,144,0,yes,0.0872138521,0.0831872348,,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cpu,relu_ibp,interval,merged,ok,94.1763828,27.2785062,,,,,3.84285673,60.9604092,0,0,144,0,yes,0.0872138521,0.0831866266,,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cpu,relu_ibp,interval,grouped,ok,94.3391239,27.0505697,,,,,3.90872639,61.2581,0,0,144,0,yes,0.0872138521,0.0831866266,,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cpu,relu_ibp,blocked_interval,merged,ok,94.4157504,27.7675502,,,,,3.77283897,60.7702173,0,0,144,0,yes,0.0872138521,0.0831866266,,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cpu,relu_ibp,blocked_interval,grouped,ok,96.6216195,28.6321864,,,,,3.86882387,61.9714195,0,0,144,0,yes,0.0872138521,0.0831866266,,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cpu,relu_ibp,interval,merged,ok,275.931966,97.8110833,,,,,7.97150563,165.578656,0,0,144,0,yes,0.0872138521,0.0831863443,,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cpu,relu_ibp,interval,grouped,ok,265.143057,93.074603,,,,,7.4603809,160.183799,0,0,144,0,yes,0.0872138521,0.0831863443,,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cpu,relu_ibp,blocked_interval,merged,ok,267.063243,94.8874615,,,,,7.39272963,160.367592,0,0,144,0,yes,0.0872138521,0.0831863443,,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cpu,relu_ibp,blocked_interval,grouped,ok,267.585607,94.3235867,,,,,7.57433195,161.239382,0,0,144,0,yes,0.0872138521,0.0831863443,,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cuda,affine,interval,merged,ok,131.46256,13.9426757,,,,,21.1423645,93.0958847,8699904,77594624,144,0,yes,0.0809334531,0.0791458721,0.321012677,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cuda,affine,interval,grouped,ok,113.978786,13.7659051,,,,,4.4206595,92.5550424,8699904,77594624,144,0,yes,0.0809334531,0.0791458721,0.356671647,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cuda,affine,blocked_interval,merged,ok,114.74342,14.5787532,,,,,4.43438068,92.5215101,8704000,77594624,144,0,yes,0.0809334531,0.0791458721,0.358423006,plant step,CONTINUE_BLOCKED_DENSE
nncs,128,cuda,affine,blocked_interval,grouped,ok,115.657252,14.629676,,,,,4.44557797,93.3288829,8704000,77594624,144,0,yes,0.0809334531,0.0791458721,0.355962586,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cuda,affine,interval,merged,ok,115.67498,13.923726,,,,,4.67197131,93.8081974,9191424,77594624,144,0,yes,0.0809334531,0.0791458721,0.526522292,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cuda,affine,interval,grouped,ok,114.792604,13.8041964,,,,,4.5490209,93.1847999,9191424,77594624,144,0,yes,0.0809334531,0.0791458721,0.574870357,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cuda,affine,blocked_interval,merged,ok,115.869314,14.6189937,,,,,4.54521924,93.4433443,9207808,77594624,144,0,yes,0.0809334531,0.0791458721,0.573840834,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cuda,affine,blocked_interval,grouped,ok,116.102671,14.7618782,,,,,4.52718697,93.5541736,9207808,77594624,144,0,yes,0.0809334531,0.0791458721,0.573729114,plant step,CONTINUE_BLOCKED_DENSE
