run_id,segment_index,t_hi,component_index,component,stage_index,variable_index,branch,operation,power_after,inserted_var_range_width,result_range_width,result_normal_range_width,result_remainder_width,result_term_count,result_degree,kept_poly_range_width,truncation_width,cutoff_width,p_left_times_right_remainder_width,p_right_times_left_remainder_width,remainder_times_remainder_width,outer_remainder_width,source_note
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,0,0,state,multiply_inserted_right_map,1,2.0000000000000018,8.639999999999998e-07,8.639999999999998e-07,7.4109846876186982e-323,1,1,8.6399999999999969e-07,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,1.4821969375237396e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,1,1,state,multiply_inserted_right_map,0,2.0000000000000018,3.0000000000000036e-07,3.0000000000000036e-07,7.4109846876186982e-323,1,1,3.000000000000003e-07,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,1.4821969375237396e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,2,1,state,add_coefficient_branch,0,,3.0000000011964905e-07,3.0000000017516021e-07,8.3991159793011913e-323,2,1,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,3,0,state,add_coefficient_branch,1,,1.164000000108967e-06,1.1640000001644781e-06,1.6304166312761136e-322,3,1,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,4,0,state,multiply_inserted_right_map,0,2.0000000000000018,0.29998392853600014,0.29998392853600014,2.3221085354538588e-322,3,2,0.29998392853600009,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,1.7292297604443629e-322,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,5,1,state,multiply_inserted_right_map,0,2.0000000000000018,0.00039953647083333394,0.00039953647083333394,7.4109846876186982e-323,1,1,0.00039953647083333389,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,1.4821969375237396e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,6,0,state,add_coefficient_branch,0,,0.30038346500683355,0.30038346500683355,3.1126135687998532e-322,4,2,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,7,,outer,add_outer_remainder,,,0.30038428998250288,0.30038428998250288,8.2497566932291753e-07,4,2,,,,,,,8.2497566932291753e-07,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,8,1,state,multiply_inserted_right_map,0,2.0000000000000018,9.0000000000000104e-06,9.0000000000000104e-06,7.4109846876186982e-323,1,1,9.0000000000000087e-06,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,1.4821969375237396e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,9,1,state,add_coefficient_branch,0,,9.000000000000112e-06,9.0000000000001662e-06,8.3991159793011913e-323,2,1,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,10,0,state,multiply_inserted_right_map,1,2.0000000000000018,0.00043327799999999994,0.00043327799999999994,1.5316035021078643e-322,2,2,0.00043327799999999989,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,9.3872472709836843e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,11,1,state,multiply_inserted_right_map,0,2.0000000000000018,0.00015081450000000018,0.00015081450000000018,7.4109846876186982e-323,1,1,0.00015081450000000015,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,1.4821969375237396e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,12,1,state,add_coefficient_branch,0,,0.00015081450000000408,0.00015081450000000582,8.3991159793011913e-323,2,1,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,13,0,state,add_coefficient_branch,1,,0.00058409250000000291,0.00058409250000000465,2.4209216646221081e-322,4,2,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,14,0,state,multiply_inserted_right_map,0,2.0000000000000018,0.0087738814435000066,0.0087738814435000066,3.1126135687998532e-322,4,3,0.0087738814435000048,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,2.5197347937903574e-322,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,15,1,state,multiply_inserted_right_map,1,2.0000000000000018,1.0000000000000026e-07,1.0000000000000026e-07,7.4109846876186982e-323,1,1,1.0000000000000025e-07,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,1.4821969375237396e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,16,1,state,add_coefficient_branch,1,,1.0000000003063116e-07,1.0000000004450894e-07,8.3991159793011913e-323,2,1,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,17,1,state,multiply_inserted_right_map,0,2.0000000000000018,0.099764906071156401,0.099764906071156401,1.5316035021078643e-322,2,2,0.099764906071156387,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,9.3872472709836843e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,18,0,state,add_coefficient_branch,0,,0.10853878751465641,0.10853878751465641,4.6936236354918422e-322,6,3,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,19,,outer,add_outer_remainder,,,0.10854689516198897,0.10854689516198897,8.1076473325653033e-06,6,3,,,,,,,8.1076473325653016e-06,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,0,1,state,multiply_inserted_right_map,0,2.0000000000000018,5.4000000000000022e-13,5.4000000000000022e-13,7.4109846876186982e-323,1,1,5.4000000000000012e-13,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,1.4821969375237396e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,1,1,state,add_coefficient_branch,0,,5.4000000000000547e-13,5.4000000000000871e-13,8.3991159793011913e-323,2,1,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,2,0,state,multiply_inserted_right_map,3,2.0000000000000018,2.5862759999999973e-11,2.5862759999999973e-11,1.5316035021078643e-322,2,2,2.586275999999997e-11,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,9.3872472709836843e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,3,1,state,multiply_inserted_right_map,0,2.0000000000000018,1.8051615000000013e-11,1.8051615000000013e-11,7.4109846876186982e-323,1,1,1.805161500000001e-11,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,1.4821969375237396e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,4,1,state,add_coefficient_branch,0,,1.8051615000000326e-11,1.8051615000000533e-11,8.3991159793011913e-323,2,1,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,5,0,state,add_coefficient_branch,3,,4.3914375000000322e-11,4.3914375000000529e-11,2.4209216646221081e-322,4,2,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,6,0,state,multiply_inserted_right_map,2,2.0000000000000018,9.6532036641900001e-10,9.6532036641900001e-10,3.1126135687998532e-322,4,3,9.6532036641899981e-10,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,2.5197347937903574e-322,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,7,1,state,multiply_inserted_right_map,1,2.0000000000000018,3.6000000000000074e-14,3.6000000000000074e-14,7.4109846876186982e-323,1,1,3.6000000000000067e-14,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,1.4821969375237396e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,8,1,state,add_coefficient_branch,1,,3.600000000816705e-14,3.6000000011475772e-14,8.3991159793011913e-323,2,1,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,9,1,state,multiply_inserted_right_map,0,2.0000000000000018,1.7819664710688772e-08,1.7819664710688772e-08,1.5316035021078643e-322,2,2,1.7819664710688766e-08,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,9.3872472709836843e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,10,1,state,add_coefficient_branch,0,,1.7819664710689004e-08,1.781966471068911e-08,1.6304166312761136e-322,3,2,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,11,0,state,add_coefficient_branch,2,,1.8784985077107945e-08,1.8784985077108051e-08,4.7924367646600915e-322,7,3,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,12,0,state,multiply_inserted_right_map,1,2.0000000000000018,8.7196213486377291e-07,8.7196213486377291e-07,5.4841286688378366e-322,7,4,8.7196213486377291e-07,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,4.8912498938283408e-322,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,13,1,state,multiply_inserted_right_map,1,2.0000000000000018,1.5760942750000041e-11,1.5760942750000041e-11,7.4109846876186982e-323,1,1,1.5760942750000038e-11,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,1.4821969375237396e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,14,1,state,add_coefficient_branch,1,,1.5760942750100094e-11,1.5760942750153034e-11,8.3991159793011913e-323,2,1,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,15,1,state,multiply_inserted_right_map,0,2.0000000000000018,3.0106829646271371e-07,3.0106829646271371e-07,1.5316035021078643e-322,2,2,3.0106829646271366e-07,4.9406564584124654e-324,4.9406564584124654e-324,1.4821969375237396e-323,9.3872472709836843e-323,1.4821969375237396e-323,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,16,1,state,add_coefficient_branch,0,,3.0106829657094996e-07,3.0106829662646112e-07,1.6304166312761136e-322,3,2,,,4.9406564584124654e-324,,,,,clean-room Horner diagnostic rerun from normalized-insertion transition inputs
