run_id,segment_index,t_hi,component_index,component,stage_index,variable_index,branch,operation,uncertainty_component,width,rank,source_note
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,4,0,state,multiply_inserted_right_map,result_range_width,0.29998392853600014,1,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,4,0,state,multiply_inserted_right_map,kept_poly_range_width,0.29998392853600009,2,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,17,1,state,multiply_inserted_right_map,result_range_width,0.099764906071156401,3,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,17,1,state,multiply_inserted_right_map,kept_poly_range_width,0.099764906071156387,4,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,14,0,state,multiply_inserted_right_map,result_range_width,0.0087738814435000066,5,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,14,0,state,multiply_inserted_right_map,kept_poly_range_width,0.0087738814435000048,6,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,10,0,state,multiply_inserted_right_map,result_range_width,0.00043327799999999994,7,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,10,0,state,multiply_inserted_right_map,kept_poly_range_width,0.00043327799999999989,8,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,5,1,state,multiply_inserted_right_map,result_range_width,0.00039953647083333394,9,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,5,1,state,multiply_inserted_right_map,kept_poly_range_width,0.00039953647083333389,10,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,11,1,state,multiply_inserted_right_map,result_range_width,0.00015081450000000018,11,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,11,1,state,multiply_inserted_right_map,kept_poly_range_width,0.00015081450000000015,12,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,8,1,state,multiply_inserted_right_map,result_range_width,9.0000000000000104e-06,13,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,8,1,state,multiply_inserted_right_map,kept_poly_range_width,9.0000000000000087e-06,14,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,1,y,19,,outer,add_outer_remainder,outer_remainder_width,8.1076473325653016e-06,15,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,0,0,state,multiply_inserted_right_map,result_range_width,8.639999999999998e-07,16,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,0,0,state,multiply_inserted_right_map,kept_poly_range_width,8.6399999999999969e-07,17,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,7,,outer,add_outer_remainder,outer_remainder_width,8.2497566932291753e-07,18,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,1,1,state,multiply_inserted_right_map,result_range_width,3.0000000000000036e-07,19,uncertainty components from Horner diagnostic stages
flowstar_style_o4_target_insert,0,0.0040000000000000001,0,x,1,1,state,multiply_inserted_right_map,kept_poly_range_width,3.000000000000003e-07,20,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,18,0,state,multiply_inserted_right_map,result_range_width,0.29998394388370875,1,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,18,0,state,multiply_inserted_right_map,kept_poly_range_width,0.29998394388370869,2,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,1,y,55,1,state,multiply_inserted_right_map,result_range_width,0.099764906982070675,3,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,1,y,55,1,state,multiply_inserted_right_map,kept_poly_range_width,0.099764906982070647,4,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,1,y,50,0,state,multiply_inserted_right_map,result_range_width,0.0087744178601757376,5,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,1,y,50,0,state,multiply_inserted_right_map,kept_poly_range_width,0.0087744178601757341,6,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,1,y,42,0,state,multiply_inserted_right_map,result_range_width,0.0004334524166534906,7,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,1,y,42,0,state,multiply_inserted_right_map,kept_poly_range_width,0.00043345241665349049,8,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,23,1,state,multiply_inserted_right_map,result_range_width,0.00039953654122269294,9,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,23,1,state,multiply_inserted_right_map,kept_poly_range_width,0.00039953654122269289,10,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,1,y,47,1,state,multiply_inserted_right_map,result_range_width,0.00015079476956127318,11,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,1,y,47,1,state,multiply_inserted_right_map,kept_poly_range_width,0.00015079476956127315,12,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,1,y,39,1,state,multiply_inserted_right_map,result_range_width,8.8639198963668687e-06,13,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,1,y,39,1,state,multiply_inserted_right_map,kept_poly_range_width,8.863919896366867e-06,14,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,1,y,57,,outer,add_outer_remainder,outer_remainder_width,7.1268190979813243e-06,15,uncertainty components from Horner diagnostic stages
flowstar_style_o6_candidate8_output6_insert,0,0.0040000000000000001,0,x,12,0,state,multiply_inserted_right_map,kept_poly_range_width,8.7196213486377291e-07,16,uncertainty components from Horner diagnostic stages
