event_name,checkpoint_t,threshold,source,mode,run_kind,segment_index,status,run_reached_checkpoint,last_validated_time,comparison_status,t_lo,t_hi,h,final_segment_width_sum,tube_prefix_width_sum,flowstar_segment_width_sum,time_aligned_flowstar_segment_width,time_aligned_final_width_ratio,time_aligned_flowstar_tube_prefix_width,time_aligned_tube_ratio,target_margin_min,immediate_same_state_saving,cumulative_downstream_saving,missing_flowstar_component_fields,notes
t_5,5,,flowstar,generated_flowstar_h10_reference,reference,148,accepted,true,10,time_aligned,4.9698279999999997,5.0335789999999996,0.063750999999999891,0.18597819999999987,9.2616030000000009,0.18597819999999987,0.18597819999999987,1,9.2616030000000009,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
t_5,5,,torch,constant_adaptive_h10,constant adaptive,180,accepted,true,6.3172908799330765,time_aligned,4.9916601906157689,5.0126918454460547,0.0210316548302855,0.51363180274725817,9.3638214692448987,0.18597819999999987,0.18597819999999987,2.7617849981732188,9.2616030000000009,1.0110368009992328,5.7594075738872921e-05,0.037176500570123665,,,diagnostic checkpoint containing physical time; no interpolation
t_5,5,,torch,range_midpoint_adaptive_h10,range_midpoint adaptive,169,accepted,true,6.3909311096815973,time_aligned,4.9787985106953521,5.0082843775514059,0.029485866856053689,0.46734018538778488,9.3493834878142046,0.18597819999999987,0.18597819999999987,2.5128761617640412,9.2616030000000009,1.009477893601594,3.4875653895040552e-05,7.406901892924516e-06,,,diagnostic checkpoint containing physical time; no interpolation
t_5,5,,torch,range_midpoint_on_constant_schedule,range_midpoint on constant schedule,180,accepted,true,6.3172908799330765,time_aligned,4.9916601906157689,5.0126918454460547,0.0210316548302855,0.44730187930234444,9.3438417549971877,0.18597819999999987,0.18597819999999987,2.4051307051167541,9.2616030000000009,1.0088795379155409,6.6104627061546706e-05,1.145329814922543e-05,0.13603617937881782,,diagnostic checkpoint containing physical time; no interpolation
t_5,5,,torch,constant_on_range_midpoint_schedule,,,missing,false,0.43677646366378969,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
first_h_sequence_divergence,0.43677646366378969,,flowstar,generated_flowstar_h10_reference,reference,28,accepted,true,10,time_aligned,0.41424369999999999,0.43677650000000001,0.022532800000000019,0.77074450000000017,2.9918139000000004,0.77074450000000017,0.77074450000000017,1,2.9918139000000004,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
first_h_sequence_divergence,0.43677646366378969,,torch,constant_adaptive_h10,constant adaptive,28,accepted,true,6.3172908799330765,time_aligned,0.41424366114714917,0.43677646366378969,0.022532802516640551,0.82403352058588952,3.0256663349906692,0.77074450000000017,0.77074450000000017,1.0691396702615319,2.9918139000000004,1.0113150202927625,9.8122808151003332e-06,0.019459291179830845,,,diagnostic checkpoint containing physical time; no interpolation
first_h_sequence_divergence,0.43677646366378969,,torch,range_midpoint_adaptive_h10,range_midpoint adaptive,28,accepted,true,6.3909311096815973,time_aligned,0.41424366114714917,0.43677646366378969,0.022532802516640551,0.81194844107826447,3.0149861985763202,0.77074450000000017,0.77074450000000017,1.053459922293658,2.9918139000000004,1.0077452339453066,1.183798234536021e-05,0.0020946325502751917,,,diagnostic checkpoint containing physical time; no interpolation
first_h_sequence_divergence,0.43677646366378969,,torch,range_midpoint_on_constant_schedule,range_midpoint on constant schedule,28,accepted,true,6.3172908799330765,time_aligned,0.41424366114714917,0.43677646366378969,0.022532802516640551,0.81194844107826447,3.0149861985763202,0.77074450000000017,0.77074450000000017,1.053459922293658,2.9918139000000004,1.0077452339453066,1.183798234536021e-05,0.0020946325502751917,0.019490591073572896,,diagnostic checkpoint containing physical time; no interpolation
first_h_sequence_divergence,0.43677646366378969,,torch,constant_on_range_midpoint_schedule,constant on range_midpoint schedule,28,accepted,true,0.43677646366378969,time_aligned,0.41424366114714917,0.43677646366378969,0.022532802516640551,0.82403352058588952,3.0256663349906692,0.77074450000000017,0.77074450000000017,1.0691396702615319,2.9918139000000004,1.0113150202927625,9.8122808151003332e-06,0.019459291179830845,-0.019878025540737445,,diagnostic checkpoint containing physical time; no interpolation
first_target_margin_lt_1e_6,1.1910872506835912,9.9999999999999995e-07,flowstar,generated_flowstar_h10_reference,reference,54,accepted,true,10,time_aligned,1.1786939999999999,1.2122630000000001,0.033569000000000182,0.1925017,4.0224082000000001,0.1925017,0.1925017,1,4.0224082000000001,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
first_target_margin_lt_1e_6,1.1910872506835912,9.9999999999999995e-07,torch,constant_adaptive_h10,constant adaptive,56,accepted,true,6.3172908799330765,time_aligned,1.1732493698206858,1.2138675449609997,0.040618175140313836,0.21601580721770658,4.0427843769005625,0.1925017,0.1925017,1.1221501275973489,4.0224082000000001,1.0050656661103075,5.3597396205255516e-05,0.091268958298666519,,,diagnostic checkpoint containing physical time; no interpolation
first_target_margin_lt_1e_6,1.1910872506835912,9.9999999999999995e-07,torch,range_midpoint_adaptive_h10,range_midpoint adaptive,53,accepted,true,6.3909311096815973,time_aligned,1.1300531783465306,1.1910872506835912,0.061034072337060589,0.24564733518684356,4.032370042034259,0.1925017,0.1925017,1.2760787836514875,4.0224082000000001,1.0024765865468996,2.3488222932062895e-08,0.00071860728411533468,,,diagnostic checkpoint containing physical time; no interpolation
first_target_margin_lt_1e_6,1.1910872506835912,9.9999999999999995e-07,torch,range_midpoint_on_constant_schedule,range_midpoint on constant schedule,56,accepted,true,6.3172908799330765,time_aligned,1.1732493698206858,1.2138675449609997,0.040618175140313836,0.20132090770377292,4.0368582787115317,0.1925017,0.1925017,1.045813661405447,4.0224082000000001,1.003592394902022,5.6108084733979136e-05,0.00041275554085971075,0.092261300312144023,,diagnostic checkpoint containing physical time; no interpolation
first_target_margin_lt_1e_6,1.1910872506835912,9.9999999999999995e-07,torch,constant_on_range_midpoint_schedule,,,missing,false,0.43677646366378969,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
historical_window_t_6_473,6.4729999999999999,,flowstar,generated_flowstar_h10_reference,reference,181,accepted,true,10,time_aligned,6.4611450000000001,6.48428,0.023134999999999906,0.34324940000000004,9.532820000000001,0.34324940000000004,0.34324940000000004,1,9.532820000000001,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
historical_window_t_6_473,6.4729999999999999,,torch,constant_adaptive_h10,,,missing,false,6.3172908799330765,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
historical_window_t_6_473,6.4729999999999999,,torch,range_midpoint_adaptive_h10,,,missing,false,6.3909311096815973,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
historical_window_t_6_473,6.4729999999999999,,torch,range_midpoint_on_constant_schedule,,,missing,false,6.3172908799330765,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
historical_window_t_6_473,6.4729999999999999,,torch,constant_on_range_midpoint_schedule,,,missing,false,0.43677646366378969,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
historical_window_t_7_496,7.4960000000000004,,flowstar,generated_flowstar_h10_reference,reference,223,accepted,true,10,time_aligned,7.476019,7.5156109999999998,0.03959199999999985,0.2162567999999998,9.532820000000001,0.2162567999999998,0.2162567999999998,1,9.532820000000001,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
historical_window_t_7_496,7.4960000000000004,,torch,constant_adaptive_h10,,,missing,false,6.3172908799330765,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
historical_window_t_7_496,7.4960000000000004,,torch,range_midpoint_adaptive_h10,,,missing,false,6.3909311096815973,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
historical_window_t_7_496,7.4960000000000004,,torch,range_midpoint_on_constant_schedule,,,missing,false,6.3172908799330765,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
historical_window_t_7_496,7.4960000000000004,,torch,constant_on_range_midpoint_schedule,,,missing,false,0.43677646366378969,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
first_flowstar_ratio_gt_2,4.2058673642397242,2,flowstar,generated_flowstar_h10_reference,reference,134,accepted,true,10,time_aligned,4.1890989999999997,4.2226739999999996,0.03357499999999991,0.16024700000000008,9.2616030000000009,0.16024700000000008,0.16024700000000008,1,9.2616030000000009,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
first_flowstar_ratio_gt_2,4.2058673642397242,2,torch,constant_adaptive_h10,constant adaptive,149,accepted,true,6.3172908799330765,time_aligned,4.1788379556177961,4.2139010454171615,0.035063089799365316,0.42095349984229713,9.3638214692448987,0.16024700000000008,0.16024700000000008,2.6269040908241461,9.2616030000000009,1.0110368009992328,1.2147778099225274e-05,0.054404125206612794,,,diagnostic checkpoint containing physical time; no interpolation
first_flowstar_ratio_gt_2,4.2058673642397242,2,torch,range_midpoint_adaptive_h10,range_midpoint adaptive,141,accepted,true,6.3909311096815973,time_aligned,4.1731529839110033,4.2058673642397242,0.032714380328721059,0.37423137054879491,9.3493834878142046,0.16024700000000008,0.16024700000000008,2.3353408834411549,9.2616030000000009,1.009477893601594,3.6621392989444061e-05,5.3897708680891642e-05,,,diagnostic checkpoint containing physical time; no interpolation
first_flowstar_ratio_gt_2,4.2058673642397242,2,torch,range_midpoint_on_constant_schedule,range_midpoint on constant schedule,149,accepted,true,6.3172908799330765,time_aligned,4.1788379556177961,4.2139010454171615,0.035063089799365316,0.37315372659456647,9.3438417549971877,0.16024700000000008,0.16024700000000008,2.328615990281043,9.2616030000000009,1.0088795379155409,2.8761915956411078e-05,5.7592597580980617e-05,0.12849846233994661,,diagnostic checkpoint containing physical time; no interpolation
first_flowstar_ratio_gt_2,4.2058673642397242,2,torch,constant_on_range_midpoint_schedule,,,missing,false,0.43677646366378969,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
first_flowstar_ratio_gt_5,6.2253033768535344,5,flowstar,generated_flowstar_h10_reference,reference,171,accepted,true,10,time_aligned,6.1969089999999998,6.2325869999999997,0.035677999999999876,0.51699667000000016,9.2696710000000007,0.51699667000000016,0.51699667000000016,1,9.2696710000000007,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
first_flowstar_ratio_gt_5,6.2253033768535344,5,torch,constant_adaptive_h10,constant adaptive,281,accepted,true,6.3172908799330765,time_aligned,6.2226755078401697,6.2275401927505891,0.0048646849104191456,3.2309591911253479,10.278816354233051,0.51699667000000016,0.51699667000000016,6.2494777599347922,9.2696710000000007,1.1088652827304282,3.4152394499969836e-05,0.01880554002179937,,,diagnostic checkpoint containing physical time; no interpolation
