step_index,prescribed_h,constant_status,range_midpoint_status,constant_h,range_midpoint_h,constant_h_delta,range_midpoint_h_delta,h_sequence_modified,constant_t_hi,range_midpoint_t_hi,constant_width_sum,range_midpoint_width_sum,width_reduction_absolute,width_reduction_relative,constant_reset_width_sum,range_midpoint_reset_width_sum,reset_width_reduction_absolute,reset_width_reduction_relative,constant_polynomial_range_width_sum,range_midpoint_polynomial_range_width_sum,constant_right_map_range_width_sum,range_midpoint_right_map_range_width_sum,constant_target_margin,range_midpoint_target_margin,range_midpoint_validation_failure_recorded,notes
0,0.012500000000000001,validated,validated,0.012500000000000001,0.012500000000000001,0,0,false,0.012500000000000001,0.012500000000000001,0.49371371665576347,0.49371371665576347,0,0,0.42837736416092065,0.42773824331745935,0.00063912084346129383,0.0014919575517561825,0.49365905538449428,0.49365905538449428,0.42773824331745935,0.42773824331745935,7.2478812534293869e-05,7.2478812534293869e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
1,0.013750000000000002,validated,validated,0.013750000000000002,0.013750000000000002,0,0,false,0.026250000000000002,0.026250000000000002,0.53503630579431327,0.53436663610503232,0.0006696696892809495,0.0012516341078700442,0.45875573343961151,0.45749869742373928,0.0012570360158722371,0.0027400987589786875,0.5349687016156347,0.53429910098114719,0.45749875578411436,0.45749869742373928,6.57944892813054e-05,6.582965857976941e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
2,0.015125000000000003,validated,validated,0.015125000000000003,0.015125000000000003,0,0,false,0.041375000000000009,0.041375000000000009,0.58030177652515702,0.57897426196727375,0.0013275145578832692,0.0022876279404699003,0.49094505024414459,0.48912058805833936,0.0018244621858052312,0.0037162248298418226,0.58021687599908944,0.57888954521896407,0.4891208011449989,0.48912058805833936,5.6924192282499147e-05,5.7017872446775726e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
3,0.016637500000000003,validated,validated,0.016637500000000003,0.016637500000000003,0,0,false,0.058012500000000009,0.058012500000000009,0.62948330297547117,0.62753851184563447,0.0019447911298366982,0.0030895039163770801,0.52459708715946818,0.52229408584618164,0.0023030013132865346,0.0043900383163707184,0.62937507020148054,0.6274306415597749,0.52229460396518224,0.52229408584618175,4.5071186820374935e-05,4.5256130500569655e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
4,0.018301250000000005,validated,validated,0.018301250000000005,0.018301250000000005,0,0,false,0.076313750000000014,0.076313750000000014,0.68242283352584288,0.67994063426949358,0.0024821992563492934,0.0036373332403381461,0.55915465420198718,0.55651035352656253,0.002644300675424649,0.0047291042926192479,0.68228300357795668,0.67980142774439811,0.55651139798560423,0.55651035352656253,2.920041797713575e-05,2.9518774626208837e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
5,0.020131375000000007,validated,validated,0.020131375000000007,0.020131375000000007,0,0,false,0.09644512500000002,0.09644512500000002,0.73869545853299057,0.7358076076715252,0.0028878508614653686,0.0039093930091305623,0.59379572892644317,0.59100545300769292,0.0027902759187502513,0.0046990501662835275,0.7385128992031228,0.73562602523888632,0.59100732857041216,0.59100545300769303,8.0048412987621006e-06,8.5040878569939767e-06,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
6,0.011072256250000004,validated,validated,0.011072256250000004,0.011072256250000004,0,0,false,0.10751738125000003,0.10751738125000003,0.69398575009755992,0.69104724949042029,0.0029385006071396269,0.0042342376723535531,0.6111554485989692,0.60838536489022499,0.0027700837087442087,0.0045325354050175454,0.69392437126731588,0.69098613675834597,0.6083874812298522,0.60838536489022499,7.00042200016592e-05,7.013945058249841e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
7,0.012179481875000005,validated,validated,0.012179481875000005,0.012179481875000005,0,0,false,0.11969686312500004,0.11969686312500004,0.7229757345003851,0.72003672319938183,0.0029390113010032692,0.0040651589821811699,0.62881668708464611,0.62615095298221268,0.0026657341024334258,0.0042392865157450674,0.72290128565035372,0.71996261485453472,0.6261533772441219,0.62615095298221279,6.3559887992040663e-05,6.3733071018186294e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
8,0.013397430062500007,validated,validated,0.013397430062500007,0.013397430062500007,0,0,false,0.13309429318750005,0.13309429318750005,0.7535295283786323,0.75067627492799605,0.0028532534506362506,0.0037865184351508949,0.64644098668302163,0.64398629207336811,0.0024546946096535294,0.00379724469862115,0.75343827509537864,0.7505854508794384,0.64398910624205297,0.64398629207336822,5.5298901954440096e-05,5.5517283393836064e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
9,0.014737173068750008,validated,validated,0.014737173068750008,0.014737173068750008,0,0,false,0.14783146625625004,0.14783146625625004,0.78537165885092408,0.78271634072484275,0.0026553181260813297,0.0033809701383499388,0.66357848359493932,0.66146668256518093,0.0021118010297583867,0.0031824434968380764,0.78525902501583589,0.7826042301777828,0.6614699772963395,0.66146668256518093,4.4827987821608612e-05,4.5094124165333857e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
10,0.016210890375625009,validated,validated,0.016210890375625009,0.016210890375625009,0,0,false,0.16404235663187505,0.16404235663187505,0.81806487181155263,0.81575004377501603,0.0023148280365365981,0.0028296387197393755,0.67964790630619087,0.67803766071916072,0.0016102455870301569,0.0023692349701798666,0.81792512102764403,0.81561089945482024,0.67804152177276966,0.67803766071916083,3.1602806330654183e-05,3.1910697284087089e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
11,0.01783197941318751,validated,validated,0.01783197941318751,0.01783197941318751,0,0,false,0.18187433604506256,0.18187433604506256,0.85097852322671952,0.84918119710108497,0.0017973261256345463,0.0021120699013877451,0.69392003190170559,0.69299666045195973,0.00092337144974585783,0.0013306597407417894,0.85080466435490454,0.84900798496316177,0.69300114320048523,0.69299666045195996,1.4669818697209816e-05,1.4989880828151697e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
12,0.0098075886772531311,validated,validated,0.0098075886772531311,0.0098075886772531311,0,0,false,0.19168192472231568,0.19168192472231568,0.78741056795330788,0.78641753501557932,0.00099303293772856627,0.0012611374270854992,0.70020790535983868,0.69971475022046437,0.00049315513937431277,0.00070429816001702959,0.78735437182751367,0.7863614606720658,0.69971936535271473,0.69971475022046448,7.2856509528226545e-05,7.2917413572921752e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
13,0.010788347544978445,validated,validated,0.010788347544978445,0.010788347544978445,0,0,false,0.20247027226729414,0.20247027226729414,0.80312544363059102,0.80257902602616604,0.00054641760442497578,0.00068036395653816239,0.70757479114145205,0.70686882836862575,0.00070596277282630737,0.00099772176971914977,0.80305897212467114,0.80251266769553287,0.70687427063435249,0.70686882836862586,6.7769651306075202e-05,6.7826930361542198e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
14,0.01186718229947629,validated,validated,0.01186718229947629,0.01186718229947629,0,0,false,0.21433745456677042,0.21433745456677042,0.82076740046739904,0.82000635421924528,0.00076104624815376276,0.0009272374216134472,0.71480648993078244,0.71351202930225655,0.0012944606285258953,0.0018109245603677201,0.8206882710379233,0.81992738027203194,0.7135176280545974,0.71351202930225655,6.1480036051848045e-05,6.1558614185797919e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
15,0.01305390052942392,validated,validated,0.01305390052942392,0.01305390052942392,0,0,false,0.22739135509619435,0.22739135509619435,0.8390950461044091,0.83773022485118065,0.0013648212532284543,0.0016265395196465369,0.72114758261245637,0.71918090312548966,0.0019666794869667159,0.0027271525751249815,0.8390004304027745,0.83763586246874544,0.71918674896259893,0.71918090312548966,5.3760683838493725e-05,5.3887224860571658e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
