run_id,segment_index,t_hi,dimension,rank,monomial,interval_contribution_width,coefficient,total_degree,time_power,source_note
flowstar_style_o6_candidate8_output6_insert,0,0.050000000000000003,x,1,aggregate_right_map_x,0.30121525572411878,,5,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,0,0.050000000000000003,y,2,aggregate_right_map_y,0.20518937161259637,,5,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,0,0.050000000000000003,x,3,scale_x,0.15123218572009592,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,0,0.050000000000000003,y,4,scale_y,0.10302013781110422,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,1,0.125,y,1,aggregate_right_map_y,0.33748818945634179,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,1,0.125,x,2,aggregate_right_map_x,0.29542445500903819,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,1,0.125,y,3,scale_y,0.16944141072480104,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,1,0.125,x,4,scale_x,0.14832263167482632,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,2,0.17499999999999999,y,1,aggregate_right_map_y,0.40041541446224316,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,2,0.17499999999999999,x,2,aggregate_right_map_x,0.28638902070190919,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,2,0.17499999999999999,y,3,scale_y,0.20056663807465366,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,2,0.17499999999999999,x,4,scale_x,0.1434512283719549,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,3,0.25,y,1,aggregate_right_map_y,0.45969504499871272,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,3,0.25,x,2,aggregate_right_map_x,0.26411841658578716,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,3,0.25,y,3,scale_y,0.23083933385666436,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,3,0.25,x,4,scale_x,0.13262905486421028,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,4,0.29999999999999999,y,1,aggregate_right_map_y,0.47395173160242626,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,4,0.29999999999999999,x,2,aggregate_right_map_x,0.24558137971135457,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,4,0.29999999999999999,y,3,scale_y,0.23885767639290545,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,4,0.29999999999999999,x,4,scale_x,0.12376576307653164,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,5,0.375,y,1,aggregate_right_map_y,0.46092559119441739,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,5,0.375,y,2,scale_y,0.23378566536354833,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,5,0.375,x,3,aggregate_right_map_x,0.21748748083821884,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,5,0.375,x,4,scale_x,0.11031163464854839,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,6,0.42499999999999999,y,1,aggregate_right_map_y,0.43550444179646147,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,6,0.42499999999999999,y,2,scale_y,0.22185121668238642,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,6,0.42499999999999999,x,3,aggregate_right_map_x,0.19918071728717096,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,6,0.42499999999999999,x,4,scale_x,0.10146506035059234,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,7,0.5,y,1,aggregate_right_map_y,0.38320580691743084,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,7,0.5,y,2,scale_y,0.19644706256424499,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,7,0.5,x,3,aggregate_right_map_x,0.17357313916810532,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,7,0.5,x,4,scale_x,0.088980732322190392,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,8,0.59999999999999998,y,1,aggregate_right_map_y,0.30725747091230154,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,8,0.59999999999999998,y,2,scale_y,0.15877912730866608,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,8,0.59999999999999998,x,3,aggregate_right_map_x,0.14427566539823311,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,8,0.59999999999999998,x,4,scale_x,0.074556248138704317,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,9,0.69999999999999996,y,1,aggregate_right_map_y,0.23898299259068348,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,9,0.69999999999999996,y,2,scale_y,0.12446300408456622,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,9,0.69999999999999996,x,3,aggregate_right_map_x,0.12094185376887392,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,9,0.69999999999999996,x,4,scale_x,0.062986852229320323,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,10,0.79999999999999993,y,1,aggregate_right_map_y,0.18375335035968443,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,10,0.79999999999999993,x,2,aggregate_right_map_x,0.10301901452479922,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,10,0.79999999999999993,y,3,scale_y,0.096478073764091704,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,10,0.79999999999999993,x,4,scale_x,0.054089223750056231,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,11,0.89999999999999991,y,1,aggregate_right_map_y,0.13885348372448644,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,11,0.89999999999999991,x,2,aggregate_right_map_x,0.089525232382746026,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,11,0.89999999999999991,y,3,scale_y,0.073609013633120043,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,11,0.89999999999999991,x,4,scale_x,0.047459119312017649,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,12,0.99999999999999989,y,1,aggregate_right_map_y,0.10558442023437574,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,12,0.99999999999999989,x,2,aggregate_right_map_x,0.079485828591946917,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,12,0.99999999999999989,y,3,scale_y,0.056603593092895498,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,12,0.99999999999999989,x,4,scale_x,0.042612191157396929,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,13,1.0999999999999999,y,1,aggregate_right_map_y,0.082577766652190354,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,13,1.0999999999999999,x,2,aggregate_right_map_x,0.072132477923208566,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,13,1.0999999999999999,y,3,scale_y,0.044819669817766347,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,13,1.0999999999999999,x,4,scale_x,0.039150415114426476,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,14,1.2,x,1,aggregate_right_map_x,0.066822726760108489,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,14,1.2,y,2,aggregate_right_map_y,0.066526077311442694,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,14,1.2,x,3,scale_x,0.036758316647068509,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,14,1.2,y,4,scale_y,0.036595133626920795,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,15,1.3,x,1,aggregate_right_map_x,0.06310467981329973,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,15,1.3,y,2,aggregate_right_map_y,0.055637796674452344,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,15,1.3,x,3,scale_x,0.035198970956376481,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
