forced_step_index,t_before,h_forced,flowstar_status,torch_noqueue_status,torch_v2_status,torch_noqueue_accepts_flowstar_h,torch_v2_accepts_flowstar_h,first_numeric_channel_divergence,channel_attribution_valid,center_delta_noqueue,center_delta_v2,scale_delta_noqueue,scale_delta_v2,right_map_width_ratio_noqueue_over_flowstar,right_map_width_ratio_v2_over_flowstar,reset_width_ratio_noqueue_over_flowstar,reset_width_ratio_v2_over_flowstar,target_width_ratio_noqueue_over_flowstar,target_width_ratio_v2_over_flowstar,picard_residual_ratio_noqueue_over_flowstar,picard_residual_ratio_v2_over_flowstar,output_range_width_ratio_noqueue_over_flowstar,output_range_width_ratio_v2_over_flowstar,verdict
0,9.9999999999999998e-13,0.012500000000000001,accepted,accepted,accepted,true,true,center_scaling,true,0.033687849170818129,0.033687849170818129,0.01363324345170544,0.01363324345170544,0.10693024082261673,0.10693024082261673,1.0709041391206482,1.0709041391206482,1,1,1.5703222654063695,1.5703222654063695,0.86638811627030987,0.86638811627030987,center_scaling
1,0.012500000001000001,0.013750000000000002,accepted,accepted,accepted,true,true,center_scaling,true,0.039745121106607773,0.039745121106607773,0.014766247068811245,0.014766247068811245,0.11465128605727171,0.11465128605727171,1.0709081246175596,1.0709081246175596,1,1,1.3916466728934911,1.3916466728934911,0.86069417873174325,0.86069417873174325,center_scaling
2,0.026250000001000001,0.015125000000000003,accepted,accepted,accepted,true,true,center_scaling,true,0.046852158345044081,0.046852158345044081,0.015856023236185679,0.015856023236185679,0.12275007072673412,0.12275007072673412,1.0702101870840992,1.0702101870840992,1,1,1.224670830009488,1.224670830009488,0.85433631251436426,0.85433631251436426,center_scaling
3,0.041375000001000001,0.016637500000000003,accepted,accepted,accepted,true,true,center_scaling,true,0.055140866789908483,0.055140866789908483,0.016841875503990245,0.016841875503990245,0.13117087483095302,0.13117087483095302,1.0687104268575567,1.0687104268575567,1,1,1.0869104055816059,1.0869104055816059,0.84738903890176953,0.84738903890176953,center_scaling
4,0.058012500001,0.018301250000000005,accepted,accepted,accepted,true,true,center_scaling,true,0.064730631073992573,0.064730631073992573,0.017618432289286223,0.017618432289286223,0.13979903186455972,0.13979903186455972,1.0660690805469233,1.0660690805469233,1,1,0.97193694179525336,0.97193694179525336,0.8397117887274882,0.8397117887274882,center_scaling
5,0.076313750001000005,0.020131375000000007,accepted,accepted,accepted,true,true,center_scaling,true,0.07570967599689471,0.07570967599689471,0.018075648667879779,0.018075648667879779,0.14844134663657782,0.14844134663657782,1.0621235231176729,1.0621235231176729,1,1,0.87618848262574978,0.87618848262574978,0.83126199318296579,0.83126199318296579,center_scaling
6,0.096445125001000012,0.011072256250000004,accepted,accepted,accepted,true,true,center_scaling,true,0.043466339528677622,0.043466339528677622,0.0092884541164131862,0.0092884541164131862,0.15274620271012609,0.15274620271012609,1.0294841426047749,1.0294841426047749,1,1,1.3476597527667042,1.3476597527667042,0.90371106248409827,0.90371106248409827,center_scaling
7,0.10751738125100002,0.012179481875000005,accepted,accepted,accepted,true,true,center_scaling,true,0.049167361427072231,0.049167361427072231,0.0096472434573985355,0.0096472434573985355,0.1571529689550506,0.1571529689550506,1.0291996649487514,1.0291996649487514,1,1,1.2246754127577832,1.2246754127577832,0.89616161001163319,0.89616161001163319,center_scaling
8,0.11969686312600003,0.013397430062500007,accepted,accepted,accepted,true,true,center_scaling,true,0.055571004804486845,0.055571004804486845,0.0098736755956200795,0.0098736755956200795,0.16155826239558488,0.16155826239558488,1.0283541538580752,1.0283541538580752,1,1,1.1177060336518567,1.1177060336518567,0.88806414448162618,0.88806414448162618,center_scaling
9,0.13309429318850002,0.014737173068750008,accepted,accepted,accepted,true,true,center_scaling,true,0.062719306845673284,0.062719306845673284,0.0099248366937158827,0.0099248366937158827,0.16585045650684055,0.16585045650684055,1.0268590984208223,1.0268590984208223,1,1,1.0250800159806561,1.0250800159806561,0.87940488609811351,0.87940488609811351,center_scaling
