step_index,t_flowstar,t_noqueue,t_v2,flowstar_h,noqueue_h,v2_h,first_material_channel,channel_attribution_valid,comparison_kind,alignment_warning
0,9.9999999999999998e-13,0,0,0.012500000000000001,0.025000000000000001,0.025000000000000001,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_h differs: Flow*=0.012500000000000001, torch=0.025000000000000001; v2_h differs: Flow*=0.012500000000000001, torch=0.025000000000000001"
1,0.012500000001000001,0.025000000000000001,0.025000000000000001,0.013750000000000002,0.018750000000000003,0.018750000000000003,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.012500000001000001, torch=0.025000000000000001; v2_t differs: Flow*=0.012500000001000001, torch=0.025000000000000001; noqueue_h differs: Flow*=0.013750000000000002, torch=0.018750000000000003; v2_h differs: Flow*=0.013750000000000002, torch=0.018750000000000003"
2,0.026250000001000001,0.043750000000000004,0.043750000000000004,0.015125000000000003,0.028125000000000004,0.028125000000000004,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.026250000001000001, torch=0.043750000000000004; v2_t differs: Flow*=0.026250000001000001, torch=0.043750000000000004; noqueue_h differs: Flow*=0.015125000000000003, torch=0.028125000000000004; v2_h differs: Flow*=0.015125000000000003, torch=0.028125000000000004"
3,0.041375000001000001,0.071875000000000008,0.071875000000000008,0.016637500000000003,0.021093750000000001,0.021093750000000001,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.041375000001000001, torch=0.071875000000000008; v2_t differs: Flow*=0.041375000001000001, torch=0.071875000000000008; noqueue_h differs: Flow*=0.016637500000000003, torch=0.021093750000000001; v2_h differs: Flow*=0.016637500000000003, torch=0.021093750000000001"
4,0.058012500001,0.092968750000000017,0.092968750000000017,0.018301250000000005,0.015820312500000003,0.015820312500000003,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.058012500001, torch=0.092968750000000017; v2_t differs: Flow*=0.058012500001, torch=0.092968750000000017; noqueue_h differs: Flow*=0.018301250000000005, torch=0.015820312500000003; v2_h differs: Flow*=0.018301250000000005, torch=0.015820312500000003"
5,0.076313750001000005,0.10878906250000002,0.10878906250000002,0.020131375000000007,0.023730468750000004,0.023730468750000004,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.076313750001000005, torch=0.10878906250000002; v2_t differs: Flow*=0.076313750001000005, torch=0.10878906250000002; noqueue_h differs: Flow*=0.020131375000000007, torch=0.023730468750000004; v2_h differs: Flow*=0.020131375000000007, torch=0.023730468750000004"
6,0.096445125001000012,0.13251953125000002,0.13251953125000002,0.011072256250000004,0.017797851562500001,0.017797851562500001,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.096445125001000012, torch=0.13251953125000002; v2_t differs: Flow*=0.096445125001000012, torch=0.13251953125000002; noqueue_h differs: Flow*=0.011072256250000004, torch=0.017797851562500001; v2_h differs: Flow*=0.011072256250000004, torch=0.017797851562500001"
7,0.10751738125100002,0.15031738281250001,0.15031738281250001,0.012179481875000005,0.013348388671875001,0.013348388671875001,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.10751738125100002, torch=0.15031738281250001; v2_t differs: Flow*=0.10751738125100002, torch=0.15031738281250001; noqueue_h differs: Flow*=0.012179481875000005, torch=0.013348388671875001; v2_h differs: Flow*=0.012179481875000005, torch=0.013348388671875001"
8,0.11969686312600003,0.163665771484375,0.163665771484375,0.013397430062500007,0.020022583007812501,0.020022583007812501,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.11969686312600003, torch=0.163665771484375; v2_t differs: Flow*=0.11969686312600003, torch=0.163665771484375; noqueue_h differs: Flow*=0.013397430062500007, torch=0.020022583007812501; v2_h differs: Flow*=0.013397430062500007, torch=0.020022583007812501"
9,0.13309429318850002,0.18368835449218751,0.18368835449218751,0.014737173068750008,0.015016937255859376,0.015016937255859376,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.13309429318850002, torch=0.18368835449218751; v2_t differs: Flow*=0.13309429318850002, torch=0.18368835449218751; noqueue_h differs: Flow*=0.014737173068750008, torch=0.015016937255859376; v2_h differs: Flow*=0.014737173068750008, torch=0.015016937255859376"
10,0.14783146625725002,0.19870529174804688,0.19870529174804688,0.016210890375625009,0.022525405883789065,0.022525405883789065,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.14783146625725002, torch=0.19870529174804688; v2_t differs: Flow*=0.14783146625725002, torch=0.19870529174804688; noqueue_h differs: Flow*=0.016210890375625009, torch=0.022525405883789065; v2_h differs: Flow*=0.016210890375625009, torch=0.022525405883789065"
11,0.16404235663287503,0.22123069763183595,0.22123069763183595,0.01783197941318751,0.016894054412841798,0.016894054412841798,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.16404235663287503, torch=0.22123069763183595; v2_t differs: Flow*=0.16404235663287503, torch=0.22123069763183595; noqueue_h differs: Flow*=0.01783197941318751, torch=0.016894054412841798; v2_h differs: Flow*=0.01783197941318751, torch=0.016894054412841798"
12,0.18187433604606254,0.23812475204467776,0.23812475204467776,0.0098075886772531311,0.025341081619262698,0.025341081619262698,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.18187433604606254, torch=0.23812475204467776; v2_t differs: Flow*=0.18187433604606254, torch=0.23812475204467776; noqueue_h differs: Flow*=0.0098075886772531311, torch=0.025341081619262698; v2_h differs: Flow*=0.0098075886772531311, torch=0.025341081619262698"
13,0.19168192472331566,0.26346583366394044,0.26346583366394044,0.010788347544978445,0.019005811214447024,0.019005811214447024,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.19168192472331566, torch=0.26346583366394044; v2_t differs: Flow*=0.19168192472331566, torch=0.26346583366394044; noqueue_h differs: Flow*=0.010788347544978445, torch=0.019005811214447024; v2_h differs: Flow*=0.010788347544978445, torch=0.019005811214447024"
14,0.20247027226829412,0.28247164487838744,0.28247164487838744,0.01186718229947629,0.014254358410835267,0.014254358410835267,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.20247027226829412, torch=0.28247164487838744; v2_t differs: Flow*=0.20247027226829412, torch=0.28247164487838744; noqueue_h differs: Flow*=0.01186718229947629, torch=0.014254358410835267; v2_h differs: Flow*=0.01186718229947629, torch=0.014254358410835267"
15,0.2143374545677704,0.29672600328922272,0.29672600328922272,0.01305390052942392,0.021381537616252902,0.021381537616252902,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.2143374545677704, torch=0.29672600328922272; v2_t differs: Flow*=0.2143374545677704, torch=0.29672600328922272; noqueue_h differs: Flow*=0.01305390052942392, torch=0.021381537616252902; v2_h differs: Flow*=0.01305390052942392, torch=0.021381537616252902"
16,0.22739135509719433,0.31810754090547561,0.31810754090547561,0.014359290582366313,0.016036153212189676,0.016036153212189676,adaptive_step_alignment_mismatch,false,accepted_ordinal_trace_diff_noncausal,"noqueue_t differs: Flow*=0.22739135509719433, torch=0.31810754090547561; v2_t differs: Flow*=0.22739135509719433, torch=0.31810754090547561; noqueue_h differs: Flow*=0.014359290582366313, torch=0.016036153212189676; v2_h differs: Flow*=0.014359290582366313, torch=0.016036153212189676"
