backend_lane,h_attempted,segment_index,t_before,total_wall_s
hybrid_dense_core,0.01,0,0.0,0.20674751399928937
hybrid_dense_core,0.01,1,0.01,0.24654801799624693
hybrid_dense_core,0.01,2,0.02,0.31010832200263394
hybrid_dense_core,0.01,3,0.03,0.33157869699789444
hybrid_dense_core,0.01,4,0.04,0.33281984500354156
hybrid_dense_core,0.01,5,0.05,0.3522549409972271
hybrid_dense_core,0.01,6,0.06,0.3955704219988547
hybrid_dense_core,0.01,7,0.07,0.34551911699963966
hybrid_dense_core,0.01,8,0.08,0.35876635699969484
hybrid_dense_core,0.01,9,0.09,0.3484333020023769
hybrid_dense_core,0.01,10,0.1,0.35792598899570294
hybrid_dense_core,0.01,11,0.11,0.35547061200486496
hybrid_dense_core,0.01,12,0.12,0.3652529399987543
hybrid_dense_core,0.01,13,0.13,0.36339167499681935
hybrid_dense_core,0.01,14,0.14,0.3652015059997211
hybrid_dense_core,0.01,15,0.15,0.3759815970042837
hybrid_dense_core,0.01,16,0.16,0.3725756519997958
hybrid_dense_core,0.01,17,0.17,0.37018141099542845
hybrid_dense_core,0.01,18,0.18,0.3795515340025304
hybrid_dense_core,0.01,19,0.19,0.37423774700437207
hybrid_dense_core,0.01,20,0.2,0.3681567589956103
hybrid_dense_core,0.01,21,0.21,0.3747981160049676
hybrid_dense_core,0.01,22,0.22,0.37424920099874726
hybrid_dense_core,0.01,23,0.23,0.3927620989998104
hybrid_dense_core,0.01,24,0.24,0.37384916599694407
hybrid_dense_core,0.01,25,0.25,0.3827034950008965
hybrid_dense_core,0.01,26,0.26,0.3739457970004878
hybrid_dense_core,0.01,27,0.27,0.3806275649985764
hybrid_dense_core,0.01,28,0.28,0.3849548119978863
hybrid_dense_core,0.01,29,0.29,0.3809047830000054
hybrid_dense_core,0.01,30,0.3,0.37364219600567594
hybrid_dense_core,0.01,31,0.31,0.37449601700063795
hybrid_dense_core,0.01,32,0.32,0.37422218300343957
hybrid_dense_core,0.01,33,0.33,0.38341680700250436
hybrid_dense_core,0.01,34,0.34,0.3898350550007308
hybrid_dense_core,0.01,35,0.35000000000000003,0.37591898199752904
hybrid_dense_core,0.01,36,0.36,0.3830444429986528
hybrid_dense_core,0.01,37,0.37,0.37159154499386204
hybrid_dense_core,0.01,38,0.38,0.3738496770019992
hybrid_dense_core,0.01,39,0.39,0.3919675159995677
hybrid_dense_core,0.01,40,0.4,0.3752060740007437
hybrid_dense_core,0.01,41,0.41000000000000003,0.3818003240012331
hybrid_dense_core,0.01,42,0.42,0.38294676799705485
hybrid_dense_core,0.01,43,0.43,0.3755495580044226
hybrid_dense_core,0.01,44,0.44,0.38437708700075746
hybrid_dense_core,0.01,45,0.45,0.3809752570014098
hybrid_dense_core,0.01,46,0.46,0.38397024699952453
hybrid_dense_core,0.01,47,0.47000000000000003,0.3747988989998703
hybrid_dense_core,0.01,48,0.48,0.37658295599976555
hybrid_dense_core,0.01,49,0.49,0.3818645940045826
hybrid_dense_core,0.01,50,0.5,0.3878113579994533
hybrid_dense_core,0.01,51,0.51,0.37526741700276034
hybrid_dense_core,0.01,52,0.52,0.37628019400290214
hybrid_dense_core,0.01,53,0.53,0.3773211759980768
