step,published_and_schedule_exact,actual_pre_reset_retained_state_exact,actual_post_reset_equals_next_copied_prestate,queue_J_size_pre_reset,queue_Phi_L_size_pre_reset
1,True,True,True,1,1
2,True,True,True,2,2
3,True,True,True,3,3
4,True,True,True,4,4
5,True,True,True,5,5
6,True,True,True,6,6
7,True,True,True,7,7
8,True,True,True,8,8
9,True,True,True,9,9
10,True,True,True,10,10
11,True,True,True,11,11
12,True,True,True,12,12
13,True,True,True,13,13
14,True,True,True,14,14
15,True,True,True,15,15
16,True,True,True,16,16
17,True,True,True,17,17
18,True,True,True,18,18
19,True,True,True,19,19
20,True,True,True,20,20
21,True,True,True,21,21
22,True,True,True,22,22
23,True,True,True,23,23
24,True,True,True,24,24
25,True,True,True,25,25
26,True,True,True,26,26
27,True,True,True,27,27
28,True,True,True,28,28
29,True,True,True,29,29
30,True,True,True,30,30
31,True,True,True,31,31
32,True,True,True,32,32
33,True,True,True,33,33
34,True,True,True,34,34
35,True,True,True,35,35
36,True,True,True,36,36
37,True,True,True,37,37
38,True,True,True,38,38
39,True,True,True,39,39
40,True,True,True,40,40
41,True,True,True,41,41
42,True,True,True,42,42
43,True,True,True,43,43
44,True,True,True,44,44
45,True,True,True,45,45
46,True,True,True,46,46
47,True,True,True,47,47
48,True,True,True,48,48
49,True,True,True,49,49
50,True,True,True,50,50
51,True,True,True,51,51
52,True,True,True,52,52
53,True,True,True,53,53
54,True,True,True,54,54
55,True,True,True,55,55
56,True,True,True,56,56
57,True,True,True,57,57
58,True,True,True,58,58
59,True,True,True,59,59
60,True,True,True,60,60
61,True,True,True,61,61
62,True,True,True,62,62
63,True,True,True,63,63
64,True,True,True,64,64
65,True,True,True,65,65
66,True,True,True,66,66
67,True,True,True,67,67
68,True,True,True,68,68
69,True,True,True,69,69
70,True,True,True,70,70
71,True,True,True,71,71
72,True,True,True,72,72
73,True,True,True,73,73
74,True,True,True,74,74
75,True,True,True,75,75
76,True,True,True,76,76
77,True,True,True,77,77
78,True,True,True,78,78
79,True,True,True,79,79
80,True,True,True,80,80
81,True,True,True,81,81
82,True,True,True,82,82
83,True,True,True,83,83
84,True,True,True,84,84
85,True,True,True,85,85
86,True,True,True,86,86
87,True,True,True,87,87
88,True,True,True,88,88
89,True,True,True,89,89
90,True,True,True,90,90
91,True,True,True,91,91
92,True,True,True,92,92
93,True,True,True,93,93
94,True,True,True,94,94
95,True,True,True,95,95
96,True,True,True,96,96
97,True,True,True,97,97
98,True,True,True,98,98
99,True,True,True,99,99
100,True,True,True,100,100
101,True,True,True,1,1
102,True,True,True,2,2
103,True,True,True,3,3
104,True,True,True,4,4
105,True,True,True,5,5
106,True,True,True,6,6
107,True,True,True,7,7
108,True,True,True,8,8
109,True,True,True,9,9
110,True,True,True,10,10
111,True,True,True,11,11
112,True,True,True,12,12
113,True,True,True,13,13
114,True,True,True,14,14
115,True,True,True,15,15
116,True,True,True,16,16
117,True,True,True,17,17
118,True,True,True,18,18
119,True,True,True,19,19
120,True,True,True,20,20
121,True,True,True,21,21
122,True,True,True,22,22
123,True,True,True,23,23
124,True,True,True,24,24
125,True,True,True,25,25
126,True,True,True,26,26
127,True,True,True,27,27
128,True,True,True,28,28
129,True,True,True,29,29
130,True,True,True,30,30
131,True,True,True,31,31
132,True,True,True,32,32
133,True,True,True,33,33
134,True,True,True,34,34
135,True,True,True,35,35
136,True,True,True,36,36
137,True,True,True,37,37
138,True,True,True,38,38
139,True,True,True,39,39
140,True,True,True,40,40
141,True,True,True,41,41
142,True,True,True,42,42
143,True,True,True,43,43
144,True,True,True,44,44
145,True,True,True,45,45
146,True,True,True,46,46
147,True,True,True,47,47
148,True,True,True,48,48
149,True,True,True,49,49
150,True,True,True,50,50
151,True,True,True,51,51
152,True,True,True,52,52
153,True,True,True,53,53
154,True,True,True,54,54
155,True,True,True,55,55
156,True,True,True,56,56
157,True,True,True,57,57
158,True,True,True,58,58
159,True,True,True,59,59
160,True,True,True,60,60
161,True,True,True,61,61
162,True,True,True,62,62
163,True,True,True,63,63
164,True,True,True,64,64
165,True,True,True,65,65
166,True,True,True,66,66
167,True,True,True,67,67
168,True,True,True,68,68
169,True,True,True,69,69
170,True,True,True,70,70
171,True,True,True,71,71
172,True,True,True,72,72
173,True,True,True,73,73
174,True,True,True,74,74
175,True,True,True,75,75
176,True,True,True,76,76
177,True,True,True,77,77
178,True,True,True,78,78
179,True,True,True,79,79
180,True,True,True,80,80
181,True,True,True,81,81
182,True,True,True,82,82
183,True,True,True,83,83
184,True,True,True,84,84
185,True,True,True,85,85
186,True,True,True,86,86
187,True,True,True,87,87
188,True,True,True,88,88
189,True,True,True,89,89
190,True,True,True,90,90
191,True,True,True,91,91
192,True,True,True,92,92
193,True,True,True,93,93
194,True,True,True,94,94
195,True,True,True,95,95
196,True,True,True,96,96
197,True,True,True,97,97
198,True,True,True,98,98
199,True,True,True,99,99
200,True,True,True,100,100
201,True,True,True,1,1
202,True,True,True,2,2
203,True,True,True,3,3
204,True,True,True,4,4
205,True,True,True,5,5
206,True,True,True,6,6
207,True,True,True,7,7
208,True,True,True,8,8
209,True,True,True,9,9
210,True,True,True,10,10
211,True,True,True,11,11
212,True,True,True,12,12
213,True,True,True,13,13
214,True,True,True,14,14
215,True,True,True,15,15
216,True,True,True,16,16
217,True,True,True,17,17
218,True,True,True,18,18
219,True,True,True,19,19
220,True,True,True,20,20
221,True,True,True,21,21
222,True,True,True,22,22
223,True,True,True,23,23
224,True,True,True,24,24
225,True,True,True,25,25
226,True,True,True,26,26
227,True,True,True,27,27
228,True,True,True,28,28
229,True,True,True,29,29
230,True,True,True,30,30
231,True,True,True,31,31
232,True,True,True,32,32
233,True,True,True,33,33
234,True,True,True,34,34
235,True,True,True,35,35
236,True,True,True,36,36
237,True,True,True,37,37
238,True,True,True,38,38
239,True,True,True,39,39
240,True,True,True,40,40
241,True,True,True,41,41
242,True,True,True,42,42
243,True,True,True,43,43
244,True,True,True,44,44
245,True,True,True,45,45
246,True,True,True,46,46
247,True,True,True,47,47
248,True,True,True,48,48
249,True,True,True,49,49
250,True,True,True,50,50
251,True,True,True,51,51
252,True,True,True,52,52
253,True,True,True,53,53
254,True,True,True,54,54
255,True,True,True,55,55
256,True,True,True,56,56
257,True,True,True,57,57
258,True,True,True,58,58
259,True,True,True,59,59
260,True,True,True,60,60
261,True,True,True,61,61
262,True,True,True,62,62
263,True,True,True,63,63
264,True,True,True,64,64
265,True,True,True,65,65
266,True,True,True,66,66
267,True,True,True,67,67
268,True,True,True,68,68
269,True,True,True,69,69
270,True,True,True,70,70
271,True,True,True,71,71
272,True,True,True,72,72
273,True,True,True,73,73
274,True,True,True,74,74
275,True,True,True,75,75
276,True,True,True,76,76
277,True,True,True,77,77
278,True,True,True,78,78
279,True,True,True,79,79
280,True,True,True,80,80
281,True,True,True,81,81
282,True,True,True,82,82
283,True,True,True,83,83
284,True,True,True,84,84
285,True,True,True,85,85
286,True,True,True,86,86
287,True,True,True,87,87
288,True,True,True,88,88
289,True,True,True,89,89
290,True,True,True,90,90
291,True,True,True,91,91
292,True,True,True,92,92
293,True,True,True,93,93
294,True,True,True,94,94
295,True,True,True,95,95
296,True,True,True,96,96
297,True,True,True,97,97
298,True,True,True,98,98
299,True,True,True,99,99
300,True,True,True,100,100
301,True,True,True,1,1
302,True,True,True,2,2
303,True,True,True,3,3
304,True,True,True,4,4
305,True,True,True,5,5
306,True,True,True,6,6
307,True,True,True,7,7
308,True,True,True,8,8
309,True,True,True,9,9
310,True,True,True,10,10
311,True,True,True,11,11
312,True,True,True,12,12
313,True,True,True,13,13
314,True,True,True,14,14
315,True,True,True,15,15
316,True,True,True,16,16
317,True,True,True,17,17
318,True,True,True,18,18
319,True,True,True,19,19
320,True,True,True,20,20
321,True,True,True,21,21
322,True,True,True,22,22
323,True,True,True,23,23
324,True,True,True,24,24
325,True,True,True,25,25
326,True,True,True,26,26
327,True,True,True,27,27
328,True,True,True,28,28
329,True,True,True,29,29
330,True,True,True,30,30
331,True,True,True,31,31
332,True,True,True,32,32
333,True,True,True,33,33
334,True,True,True,34,34
335,True,True,True,35,35
336,True,True,True,36,36
337,True,True,True,37,37
338,True,True,True,38,38
339,True,True,True,39,39
340,True,True,True,40,40
341,True,True,True,41,41
342,True,True,True,42,42
343,True,True,True,43,43
344,True,True,True,44,44
345,True,True,True,45,45
346,True,True,True,46,46
347,True,True,True,47,47
348,True,True,True,48,48
349,True,True,True,49,49
350,True,True,True,50,50
351,True,True,True,51,51
352,True,True,True,52,52
353,True,True,True,53,53
354,True,True,True,54,54
355,True,True,True,55,55
356,True,True,True,56,56
357,True,True,True,57,57
358,True,True,True,58,58
359,True,True,True,59,59
360,True,True,True,60,60
361,True,True,True,61,61
362,True,True,True,62,62
363,True,True,True,63,63
364,True,True,True,64,64
365,True,True,True,65,65
366,True,True,True,66,66
367,True,True,True,67,67
368,True,True,True,68,68
369,True,True,True,69,69
370,True,True,True,70,70
371,True,True,True,71,71
372,True,True,True,72,72
373,True,True,True,73,73
374,True,True,True,74,74
375,True,True,True,75,75
376,True,True,True,76,76
377,True,True,True,77,77
378,True,True,True,78,78
379,True,True,True,79,79
380,True,True,True,80,80
381,True,True,True,81,81
382,True,True,True,82,82
383,True,True,True,83,83
384,True,True,True,84,84
385,True,True,True,85,85
386,True,True,True,86,86
387,True,True,True,87,87
388,True,True,True,88,88
389,True,True,True,89,89
390,True,True,True,90,90
391,True,True,True,91,91
392,True,True,True,92,92
393,True,True,True,93,93
394,True,True,True,94,94
395,True,True,True,95,95
396,True,True,True,96,96
397,True,True,True,97,97
398,True,True,True,98,98
399,True,True,True,99,99
400,True,True,True,100,100
401,True,True,True,1,1
402,True,True,True,2,2
403,True,True,True,3,3
404,True,True,True,4,4
405,True,True,True,5,5
406,True,True,True,6,6
407,True,True,True,7,7
408,True,True,True,8,8
409,True,True,True,9,9
410,True,True,True,10,10
411,True,True,True,11,11
412,True,True,True,12,12
413,True,True,True,13,13
414,True,True,True,14,14
415,True,True,True,15,15
416,True,True,True,16,16
417,True,True,True,17,17
418,True,True,True,18,18
419,True,True,True,19,19
420,True,True,True,20,20
421,True,True,True,21,21
422,True,True,True,22,22
423,True,True,True,23,23
424,True,True,True,24,24
425,True,True,True,25,25
426,True,True,True,26,26
427,True,True,True,27,27
428,True,True,True,28,28
429,True,True,True,29,29
430,True,True,True,30,30
431,True,True,True,31,31
432,True,True,True,32,32
433,True,True,True,33,33
434,True,True,True,34,34
435,True,True,True,35,35
436,True,True,True,36,36
437,True,True,True,37,37
438,True,True,True,38,38
439,True,True,True,39,39
440,True,True,True,40,40
441,True,True,True,41,41
442,True,True,True,42,42
443,True,True,True,43,43
444,True,True,True,44,44
445,True,True,True,45,45
446,True,True,True,46,46
447,True,True,True,47,47
448,True,True,True,48,48
449,True,True,True,49,49
450,True,True,True,50,50
451,True,True,True,51,51
452,True,True,True,52,52
453,True,True,True,53,53
454,True,True,True,54,54
455,True,True,True,55,55
456,True,True,True,56,56
457,True,True,True,57,57
458,True,True,True,58,58
459,True,True,True,59,59
460,True,True,True,60,60
461,True,True,True,61,61
462,True,True,True,62,62
463,True,True,True,63,63
464,True,True,True,64,64
465,True,True,True,65,65
466,True,True,True,66,66
467,True,True,True,67,67
468,True,True,True,68,68
469,True,True,True,69,69
470,True,True,True,70,70
471,True,True,True,71,71
472,True,True,True,72,72
473,True,True,True,73,73
474,True,True,True,74,74
475,True,True,True,75,75
476,True,True,True,76,76
477,True,True,True,77,77
478,True,True,True,78,78
479,True,True,True,79,79
480,True,True,True,80,80
481,True,True,True,81,81
482,True,True,True,82,82
483,True,True,True,83,83
484,True,True,True,84,84
485,True,True,True,85,85
486,True,True,True,86,86
487,True,True,True,87,87
488,True,True,True,88,88
489,True,True,True,89,89
490,True,True,True,90,90
491,True,True,True,91,91
492,True,True,True,92,92
493,True,True,True,93,93
494,True,True,True,94,94
495,True,True,True,95,95
496,True,True,True,96,96
497,True,True,True,97,97
498,True,True,True,98,98
499,True,True,True,99,99
500,True,True,True,100,100
501,True,True,True,1,1
502,True,True,True,2,2
503,True,True,True,3,3
504,True,True,True,4,4
505,True,True,True,5,5
506,True,True,True,6,6
507,True,True,True,7,7
508,True,True,True,8,8
509,True,True,True,9,9
510,True,True,True,10,10
511,True,True,True,11,11
512,True,True,True,12,12
513,True,True,True,13,13
514,True,True,True,14,14
515,True,True,True,15,15
516,True,True,True,16,16
517,True,True,True,17,17
518,True,True,True,18,18
519,True,True,True,19,19
520,True,True,True,20,20
521,True,True,True,21,21
522,True,True,True,22,22
523,True,True,True,23,23
524,True,True,True,24,24
525,True,True,True,25,25
526,True,True,True,26,26
527,True,True,True,27,27
528,True,True,True,28,28
529,True,True,True,29,29
530,True,True,True,30,30
531,True,True,True,31,31
532,True,True,True,32,32
533,True,True,True,33,33
534,True,True,True,34,34
535,True,True,True,35,35
536,True,True,True,36,36
537,True,True,True,37,37
538,True,True,True,38,38
539,True,True,True,39,39
540,True,True,True,40,40
541,True,True,True,41,41
542,True,True,True,42,42
543,True,True,True,43,43
544,True,True,True,44,44
545,True,True,True,45,45
546,True,True,True,46,46
547,True,True,True,47,47
548,True,True,True,48,48
549,True,True,True,49,49
550,True,True,True,50,50
551,True,True,True,51,51
552,True,True,True,52,52
553,True,True,True,53,53
554,True,True,True,54,54
555,True,True,True,55,55
556,True,True,True,56,56
557,True,True,True,57,57
558,True,True,True,58,58
559,True,True,True,59,59
560,True,True,True,60,60
561,True,True,True,61,61
562,True,True,True,62,62
563,True,True,True,63,63
564,True,True,True,64,64
565,True,True,True,65,65
566,True,True,True,66,66
567,True,True,True,67,67
568,True,True,True,68,68
569,True,True,True,69,69
570,True,True,True,70,70
571,True,True,True,71,71
572,True,True,True,72,72
573,True,True,True,73,73
574,True,True,True,74,74
575,True,True,True,75,75
576,True,True,True,76,76
577,True,True,True,77,77
578,True,True,True,78,78
579,True,True,True,79,79
580,True,True,True,80,80
581,True,True,True,81,81
582,True,True,True,82,82
583,True,True,True,83,83
584,True,True,True,84,84
585,True,True,True,85,85
586,True,True,True,86,86
587,True,True,True,87,87
588,True,True,True,88,88
589,True,True,True,89,89
590,True,True,True,90,90
591,True,True,True,91,91
592,True,True,True,92,92
593,True,True,True,93,93
594,True,True,True,94,94
595,True,True,True,95,95
596,True,True,True,96,96
597,True,True,True,97,97
598,True,True,True,98,98
599,True,True,True,99,99
600,True,True,True,100,100
601,True,True,True,1,1
602,True,True,True,2,2
603,True,True,True,3,3
604,True,True,True,4,4
605,True,True,True,5,5
606,True,True,True,6,6
607,True,True,True,7,7
608,True,True,True,8,8
609,True,True,True,9,9
610,True,True,True,10,10
611,True,True,True,11,11
612,True,True,True,12,12
613,True,True,True,13,13
614,True,True,True,14,14
615,True,True,True,15,15
616,True,True,True,16,16
617,True,True,True,17,17
618,True,True,True,18,18
619,True,True,True,19,19
620,True,True,True,20,20
621,True,True,True,21,21
622,True,True,True,22,22
623,True,True,True,23,23
624,True,True,True,24,24
625,True,True,True,25,25
626,True,True,True,26,26
627,True,True,True,27,27
628,True,True,True,28,28
629,True,True,True,29,29
630,True,True,True,30,30
631,True,True,True,31,31
632,True,True,True,32,32
633,True,True,True,33,33
634,True,True,True,34,34
635,True,True,True,35,35
636,True,True,True,36,36
637,True,True,True,37,37
638,True,True,True,38,38
639,True,True,True,39,39
640,True,True,True,40,40
641,True,True,True,41,41
642,True,True,True,42,42
643,True,True,True,43,43
644,True,True,True,44,44
645,True,True,True,45,45
646,True,True,True,46,46
647,True,True,True,47,47
648,True,True,True,48,48
649,True,True,True,49,49
650,True,True,True,50,50
651,True,True,True,51,51
652,True,True,True,52,52
653,True,True,True,53,53
654,True,True,True,54,54
655,True,True,True,55,55
656,True,True,True,56,56
657,True,True,True,57,57
658,True,True,True,58,58
659,True,True,True,59,59
660,True,True,True,60,60
661,True,True,True,61,61
662,True,True,True,62,62
663,True,True,True,63,63
664,True,True,True,64,64
665,True,True,True,65,65
666,True,True,True,66,66
667,True,True,True,67,67
668,True,True,True,68,68
669,True,True,True,69,69
670,True,True,True,70,70
671,True,True,True,71,71
672,True,True,True,72,72
673,True,True,True,73,73
674,True,True,True,74,74
675,True,True,True,75,75
676,True,True,True,76,76
677,True,True,True,77,77
678,True,True,True,78,78
679,True,True,True,79,79
680,True,True,True,80,80
681,True,True,True,81,81
682,True,True,True,82,82
683,True,True,True,83,83
684,True,True,True,84,84
685,True,True,True,85,85
686,True,True,True,86,86
687,True,True,True,87,87
688,True,True,True,88,88
689,True,True,True,89,89
690,True,True,True,90,90
691,True,True,True,91,91
692,True,True,True,92,92
693,True,True,True,93,93
694,True,True,True,94,94
695,True,True,True,95,95
696,True,True,True,96,96
697,True,True,True,97,97
698,True,True,True,98,98
699,True,True,True,99,99
700,True,True,True,100,100
701,True,True,True,1,1
702,True,True,True,2,2
703,True,True,True,3,3
704,True,True,True,4,4
705,True,True,True,5,5
706,True,True,True,6,6
707,True,True,True,7,7
708,True,True,True,8,8
709,True,True,True,9,9
710,True,True,True,10,10
711,True,True,True,11,11
712,True,True,True,12,12
713,True,True,True,13,13
714,True,True,True,14,14
715,True,True,True,15,15
716,True,True,True,16,16
717,True,True,True,17,17
718,True,True,True,18,18
719,True,True,True,19,19
720,True,True,True,20,20
721,True,True,True,21,21
722,True,True,True,22,22
723,True,True,True,23,23
724,True,True,True,24,24
725,True,True,True,25,25
726,True,True,True,26,26
727,True,True,True,27,27
728,True,True,True,28,28
729,True,True,True,29,29
730,True,True,True,30,30
731,True,True,True,31,31
732,True,True,True,32,32
733,True,True,True,33,33
734,True,True,True,34,34
735,True,True,True,35,35
736,True,True,True,36,36
737,True,True,True,37,37
738,True,True,True,38,38
739,True,True,True,39,39
740,True,True,True,40,40
741,True,True,True,41,41
742,True,True,True,42,42
743,True,True,True,43,43
744,True,True,True,44,44
745,True,True,True,45,45
746,True,True,True,46,46
747,True,True,True,47,47
748,True,True,True,48,48
749,True,True,True,49,49
750,True,True,True,50,50
751,True,True,True,51,51
752,True,True,True,52,52
753,True,True,True,53,53
754,True,True,True,54,54
755,True,True,True,55,55
756,True,True,True,56,56
757,True,True,True,57,57
758,True,True,True,58,58
759,True,True,True,59,59
760,True,True,True,60,60
761,True,True,True,61,61
762,True,True,True,62,62
763,True,True,True,63,63
764,True,True,True,64,64
