backend_lane,h_attempted,segment_index,t_before,total_wall_s
hybrid_dense_core,0.01,0,0.0,0.2899548679997679
hybrid_dense_core,0.01,1,0.01,0.42904362399713136
hybrid_dense_core,0.01,2,0.02,0.554357708999305
hybrid_dense_core,0.01,3,0.03,0.6095836869935738
hybrid_dense_core,0.01,4,0.04,0.6089868709968869
hybrid_dense_core,0.01,5,0.05,0.6358719140043831
hybrid_dense_core,0.01,6,0.06,0.7379571120036417
hybrid_dense_core,0.01,7,0.07,0.6355228680040454
hybrid_dense_core,0.01,8,0.08,0.6438277540000854
hybrid_dense_core,0.01,9,0.09,0.6574104789979174
hybrid_dense_core,0.01,10,0.1,0.6719845439947676
hybrid_dense_core,0.01,11,0.11,0.6625199979971512
hybrid_dense_core,0.01,12,0.12,0.6844305389968213
hybrid_dense_core,0.01,13,0.13,0.6563513869987219
hybrid_dense_core,0.01,14,0.14,0.6771999430056894
hybrid_dense_core,0.01,15,0.15,0.6937452409983962
hybrid_dense_core,0.01,16,0.16,0.6925857159949373
hybrid_dense_core,0.01,17,0.17,0.6840056180008105
hybrid_dense_core,0.01,18,0.18,0.6858796950036776
hybrid_dense_core,0.01,19,0.19,0.683958244000678
hybrid_dense_core,0.01,20,0.2,0.7141536400013138
hybrid_dense_core,0.01,21,0.21,0.7025397010002052
hybrid_dense_core,0.01,22,0.22,0.7529659459978575
hybrid_dense_core,0.01,23,0.23,0.7231927320026443
hybrid_dense_core,0.01,24,0.24,0.718155652997666
hybrid_dense_core,0.01,25,0.25,0.7034008559930953
hybrid_dense_core,0.01,26,0.26,0.7275419540019357
hybrid_dense_core,0.01,27,0.27,0.6988620789998095
hybrid_dense_core,0.01,28,0.28,0.7112621869964642
hybrid_dense_core,0.01,29,0.29,0.7015618790028384
hybrid_dense_core,0.01,30,0.3,0.7017286920017796
hybrid_dense_core,0.01,31,0.31,0.7035503799997969
hybrid_dense_core,0.01,32,0.32,0.6951974670009804
hybrid_dense_core,0.01,33,0.33,0.693730905004486
hybrid_dense_core,0.01,34,0.34,0.7075006550003309
hybrid_dense_core,0.01,35,0.35000000000000003,0.6933167120005237
hybrid_dense_core,0.01,36,0.36,0.6900952680007322
hybrid_dense_core,0.01,37,0.37,0.7320523759990465
hybrid_dense_core,0.01,38,0.38,0.701169337000465
hybrid_dense_core,0.01,39,0.39,0.7328222560026916
hybrid_dense_core,0.01,40,0.4,0.7024484689973178
hybrid_dense_core,0.01,41,0.41000000000000003,0.7079571359936381
hybrid_dense_core,0.01,42,0.42,0.7384056290029548
hybrid_dense_core,0.01,43,0.43,0.7065188060005312
hybrid_dense_core,0.01,44,0.44,0.7223743640061002
hybrid_dense_core,0.01,45,0.45,0.7332942820066819
hybrid_dense_core,0.01,46,0.46,0.7202369070000714
hybrid_dense_core,0.01,47,0.47000000000000003,0.7366718080011196
hybrid_dense_core,0.01,48,0.48,0.7077306959981797
hybrid_dense_core,0.01,49,0.49,0.7239689489942975
hybrid_dense_core,0.01,50,0.5,0.7107247559979442
hybrid_dense_core,0.01,51,0.51,0.7042091069961316
hybrid_dense_core,0.01,52,0.52,0.7024007940053707
hybrid_dense_core,0.01,53,0.53,0.7183633949971409
hybrid_dense_core,0.01,54,0.54,0.7132186149974586
hybrid_dense_core,0.01,55,0.55,0.7256539850059198
hybrid_dense_core,0.01,56,0.56,0.7361690030011232
hybrid_dense_core,0.01,57,0.5700000000000001,0.7182778990027145
hybrid_dense_core,0.01,58,0.58,0.7234926529999939
hybrid_dense_core,0.01,59,0.59,0.7330292289989302
hybrid_dense_core,0.01,60,0.6,0.7407136420006282
hybrid_dense_core,0.01,61,0.61,0.7254751050058985
hybrid_dense_core,0.01,62,0.62,0.7337002240019501
hybrid_dense_core,0.01,63,0.63,0.733076152006106
hybrid_dense_core,0.01,64,0.64,0.7211245209982735
hybrid_dense_core,0.01,65,0.65,0.721394184998644
hybrid_dense_core,0.01,66,0.66,0.7306488619942684
hybrid_dense_core,0.01,67,0.67,0.7370123689979664
hybrid_dense_core,0.01,68,0.68,0.7161665980020189
hybrid_dense_core,0.01,69,0.6900000000000001,0.7261543229978997
hybrid_dense_core,0.01,70,0.7000000000000001,0.7161179429967888
hybrid_dense_core,0.01,71,0.71,0.794335038997815
hybrid_dense_core,0.01,72,0.72,0.7440227900005993
hybrid_dense_core,0.01,73,0.73,0.7405106579972198
hybrid_dense_core,0.01,74,0.74,0.7261753140046494
hybrid_dense_core,0.01,75,0.75,0.7182548720011255
hybrid_dense_core,0.01,76,0.76,0.7345151269983035
hybrid_dense_core,0.01,77,0.77,0.7456441469985293
hybrid_dense_core,0.01,78,0.78,0.7464459799957694
hybrid_dense_core,0.01,79,0.79,0.7402810829953523
hybrid_dense_core,0.01,80,0.8,0.7208651749970159
hybrid_dense_core,0.01,81,0.81,0.7425160299972049
hybrid_dense_core,0.01,82,0.8200000000000001,0.725028355998802
hybrid_dense_core,0.01,83,0.8300000000000001,0.7170445860028849
hybrid_dense_core,0.01,84,0.84,0.7179908600010094
hybrid_dense_core,0.01,85,0.85,0.7440669239949784
hybrid_dense_core,0.01,86,0.86,0.7134743320057169
hybrid_dense_core,0.01,87,0.87,0.7281260149975424
hybrid_dense_core,0.01,88,0.88,0.7292679940001108
hybrid_dense_core,0.01,89,0.89,0.7120462890015915
hybrid_dense_core,0.01,90,0.9,0.7264682090026326
hybrid_dense_core,0.01,91,0.91,0.7447464279975975
hybrid_dense_core,0.01,92,0.92,0.7464316789992154
hybrid_dense_core,0.01,93,0.93,0.7425095149956178
hybrid_dense_core,0.01,94,0.9400000000000001,0.7127174069973989
hybrid_dense_core,0.01,95,0.9500000000000001,0.7436610180011485
hybrid_dense_core,0.01,96,0.96,0.7172811720010941
hybrid_dense_core,0.01,97,0.97,0.7197898630038253
hybrid_dense_core,0.01,98,0.98,0.7267780159963877
hybrid_dense_core,0.01,99,0.99,0.7135719090001658
hybrid_dense_core,0.01,100,1.0,0.7119318360055331
hybrid_dense_core,0.01,101,1.01,0.7342030940053519
hybrid_dense_core,0.01,102,1.02,0.7086759570011054
hybrid_dense_core,0.01,103,1.03,0.7300712900032522
hybrid_dense_core,0.01,104,1.04,0.7264073340047617
hybrid_dense_core,0.01,105,1.05,0.7153547269990668
hybrid_dense_core,0.01,106,1.06,0.741383118001977
hybrid_dense_core,0.01,107,1.07,0.7173723000014434
hybrid_dense_core,0.01,108,1.08,0.7336272539978381
hybrid_dense_core,0.01,109,1.09,0.7460156570014078
hybrid_dense_core,0.01,110,1.1,0.7346351980013424
hybrid_dense_core,0.01,111,1.11,0.7311934440003824
hybrid_dense_core,0.01,112,1.12,0.7344217280042358
hybrid_dense_core,0.01,113,1.1300000000000001,0.7206321080011548
hybrid_dense_core,0.01,114,1.1400000000000001,0.7269816679981886
hybrid_dense_core,0.01,115,1.1500000000000001,0.7309638329970767
hybrid_dense_core,0.01,116,1.16,0.7139900740003213
hybrid_dense_core,0.01,117,1.17,0.7265322020029998
hybrid_dense_core,0.01,118,1.18,0.7159636900032638
hybrid_dense_core,0.01,119,1.19,0.7480002240044996
hybrid_dense_core,0.01,120,1.2,0.7339068599976599
hybrid_dense_core,0.01,121,1.21,0.7160904080010368
hybrid_dense_core,0.01,122,1.22,0.7365660930008744
hybrid_dense_core,0.01,123,1.23,0.7416616190021159
hybrid_dense_core,0.01,124,1.24,0.7380951330051175
hybrid_dense_core,0.01,125,1.25,0.7482680380053353
hybrid_dense_core,0.01,126,1.26,0.7202700599955278
hybrid_dense_core,0.01,127,1.27,0.7307285869974294
hybrid_dense_core,0.01,128,1.28,0.7440633599981084
hybrid_dense_core,0.01,129,1.29,0.7255445440023323
hybrid_dense_core,0.01,130,1.3,0.7239037990002544
hybrid_dense_core,0.01,131,1.31,0.7402026759955334
hybrid_dense_core,0.01,132,1.32,0.7157715699941036
hybrid_dense_core,0.01,133,1.33,0.7244313770061126
hybrid_dense_core,0.01,134,1.34,0.7210048369961441
hybrid_dense_core,0.01,135,1.35,0.723500359999889
hybrid_dense_core,0.01,136,1.36,0.7181127629955881
hybrid_dense_core,0.01,137,1.37,0.7145229519956047
hybrid_dense_core,0.01,138,1.3800000000000001,0.7305253529993934
hybrid_dense_core,0.01,139,1.3900000000000001,0.7288952180024353
hybrid_dense_core,0.01,140,1.4000000000000001,0.7275417159980861
hybrid_dense_core,0.01,141,1.41,0.7334294930042233
hybrid_dense_core,0.01,142,1.42,0.7256302540044999
hybrid_dense_core,0.01,143,1.43,0.7439217889987049
hybrid_dense_core,0.01,144,1.44,0.7393279269963386
hybrid_dense_core,0.01,145,1.45,0.7187872609938495
hybrid_dense_core,0.01,146,1.46,0.7275731040062965
hybrid_dense_core,0.01,147,1.47,0.7252405200051726
hybrid_dense_core,0.01,148,1.48,0.7506582080022781
hybrid_dense_core,0.01,149,1.49,0.7284733950000373
hybrid_dense_core,0.01,150,1.5,0.7178330990063841
hybrid_dense_core,0.01,151,1.51,0.841514631996688
hybrid_dense_core,0.01,152,1.52,0.7363274930030457
hybrid_dense_core,0.01,153,1.53,0.7275448729997152
hybrid_dense_core,0.01,154,1.54,0.746420303999912
hybrid_dense_core,0.01,155,1.55,0.756766473998141
hybrid_dense_core,0.01,156,1.56,0.7603446410066681
hybrid_dense_core,0.01,157,1.57,0.7180629229987971
hybrid_dense_core,0.01,158,1.58,0.7404397729987977
hybrid_dense_core,0.01,159,1.59,0.7356407499974011
hybrid_dense_core,0.01,160,1.6,0.7455758529977174
hybrid_dense_core,0.01,161,1.61,0.7214503809955204
hybrid_dense_core,0.01,162,1.62,0.7331844519940205
