step,time,channel,T-D0,T-H0,T-DQ,T-HQ,horner_main_effect,queue_main_effect,interaction
1,0.01,endpoint_x_width,0.30089849698777327,0.30089849698777327,0.30089849698777327,0.30089849698777327,0.0,0.0,0.0
1,0.01,endpoint_y_width,0.1213342911693931,0.1213342911693931,0.1213342911693931,0.1213342911693931,0.0,0.0,0.0
1,0.01,segment_x_width,0.32524722193229505,0.32524722193229505,0.32524722193229505,0.32524722193229505,0.0,0.0,0.0
1,0.01,segment_y_width,0.1494274734969525,0.1494274734969525,0.1494274734969525,0.1494274734969525,0.0,0.0,0.0
2,0.02,endpoint_x_width,0.3020166427157278,0.3020166427157278,0.3020166427157278,0.3020166427157278,0.0,0.0,0.0
2,0.02,endpoint_y_width,0.1432519877636227,0.1432519877636227,0.1432519877636227,0.1432519877636227,0.0,0.0,0.0
2,0.02,segment_x_width,0.3261092620483743,0.3261092620483743,0.3261118342062552,0.3261118342062552,0.0,2.5721578809090317e-06,0.0
2,0.02,segment_y_width,0.17327419913897124,0.17327419913897124,0.17330331115412445,0.17330331115412445,0.0,2.9112015153209825e-05,0.0
10,0.1,endpoint_x_width,0.3034700000284669,0.3034699905191407,0.3034700000284669,0.3034699905191407,-9.509326215351166e-09,0.0,0.0
10,0.1,endpoint_y_width,0.30193021831725253,0.30192984431837955,0.30193021831725253,0.30192984431837955,-3.7399887298228407e-07,0.0,0.0
10,0.1,segment_x_width,0.3249974866214651,0.32499747706463933,0.3251865115009782,0.32518645879692887,-3.11304375610888e-08,0.0001890033059013252,-4.314722357179335e-08
10,0.1,segment_y_width,0.3475033050938747,0.3475029222578312,0.3477787565037229,0.3477782292018172,-4.5506897461411455e-07,0.0002753791769171121,-1.4446586216187995e-07
50,0.5,endpoint_x_width,0.18538385019478265,0.1853799620071881,0.18538385019478265,0.1853799620071881,-3.8881875945584454e-06,0.0,0.0
50,0.5,endpoint_y_width,0.3963695105821591,0.3963515083689191,0.3963695105821591,0.3963515083689191,-1.8002213239998177e-05,0.0,0.0
50,0.5,segment_x_width,0.19015720858695984,0.19015331422897686,0.1916089406080943,0.19159480201649237,-9.01647479245593e-06,0.0014466099043249914,-1.0244233618950105e-05
50,0.5,segment_y_width,0.45184381229891957,0.45182476630158774,0.4559886589176927,0.4559415942665933,-3.3055324215602866e-05,0.004130837291889344,-2.8018653767558632e-05
100,1.0,endpoint_x_width,0.08795592352408854,0.08794394085749313,0.08795592352408854,0.08794394085749313,-1.1982666595411473e-05,0.0,0.0
100,1.0,endpoint_y_width,0.11429217453027352,0.11427702048455424,0.11429217453027352,0.11427702048455424,-1.5154045719278919e-05,0.0,0.0
100,1.0,segment_x_width,0.09222151766116604,0.09220953091155537,0.09393695108062472,0.09390901013981234,-1.9963845211523612e-05,0.0017074563238578255,-1.5954191201705825e-05
100,1.0,segment_y_width,0.12856523859517788,0.12854926466339128,0.13203297253141477,0.13198725057544552,-3.084794387792078e-05,0.003452859924145568,-2.974802418265199e-05
200,2.0,endpoint_x_width,0.07976224115543862,0.07970155985101379,0.07976224115543862,0.07970155985101379,-6.0681304424825555e-05,0.0,0.0
200,2.0,endpoint_y_width,0.0629540098696969,0.0628298419123341,0.0629540098696969,0.0628298419123341,-0.0001241679573628085,0.0,0.0
200,2.0,segment_x_width,0.08969934444676753,0.08963865748125599,0.09436898254555803,0.09417144922603193,-0.00012911014251881792,0.0046012149217832254,-0.0001368463540145637
200,2.0,segment_y_width,0.07113170549406578,0.07100639871944447,0.07382419882037816,0.07362399656698915,-0.00016275451400515895,0.0026550455869285283,-7.489547876771141e-05
300,3.0,endpoint_x_width,0.18725958974064205,0.18656862022802362,0.18725958974064205,0.18656862022802362,-0.0006909695126184334,0.0,0.0
300,3.0,endpoint_y_width,0.15586425555328454,0.1541143564637606,0.15586425555328454,0.1541143564637606,-0.001749899089523943,0.0,0.0
300,3.0,segment_x_width,0.21273503964284135,0.21204385105422768,0.23633192617988374,0.2342505017187425,-0.0013863065248774509,0.02290176860077861,-0.0013902358725275676
300,3.0,segment_y_width,0.17276779494517935,0.17101707198805904,0.1861735519945964,0.18363708078146113,-0.002143597085127791,0.013012882921409563,-0.000785748256014962
632,6.32,endpoint_x_width,0.9165121028676759,0.791925593224601,0.9165121028676759,0.791925593224601,-0.12458650964307494,0.0,0.0
632,6.32,endpoint_y_width,1.5898587282667287,1.2745154469370557,1.5898587282667287,1.2745154469370557,-0.31534328132967304,0.0,0.0
632,6.32,segment_x_width,0.9420414425127686,0.8174173573354442,1.0427499207471171,0.9170377393052921,-0.12516813330957471,0.10016443010209825,-0.001088096264500682
632,6.32,segment_y_width,1.6080698024787519,1.2925904925204836,1.6736240461704208,1.357437848117349,-0.31583275400567,0.06520079964426717,-0.0007068880948035705
