lane,source_sha,scenario,execution_status,completed_requested_horizon,requested_horizon,completed_horizon,accepted_steps,rejected_attempts,refinement_iterations,status_code,endpoint_x,endpoint_y,endpoint_x_width,endpoint_y_width,segment_tube_x,segment_tube_y,segment_tube_x_width,segment_tube_y_width,runtime_s,peak_gpu_memory_bytes,not_run_reason,retained_candidate_polynomial_sha256,retained_candidate_coefficients,retained_candidate_coefficients_status,first_self_map,refinement_ledger_path,ordinary_remainder_final,ordinary_remainder_decomposition_status,symbolic_queue_capacity,symbolic_queue_state,symbolic_queue_state_status,cutoff_threshold,cutoff_contribution,cutoff_contribution_status,roundoff_contribution_ledger,final_accepted_remainder
huan_parity,743f6205e6408072193ad76e940e7f15030e8d3c,fixed_T1,EXECUTED,True,1.0,1.0,100,0,438,2,"[1.8620487059228026, 1.9485126304840714]","[-0.4837625513799138, -0.3709284278381438]",0.08646392456126885,0.11283412354177004,"[1.8620331639928558, 1.9527622948562893]","[-0.48690826090110445, -0.359878999646808]",0.0907291308634335,0.1270292612542965,2.9852882688865066,33805824,,975dd4e1efefb1580556b8c144ecf937253d6efd9455fcd3ae2f051854c57f22,,HASH_CAPTURED__COEFFICIENTS_NOT_SERIALIZED_BEFORE_PORTABILITY_STOP,"{""attempted_step"": 0.01, ""bad_nonfinite_mask"": false, ""cache_id"": ""range-cache:777b77a16a00:(1, 6, 2)"", ""event"": ""initial_self_map"", ""initial_self_map_ok"": true, ""input_generation"": 0, ""input_remainder_vector"": [[-0.0001, 0.0001], [-0.0001, 0.0001]], ""lane"": 0, ""proposal_generation"": 0, ""proposal_interval"": [[-1.1936564575195332e-06, 1.4339079621826188e-06], [-1.8274487411491737e-05, 2.0003441565742736e-05]], ""subset_by_component"": [true, true], ""subset_margin_by_component"": {""lower"": [9.880634354248048e-05, 8.172551258850827e-05], ""upper"": [9.856609203781738e-05, 7.999655843425726e-05]}, ""tails_id"": ""strict-tails:777b77a16c00:(1, 5, 2)""}",vdp/refinement_ledgers.jsonl.gz,"[[-6.306078196816914e-08, 8.047629233987816e-08], [-6.305052020606481e-06, 8.046590558693206e-06]]",AGGREGATE_FINAL_REMAINDER_ONLY__CATEGORY_TOTALS_NOT_EXPOSED,100,,ENABLED__INTERNAL_QUEUE_SNAPSHOT_NOT_EXPOSED,1e-10,,NOT_SEPARATELY_EXPOSED,"{""composition_and_preconditioning"": ""charged in ordinary remainder; category totals are not separately exposed"", ""parity_policy"": ""Flow* point-coefficient trust model"", ""strict_endpoint_roundoff"": [[0.0, 0.0], [0.0, 0.0]]}","[[-6.306078196816914e-08, 8.047629233987816e-08], [-6.305052020606481e-06, 8.046590558693206e-06]]"
huan_strict,743f6205e6408072193ad76e940e7f15030e8d3c,fixed_T1,EXECUTED,True,1.0,1.0,100,0,345,2,"[1.861950694840532, 1.9486106333590072]","[-0.4838281945276921, -0.3708627284319826]",0.08665993851847521,0.11296546609570952,"[1.86193513538804, 1.9528603152537705]","[-0.48697742899814994, -0.35980977529137953]",0.09092517986573047,0.12716765370677044,3.402175256051123,33820160,,e283048acab48c75929cc796c101da63a314e39bb2690673746f16dad870346c,,HASH_CAPTURED__COEFFICIENTS_NOT_SERIALIZED_BEFORE_PORTABILITY_STOP,"{""attempted_step"": 0.01, ""bad_nonfinite_mask"": false, ""cache_id"": ""range-cache:777b77a25c00:(1, 6, 2)"", ""event"": ""initial_self_map"", ""initial_self_map_ok"": true, ""input_generation"": 0, ""input_remainder_vector"": [[-0.0001, 0.0001], [-0.0001, 0.0001]], ""lane"": 0, ""proposal_generation"": 0, ""proposal_interval"": [[-1.1936564575195459e-06, 1.4339079621826381e-06], [-1.8274487411489873e-05, 2.0003441565740906e-05]], ""subset_by_component"": [true, true], ""subset_margin_by_component"": {""lower"": [9.880634354248046e-05, 8.172551258851012e-05], ""upper"": [9.856609203781737e-05, 7.99965584342591e-05]}, ""tails_id"": ""strict-tails:777b77a25e00:(1, 5, 2)""}",vdp/refinement_ledgers.jsonl.gz,"[[-2.692424453114615e-07, 5.264028683559504e-07], [-7.538816713720142e-06, 9.229748507342371e-06]]",AGGREGATE_FINAL_REMAINDER_ONLY__CATEGORY_TOTALS_NOT_EXPOSED,100,,ENABLED__INTERNAL_QUEUE_SNAPSHOT_NOT_EXPOSED,1e-10,,NOT_SEPARATELY_EXPOSED,"{""composition_and_preconditioning"": ""charged in ordinary remainder; category totals are not separately exposed"", ""parity_policy"": null, ""strict_endpoint_roundoff"": [[-2.2627303376413906e-15, 2.2627303310239457e-15], [-5.555244408743655e-16, 5.555262408193784e-16]]}","[[-2.692424453114615e-07, 5.264028683559504e-07], [-7.538816713720142e-06, 9.229748507342371e-06]]"
stock_flowstar,b85a3211748cb77b736fe4ad42ee02d8d2b81148,fixed_T1,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,False,1.0,,,,,,,,,,,,,,,,mandatory Huan adaptive+SR100 contract-portability stop occurred before this lane,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,
torch_c2,29c9ee8f1fe96b860052b86a2b37d79a37bbb2ca,fixed_T1,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,False,1.0,,,,,,,,,,,,,,,,mandatory Huan adaptive+SR100 contract-portability stop occurred before this lane,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,
huan_parity,743f6205e6408072193ad76e940e7f15030e8d3c,fixed_T3,EXECUTED,True,3.0,3.0,300,0,1400,2,"[-0.5372741731638282, -0.3644921860698455]","[-2.617278702339324, -2.4812292139281427]",0.1727819870939827,0.13604948841118117,"[-0.5373029430967774, -0.3390501237491572]","[-2.6176503861505025, -2.4647065707619484]",0.1982528193476202,0.1529438153885541,11.839905499015003,33805824,,975dd4e1efefb1580556b8c144ecf937253d6efd9455fcd3ae2f051854c57f22,,HASH_CAPTURED__COEFFICIENTS_NOT_SERIALIZED_BEFORE_PORTABILITY_STOP,"{""attempted_step"": 0.01, ""bad_nonfinite_mask"": false, ""cache_id"": ""range-cache:777b77a1b600:(1, 6, 2)"", ""event"": ""initial_self_map"", ""initial_self_map_ok"": true, ""input_generation"": 0, ""input_remainder_vector"": [[-0.0001, 0.0001], [-0.0001, 0.0001]], ""lane"": 0, ""proposal_generation"": 0, ""proposal_interval"": [[-1.1936564575195332e-06, 1.4339079621826188e-06], [-1.8274487411491737e-05, 2.0003441565742736e-05]], ""subset_by_component"": [true, true], ""subset_margin_by_component"": {""lower"": [9.880634354248048e-05, 8.172551258850827e-05], ""upper"": [9.856609203781738e-05, 7.999655843425726e-05]}, ""tails_id"": ""strict-tails:777b77a1b800:(1, 5, 2)""}",vdp/refinement_ledgers.jsonl.gz,"[[-6.306078196816914e-08, 8.047629233987816e-08], [-6.305052020606481e-06, 8.046590558693206e-06]]",AGGREGATE_FINAL_REMAINDER_ONLY__CATEGORY_TOTALS_NOT_EXPOSED,100,,ENABLED__INTERNAL_QUEUE_SNAPSHOT_NOT_EXPOSED,1e-10,,NOT_SEPARATELY_EXPOSED,"{""composition_and_preconditioning"": ""charged in ordinary remainder; category totals are not separately exposed"", ""parity_policy"": ""Flow* point-coefficient trust model"", ""strict_endpoint_roundoff"": [[0.0, 0.0], [0.0, 0.0]]}","[[-6.306078196816914e-08, 8.047629233987816e-08], [-6.305052020606481e-06, 8.046590558693206e-06]]"
huan_strict,743f6205e6408072193ad76e940e7f15030e8d3c,fixed_T3,EXECUTED,True,3.0,3.0,300,0,1134,2,"[-0.5378087682628048, -0.36395757365757625]","[-2.6177593123590714, -2.480746323379622]",0.17385119460522855,0.13701298897944938,"[-0.5378377091178695, -0.3385153404147725]","[-2.6181312171417916, -2.4642234592418863]",0.19932236870309708,0.15390775789990532,10.74633861402981,33820160,,e283048acab48c75929cc796c101da63a314e39bb2690673746f16dad870346c,,HASH_CAPTURED__COEFFICIENTS_NOT_SERIALIZED_BEFORE_PORTABILITY_STOP,"{""attempted_step"": 0.01, ""bad_nonfinite_mask"": false, ""cache_id"": ""range-cache:777b77a13400:(1, 6, 2)"", ""event"": ""initial_self_map"", ""initial_self_map_ok"": true, ""input_generation"": 0, ""input_remainder_vector"": [[-0.0001, 0.0001], [-0.0001, 0.0001]], ""lane"": 0, ""proposal_generation"": 0, ""proposal_interval"": [[-1.1936564575195459e-06, 1.4339079621826381e-06], [-1.8274487411489873e-05, 2.0003441565740906e-05]], ""subset_by_component"": [true, true], ""subset_margin_by_component"": {""lower"": [9.880634354248046e-05, 8.172551258851012e-05], ""upper"": [9.856609203781737e-05, 7.99965584342591e-05]}, ""tails_id"": ""strict-tails:777b77a13600:(1, 5, 2)""}",vdp/refinement_ledgers.jsonl.gz,"[[-2.692424453114615e-07, 5.264028683559504e-07], [-7.538816713720142e-06, 9.229748507342371e-06]]",AGGREGATE_FINAL_REMAINDER_ONLY__CATEGORY_TOTALS_NOT_EXPOSED,100,,ENABLED__INTERNAL_QUEUE_SNAPSHOT_NOT_EXPOSED,1e-10,,NOT_SEPARATELY_EXPOSED,"{""composition_and_preconditioning"": ""charged in ordinary remainder; category totals are not separately exposed"", ""parity_policy"": null, ""strict_endpoint_roundoff"": [[-5.836269294214545e-16, 5.836270353005729e-16], [-3.1812559824605012e-15, 3.1812289038759687e-15]]}","[[-2.692424453114615e-07, 5.264028683559504e-07], [-7.538816713720142e-06, 9.229748507342371e-06]]"
stock_flowstar,b85a3211748cb77b736fe4ad42ee02d8d2b81148,fixed_T3,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,False,3.0,,,,,,,,,,,,,,,,mandatory Huan adaptive+SR100 contract-portability stop occurred before this lane,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,
torch_c2,29c9ee8f1fe96b860052b86a2b37d79a37bbb2ca,fixed_T3,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,False,3.0,,,,,,,,,,,,,,,,mandatory Huan adaptive+SR100 contract-portability stop occurred before this lane,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,,NOT_RUN_AFTER_CONTRACT_PORTABILITY_STOP,,
huan_parity,743f6205e6408072193ad76e940e7f15030e8d3c,fixed_T6p32,EXECUTED,True,6.32,6.32,632,0,3069,2,"[0.3280038569088999, 0.5175695837920375]","[2.4559311634257117, 2.610572721250735]",0.1895657268831377,0.15464155782502334,"[0.3027243010502397, 0.5175994702388728]","[2.438685940619443, 2.610918934082683]",0.21487516918863311,0.17223299346323986,19.37818460096605,33805824,,975dd4e1efefb1580556b8c144ecf937253d6efd9455fcd3ae2f051854c57f22,,HASH_CAPTURED__COEFFICIENTS_NOT_SERIALIZED_BEFORE_PORTABILITY_STOP,"{""attempted_step"": 0.01, ""bad_nonfinite_mask"": false, ""cache_id"": ""range-cache:777b77a23000:(1, 6, 2)"", ""event"": ""initial_self_map"", ""initial_self_map_ok"": true, ""input_generation"": 0, ""input_remainder_vector"": [[-0.0001, 0.0001], [-0.0001, 0.0001]], ""lane"": 0, ""proposal_generation"": 0, ""proposal_interval"": [[-1.1936564575195332e-06, 1.4339079621826188e-06], [-1.8274487411491737e-05, 2.0003441565742736e-05]], ""subset_by_component"": [true, true], ""subset_margin_by_component"": {""lower"": [9.880634354248048e-05, 8.172551258850827e-05], ""upper"": [9.856609203781738e-05, 7.999655843425726e-05]}, ""tails_id"": ""strict-tails:777b77a23200:(1, 5, 2)""}",vdp/refinement_ledgers.jsonl.gz,"[[-6.306078196816914e-08, 8.047629233987816e-08], [-6.305052020606481e-06, 8.046590558693206e-06]]",AGGREGATE_FINAL_REMAINDER_ONLY__CATEGORY_TOTALS_NOT_EXPOSED,100,,ENABLED__INTERNAL_QUEUE_SNAPSHOT_NOT_EXPOSED,1e-10,,NOT_SEPARATELY_EXPOSED,"{""composition_and_preconditioning"": ""charged in ordinary remainder; category totals are not separately exposed"", ""parity_policy"": ""Flow* point-coefficient trust model"", ""strict_endpoint_roundoff"": [[0.0, 0.0], [0.0, 0.0]]}","[[-6.306078196816914e-08, 8.047629233987816e-08], [-6.305052020606481e-06, 8.046590558693206e-06]]"
huan_strict,743f6205e6408072193ad76e940e7f15030e8d3c,fixed_T6p32,EXECUTED,True,6.32,6.32,632,0,2548,2,"[0.32551821887950433, 0.5200551539671314]","[2.452157734884412, 2.6143344025585806]",0.19453693508762712,0.16217666767416852,"[0.3002379093454144, 0.5200857940893965]","[2.434910882155036, 2.6146822453136362]",0.21984788474398212,0.17977136315860023,23.320008585928008,33820160,,e283048acab48c75929cc796c101da63a314e39bb2690673746f16dad870346c,,HASH_CAPTURED__COEFFICIENTS_NOT_SERIALIZED_BEFORE_PORTABILITY_STOP,"{""attempted_step"": 0.01, ""bad_nonfinite_mask"": false, ""cache_id"": ""range-cache:777b77a25c00:(1, 6, 2)"", ""event"": ""initial_self_map"", ""initial_self_map_ok"": true, ""input_generation"": 0, ""input_remainder_vector"": [[-0.0001, 0.0001], [-0.0001, 0.0001]], ""lane"": 0, ""proposal_generation"": 0, ""proposal_interval"": [[-1.1936564575195459e-06, 1.4339079621826381e-06], [-1.8274487411489873e-05, 2.0003441565740906e-05]], ""subset_by_component"": [true, true], ""subset_margin_by_component"": {""lower"": [9.880634354248046e-05, 8.172551258851012e-05], ""upper"": [9.856609203781737e-05, 7.99965584342591e-05]}, ""tails_id"": ""strict-tails:777b77a25e00:(1, 5, 2)""}",vdp/refinement_ledgers.jsonl.gz,"[[-2.692424453114615e-07, 5.264028683559504e-07], [-7.538816713720142e-06, 9.229748507342371e-06]]",AGGREGATE_FINAL_REMAINDER_ONLY__CATEGORY_TOTALS_NOT_EXPOSED,100,,ENABLED__INTERNAL_QUEUE_SNAPSHOT_NOT_EXPOSED,1e-10,,NOT_SEPARATELY_EXPOSED,"{""composition_and_preconditioning"": ""charged in ordinary remainder; category totals are not separately exposed"", ""parity_policy"": null, ""strict_endpoint_roundoff"": [[-5.837355613969398e-16, 5.837357731551767e-16], [-3.181270408490384e-15, 3.181297540014476e-15]]}","[[-2.692424453114615e-07, 5.264028683559504e-07], [-7.538816713720142e-06, 9.229748507342371e-06]]"
