# T component coefficient e_tau e_xlocal e_ylocal e_clocklocal
# R component remainder_lower remainder_upper
T 0 1.6302328990200183 0 0 0 0
T 0 0.0034238936045885367 0 0 1 0
T 0 0.14448720521204256 0 1 0 0
T 0 -1.4325355938745823e-05 0 1 1 0
T 0 -5.9957162007405985e-06 0 2 0 0
R 0 -1.7832009432360633e-06 1.7832009432360633e-06
T 1 1.7232699992171989 0 0 0 0
T 1 0.1891092661411308 0 0 1 0
T 1 -1.929481721977906e-05 0 0 2 0
T 1 -0.017007250691550402 0 1 0 0
T 1 -0.0015944218586802245 0 1 1 0
T 1 -0.00057655010094549361 0 2 0 0
T 1 -7.2677924170949318e-05 0 2 1 0
R 1 -7.2105484216597728e-05 7.6554736912861366e-05
