accepted_steps,artifact,certificate_status,completion_status,fallback_count,first_failure_reason,lane,last_segment_tube,raw_endpoint,rejected_attempts,repair_used,requested_horizon,runtime_s,soundness,validated_horizon
142,01_native_baselines/torch_complete_o4_t4p0/summary.json,passed,completed,0,,torch_complete_o4_frozen_natural,"{""boundary_conversions"": 2, ""index"": 141, ""width_sum"": 0.49393383953389447, ""x_hi"": -1.9357507982709194, ""x_lo"": -2.079232369646392, ""x_width"": 0.14348157137547246, ""y_hi"": 0.21230306114057937, ""y_lo"": -0.13814920701784267, ""y_width"": 0.350452268158422}","{""tightening_applied"": false, ""width_sum"": 0.40032463670392016, ""x_hi"": -1.936054690031057, ""x_lo"": -2.0780101534881026, ""x_width"": 0.14195546345704568, ""y_hi"": 0.1895417271058966, ""y_lo"": -0.06882744614097787, ""y_width"": 0.2583691732468745}",21,False,4.0,129.61350718699396,,4.0
246,01_native_baselines/torch_complete_o4_t6p0/summary.json,passed,completed,0,,torch_complete_o4_frozen_natural,"{""boundary_conversions"": 2, ""index"": 245, ""width_sum"": 2.0630938177074967, ""x_hi"": 0.12100703834148763, ""x_lo"": -0.7116563499784851, ""x_width"": 0.8326633883199728, ""y_hi"": 2.477287505495762, ""y_lo"": 1.246857076108238, ""y_width"": 1.2304304293875241}","{""tightening_applied"": false, ""width_sum"": 2.018773697546194, ""x_hi"": 0.12100599132637954, ""x_lo"": -0.6907183727188808, ""x_width"": 0.8117243640452604, ""y_hi"": 2.4768109704593435, ""y_lo"": 1.2697616369584097, ""y_width"": 1.2070493335009338}",37,False,6.0,322.25550522468984,,6.0
308,01_native_baselines/torch_complete_o4_t6p5/summary.json,failed_validation,PARTIAL_HORIZON,0,minimum_step_reached,torch_complete_o4_frozen_natural,"{""boundary_conversions"": 2, ""index"": 307, ""width_sum"": 4.1864694933692235, ""x_hi"": 1.1042977431645953, ""x_lo"": -0.28159285770660925, ""x_width"": 1.3858906008712046, ""y_hi"": 3.9239453011994354, ""y_lo"": 1.1233664087014161, ""y_width"": 2.8005788924980193}","{""tightening_applied"": false, ""width_sum"": 4.170903223078098, ""x_hi"": 1.1042700274717072, ""x_lo"": -0.27241256067287334, ""x_width"": 1.3766825881445806, ""y_hi"": 3.9238227592358608, ""y_lo"": 1.1296021243023429, ""y_width"": 2.794220634933518}",48,False,6.5,483.53550615906715,,6.3172908799330765
308,01_native_baselines/torch_complete_o4_t7p5/summary.json,failed_validation,PARTIAL_HORIZON,0,minimum_step_reached,torch_complete_o4_frozen_natural,"{""boundary_conversions"": 2, ""index"": 307, ""width_sum"": 4.1864694933692235, ""x_hi"": 1.1042977431645953, ""x_lo"": -0.28159285770660925, ""x_width"": 1.3858906008712046, ""y_hi"": 3.9239453011994354, ""y_lo"": 1.1233664087014161, ""y_width"": 2.8005788924980193}","{""tightening_applied"": false, ""width_sum"": 4.170903223078098, ""x_hi"": 1.1042700274717072, ""x_lo"": -0.27241256067287334, ""x_width"": 1.3766825881445806, ""y_hi"": 3.9238227592358608, ""y_lo"": 1.1296021243023429, ""y_width"": 2.794220634933518}",48,False,7.5,452.8161196736619,,6.3172908799330765
308,01_native_baselines/torch_complete_o4_t10p0/summary.json,failed_validation,PARTIAL_HORIZON,0,minimum_step_reached,torch_complete_o4_frozen_natural,"{""boundary_conversions"": 2, ""index"": 307, ""width_sum"": 4.1864694933692235, ""x_hi"": 1.1042977431645953, ""x_lo"": -0.28159285770660925, ""x_width"": 1.3858906008712046, ""y_hi"": 3.9239453011994354, ""y_lo"": 1.1233664087014161, ""y_width"": 2.8005788924980193}","{""tightening_applied"": false, ""width_sum"": 4.170903223078098, ""x_hi"": 1.1042700274717072, ""x_lo"": -0.27241256067287334, ""x_width"": 1.3766825881445806, ""y_hi"": 3.9238227592358608, ""y_lo"": 1.1296021243023429, ""y_width"": 2.794220634933518}",48,False,10.0,462.3133794311434,,6.3172908799330765
4,04_generic_carry_candidate/final_da21a9e_t4/summary.json,failed_validation,PARTIAL_HORIZON,0,minimum_step_reached,torch_complete_o4_complete_carry,"{""boundary_conversions"": 2, ""index"": 3, ""width_sum"": 0.5056042869595918, ""x_hi"": 1.502995131280772, ""x_lo"": 1.195489597378759, ""x_width"": 0.30750553390201296, ""y_hi"": 2.3744968319364004, ""y_lo"": 2.1763980788788215, ""y_width"": 0.19809875305757885}","{""tightening_applied"": false, ""width_sum"": 0.4933307567415752, ""x_hi"": 1.502803775116484, ""x_lo"": 1.2004151011978565, ""x_width"": 0.30238867391862745, ""y_hi"": 2.3675732461975776, ""y_lo"": 2.17663116337463, ""y_width"": 0.19094208282294778}",7,False,4.0,3.0237683802843094,,0.04345468750000001
4,04_generic_carry_candidate/final_da21a9e_t6/summary.json,failed_validation,PARTIAL_HORIZON,0,minimum_step_reached,torch_complete_o4_complete_carry,"{""boundary_conversions"": 2, ""index"": 3, ""width_sum"": 0.5056042869595918, ""x_hi"": 1.502995131280772, ""x_lo"": 1.195489597378759, ""x_width"": 0.30750553390201296, ""y_hi"": 2.3744968319364004, ""y_lo"": 2.1763980788788215, ""y_width"": 0.19809875305757885}","{""tightening_applied"": false, ""width_sum"": 0.4933307567415752, ""x_hi"": 1.502803775116484, ""x_lo"": 1.2004151011978565, ""x_width"": 0.30238867391862745, ""y_hi"": 2.3675732461975776, ""y_lo"": 2.17663116337463, ""y_width"": 0.19094208282294778}",7,False,6.0,3.085928037762642,,0.04345468750000001
4,04_generic_carry_candidate/final_da21a9e_t6p5/summary.json,failed_validation,PARTIAL_HORIZON,0,minimum_step_reached,torch_complete_o4_complete_carry,"{""boundary_conversions"": 2, ""index"": 3, ""width_sum"": 0.5056042869595918, ""x_hi"": 1.502995131280772, ""x_lo"": 1.195489597378759, ""x_width"": 0.30750553390201296, ""y_hi"": 2.3744968319364004, ""y_lo"": 2.1763980788788215, ""y_width"": 0.19809875305757885}","{""tightening_applied"": false, ""width_sum"": 0.4933307567415752, ""x_hi"": 1.502803775116484, ""x_lo"": 1.2004151011978565, ""x_width"": 0.30238867391862745, ""y_hi"": 2.3675732461975776, ""y_lo"": 2.17663116337463, ""y_width"": 0.19094208282294778}",7,False,6.5,2.95764989964664,,0.04345468750000001
4,04_generic_carry_candidate/final_da21a9e_t7p5/summary.json,failed_validation,PARTIAL_HORIZON,0,minimum_step_reached,torch_complete_o4_complete_carry,"{""boundary_conversions"": 2, ""index"": 3, ""width_sum"": 0.5056042869595918, ""x_hi"": 1.502995131280772, ""x_lo"": 1.195489597378759, ""x_width"": 0.30750553390201296, ""y_hi"": 2.3744968319364004, ""y_lo"": 2.1763980788788215, ""y_width"": 0.19809875305757885}","{""tightening_applied"": false, ""width_sum"": 0.4933307567415752, ""x_hi"": 1.502803775116484, ""x_lo"": 1.2004151011978565, ""x_width"": 0.30238867391862745, ""y_hi"": 2.3675732461975776, ""y_lo"": 2.17663116337463, ""y_width"": 0.19094208282294778}",7,False,7.5,2.9240406062453985,,0.04345468750000001
4,04_generic_carry_candidate/final_da21a9e_t10_fresh/summary.json,failed_validation,PARTIAL_HORIZON,0,minimum_step_reached,torch_complete_o4_complete_carry,"{""boundary_conversions"": 2, ""index"": 3, ""width_sum"": 0.5056042869595918, ""x_hi"": 1.502995131280772, ""x_lo"": 1.195489597378759, ""x_width"": 0.30750553390201296, ""y_hi"": 2.3744968319364004, ""y_lo"": 2.1763980788788215, ""y_width"": 0.19809875305757885}","{""tightening_applied"": false, ""width_sum"": 0.4933307567415752, ""x_hi"": 1.502803775116484, ""x_lo"": 1.2004151011978565, ""x_width"": 0.30238867391862745, ""y_hi"": 2.3675732461975776, ""y_lo"": 2.17663116337463, ""y_width"": 0.19094208282294778}",7,False,10.0,2.9779219031333923,,0.04345468750000001
