batch,boundary,certification_core_s,cold_s,compile_jit_s,cuda_synchronized,device,eligible_cross_tool_deployment_claim,fresh_process_wall_s,fresh_repetition,lane,process_startup_import_s,rotation_position,startup_import_config_serialization_composite_s,warm_max_s,warm_median_s,warm_min_s
1,canonical_torch_fixed_support,,0.479335093870759,none for eager Torch lane,False,cpu,False,,,fixed_support,"included only in fresh process, not isolated here",,,0.49334313813596964,,0.47725107055157423
8,canonical_torch_fixed_support,,0.5070429882034659,none for eager Torch lane,False,cpu,False,,,fixed_support,"included only in fresh process, not isolated here",,,0.5175634883344173,,0.5003999620676041
64,canonical_torch_fixed_support,,0.5183742139488459,none for eager Torch lane,False,cpu,False,,,fixed_support,"included only in fresh process, not isolated here",,,0.5325979050248861,,0.5164392543956637
256,canonical_torch_fixed_support,,0.6045826897025108,none for eager Torch lane,False,cpu,False,,,fixed_support,"included only in fresh process, not isolated here",,,0.624221557751298,,0.6014622133225203
512,canonical_torch_fixed_support,,0.7135534444823861,none for eager Torch lane,False,cpu,False,,,fixed_support,"included only in fresh process, not isolated here",,,0.7207760345190763,,0.6959472065791488
1,canonical_torch_fixed_support,,1.5204523792490363,none for eager Torch lane,True,cuda:0,False,,,fixed_support,"included only in fresh process, not isolated here",,,1.269747570157051,,1.2503044158220291
8,canonical_torch_fixed_support,,1.5282999835908413,none for eager Torch lane,True,cuda:0,False,,,fixed_support,"included only in fresh process, not isolated here",,,1.2776926858350635,,1.260169847868383
64,canonical_torch_fixed_support,,1.5369037371128798,none for eager Torch lane,True,cuda:0,False,,,fixed_support,"included only in fresh process, not isolated here",,,1.283335480839014,,1.264129132963717
256,canonical_torch_fixed_support,,1.5430926969274879,none for eager Torch lane,True,cuda:0,False,,,fixed_support,"included only in fresh process, not isolated here",,,1.2828714773058891,,1.2769444910809398
512,canonical_torch_fixed_support,,1.5380192855373025,none for eager Torch lane,True,cuda:0,False,,,fixed_support,"included only in fresh process, not isolated here",,,1.2742365645244718,,1.2596511151641607
1,complete_O4_one_step_plus_complete_endpoint_carry_kernel,,0.12422440573573112,none for eager Torch lane,False,cpu,False,,,complete_carry,"included only in fresh process, not isolated here",,,0.11731703951954842,0.1170765245333314,0.11682052537798882
8,complete_O4_one_step_plus_complete_endpoint_carry_kernel,,0.2512782486155629,none for eager Torch lane,False,cpu,False,,,complete_carry,"included only in fresh process, not isolated here",,,0.2623124271631241,0.24429343547672033,0.24324629176408052
64,complete_O4_one_step_plus_complete_endpoint_carry_kernel,,1.267107910476625,none for eager Torch lane,False,cpu,False,,,complete_carry,"included only in fresh process, not isolated here",,,1.2761116791516542,1.2506081899628043,1.2420703927055001
256,complete_O4_one_step_plus_complete_endpoint_carry_kernel,,4.62941409740597,none for eager Torch lane,False,cpu,False,,,complete_carry,"included only in fresh process, not isolated here",,,4.685553003102541,4.629615402780473,4.599129137583077
512,complete_O4_one_step_plus_complete_endpoint_carry_kernel,,9.364687580615282,none for eager Torch lane,False,cpu,False,,,complete_carry,"included only in fresh process, not isolated here",,,9.349154345691204,9.332807992585003,9.319203468970954
1,complete_O4_one_step_plus_complete_endpoint_carry_kernel,,0.5203393623232841,none for eager Torch lane,True,cuda:0,False,,,complete_carry,"included only in fresh process, not isolated here",,,0.3181439992040396,0.3080491265282035,0.3070623595267534
8,complete_O4_one_step_plus_complete_endpoint_carry_kernel,,0.6366446418687701,none for eager Torch lane,True,cuda:0,False,,,complete_carry,"included only in fresh process, not isolated here",,,0.46311425045132637,0.45048640947788954,0.4448398035019636
64,complete_O4_one_step_plus_complete_endpoint_carry_kernel,,1.7601190097630024,none for eager Torch lane,True,cuda:0,False,,,complete_carry,"included only in fresh process, not isolated here",,,1.6150770243257284,1.5657342420890927,1.5533991660922766
256,complete_O4_one_step_plus_complete_endpoint_carry_kernel,,5.560840219259262,none for eager Torch lane,True,cuda:0,False,,,complete_carry,"included only in fresh process, not isolated here",,,5.377156214788556,5.36928319837898,5.305649719201028
512,complete_O4_one_step_plus_complete_endpoint_carry_kernel,,10.730787804350257,none for eager Torch lane,True,cuda:0,False,,,complete_carry,"included only in fresh process, not isolated here",,,10.531434846110642,10.488317304290831,10.472557722590864
1,native reported certification core,,UNAVAILABLE,not applicable,,cpu,False,,,stock_flowstar_native,UNAVAILABLE,,,,,0.441634
64,native verification,,4.307,included in warmup,,V100,False,,,stock_diffreach_native,,,,,,0.36
1,rotated fresh process T=0.1,2.896151229739189,,0.0,,cpu,False,6.358950218185782,0,complete_o4_baseline_t0p1,,0,3.4627989884465933,,,
1,rotated fresh process T=0.1,2.8010694151744246,,0.0,,cpu,False,6.2245945846661925,0,complete_o4_carry_t0p1,,1,3.423525169491768,,,
64,rotated fresh process T=0.1,0.5217200564220548,,0.0,,cpu,False,3.857723376713693,0,fixed_dr7_b64_t0p1,,2,3.3360033202916384,,,
1,rotated fresh process T=0.1,2.7828928222879767,,0.0,,cpu,False,6.186421178281307,1,complete_o4_carry_t0p1,,0,3.4035283559933305,,,
64,rotated fresh process T=0.1,0.5290119387209415,,0.0,,cpu,False,3.865886521525681,1,fixed_dr7_b64_t0p1,,1,3.3368745828047395,,,
1,rotated fresh process T=0.1,2.825999197550118,,0.0,,cpu,False,6.263358662836254,1,complete_o4_baseline_t0p1,,2,3.4373594652861357,,,
64,rotated fresh process T=0.1,0.5272321132943034,,0.0,,cpu,False,3.8525406066328287,2,fixed_dr7_b64_t0p1,,0,3.3253084933385253,,,
1,rotated fresh process T=0.1,2.8286870094016194,,0.0,,cpu,False,6.261852459050715,2,complete_o4_baseline_t0p1,,1,3.4331654496490955,,,
1,rotated fresh process T=0.1,2.790398782119155,,0.0,,cpu,False,6.224372238852084,2,complete_o4_carry_t0p1,,2,3.4339734567329288,,,
