boundary,component,control,hi,lo,stage,units,width
1,0,C4,1.0000000000000007,-1.0000000000000007,A0,old normalized,2.0000000000000013
1,1,C4,1.0000000000000007,-1.0000000000000007,A0,old normalized,2.0000000000000013
1,0,C4,0.0,0.0,A1,old normalized,0.0
1,1,C4,0.0,0.0,A1,old normalized,0.0
1,0,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
1,1,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
1,0,C4,8.4e-323,-8.4e-323,A3,old normalized,1.7e-322
1,1,C4,8.4e-323,-8.4e-323,A3,old normalized,1.7e-322
1,0,C4,8.303050201044444e-06,-8.303050201044444e-06,B0,new normalized,1.6606100402088888e-05
1,1,C4,0.0004263153589650445,-0.00036119851734997543,B0,new normalized,0.00078751387631502
1,0,C4,1.430333890260676,1.1292457174446948,B1,endpoint physical,0.3010881728159811
1,1,C4,2.429290963842756,2.3026955546124848,B1,endpoint physical,0.12659540923027102
1,0,C4,1.0000000000000007,-1.0000000000000007,B2,old normalized,2.0000000000000013
1,1,C4,1.0000000000000007,-1.0000000000000007,B2,old normalized,2.0000000000000013
1,0,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
1,1,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
1,0,C4,0.14992781823730494,0.14990801354980432,B4,endpoint physical,1.980468750062414e-05
1,1,C4,0.0006240611394246439,0.0006211314519246414,B4,endpoint physical,2.9296875000024963e-06
1,0,C4,1.5e-323,-1.5e-323,B5,endpoint physical,3e-323
1,1,C4,1.5e-323,-1.5e-323,B5,endpoint physical,3e-323
1,0,C4,2.5e-323,-2.5e-323,B6,endpoint physical,5e-323
1,1,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
1,0,C4,1.6e-322,-1.6e-322,B7,endpoint physical,3.16e-322
1,1,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
1,0,C4,5e-324,-5e-324,B8,physical source,1e-323
1,1,C4,1.5088586513938562e-06,1.5088586513938558e-06,B8,physical source,4.235164736271502e-22
1,0,C4,2e-323,-2e-323,B9,physical source,4e-323
1,1,C4,1.0229855134778468e-05,-1.0229855134778468e-05,B9,physical source,2.0459710269556937e-05
1,0,C4,1.2500030000000006e-06,-1.2500030000000006e-06,B10,physical source,2.5000060000000012e-06
1,1,C4,1.5391817773849725e-05,-1.4265526446933218e-05,B10,physical source,2.9657344220782944e-05
1,0,C4,8.303050201044432e-06,-8.303050201044432e-06,B11,new normalized,1.6606100402088864e-05
1,1,C4,0.0004263153589650441,-0.0003611985173499749,B11,new normalized,0.0007875138763150189
1,0,C4,1.298519013616316e-19,-1.298519013616316e-19,B12,new normalized,2.597038027232632e-19
1,1,C4,6.49198649810564e-18,-6.6004067153541906e-18,B12,new normalized,1.309239321345983e-17
1,0,C4,8.303050201044564e-06,-8.303050201044564e-06,B13,new normalized,1.660610040208913e-05
1,1,C4,0.0004263153589650509,-0.0003611985173499819,B13,new normalized,0.0007875138763150328
1,0,C4,8.303050201044564e-06,-8.303050201044564e-06,B14,new normalized,1.660610040208913e-05
1,1,C4,0.0004263153589650509,-0.0003611985173499819,B14,new normalized,0.0007875138763150328
1,0,C4,1.2500030000000222e-06,-1.2500030000000222e-06,B15,endpoint physical,2.5000060000000444e-06
1,1,C4,2.7130531560022506e-05,-2.29865229303183e-05,B15,endpoint physical,5.011705449034081e-05
1,0,C4,1.2500030000000205e-06,-1.2500030000000205e-06,B16,tube physical,2.500006000000041e-06
1,1,C4,2.713053156002247e-05,-2.298652293031826e-05,B16,tube physical,5.011705449034073e-05
2,0,C4,0.9999636742226246,-0.9999916969497985,A0,old normalized,1.999955371172423
2,1,C4,0.9896170009668512,-0.9996388014826495,A0,old normalized,1.9892558024495006
2,0,C4,8.303050201044564e-06,-8.303050201044564e-06,A1,old normalized,1.660610040208913e-05
2,1,C4,0.0004263153589650509,-0.0003611985173499819,A1,old normalized,0.0007875138763150328
2,0,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
2,1,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
2,0,C4,8.303050201044566e-06,-8.303050201044566e-06,A3,old normalized,1.6606100402089132e-05
2,1,C4,0.00042631535896505096,-0.00036119851734998194,A3,old normalized,0.0007875138763150329
2,0,C4,1.9849430351733073e-05,-1.9473791614665967e-05,B0,new normalized,3.932322196639904e-05
2,1,C4,0.0007729371046943845,-0.0006472051564302903,B0,new normalized,0.0014201422611246747
2,0,C4,1.463365964785258,1.1607333392931516,B1,endpoint physical,0.30263262549210634
2,1,C4,2.40389508860417,2.24792174201303,B1,endpoint physical,0.15597334659114015
2,0,C4,0.9999719772728256,-0.9999999999999996,B2,old normalized,1.9999719772728253
2,1,C4,0.9900433163258163,-0.9999999999999994,B2,old normalized,1.9900433163258158
2,0,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
2,1,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
2,0,C4,0.1504595043910926,0.15043461205615827,B4,endpoint physical,2.4892334934328852e-05
2,1,C4,0.000873174707625341,0.0008685384305391982,B4,endpoint physical,4.6362770861427954e-06
2,0,C4,1.621520607104028e-06,-1.5646622279653045e-06,B5,endpoint physical,3.186182835069333e-06
2,1,C4,2.7151236814555112e-05,-2.3024795688102312e-05,B5,endpoint physical,5.017603250265743e-05
2,0,C4,2.5e-323,-2.5e-323,B6,endpoint physical,5e-323
2,1,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
