all_candidate_gates,attempted_diagnostic_immutable,boundary,decision,h_accepted_hex,scheduler_matches_historical,t_after,t_before,x_margin,y_margin
True,True,1,accepted,0x1.999999999999ap-7,True,0.0125,0.0,9.8749997e-05,7.286946843997795e-05
True,True,2,accepted,0x1.c28f5c28f5c2ap-7,True,0.026250000000000002,0.0125,9.8624997e-05,6.655080041541422e-05
True,True,3,accepted,0x1.ef9db22d0e562p-7,True,0.04137500000000001,0.026250000000000002,9.8487497e-05,5.832080283811798e-05
True,True,4,accepted,0x1.1096bb98c7e29p-6,True,0.05801250000000001,0.04137500000000001,9.8336247e-05,4.7559557664990944e-05
True,True,5,accepted,0x1.2bd9018e75794p-6,True,0.07631375000000001,0.05801250000000001,9.8169872e-05,3.350237795805528e-05
True,True,6,accepted,0x1.49d51b4fe79f0p-6,True,0.09644512500000002,0.07631375000000001,9.79868595e-05,1.5241282844443191e-05
True,True,7,accepted,0x1.6ad0d13e4b955p-7,True,0.10751738125000003,0.09644512500000002,9.889277137500001e-05,7.140968481624757e-05
True,True,8,accepted,0x1.8f18e62aecbdep-7,True,0.11969686312500004,0.10751738125000003,9.87820488125e-05,6.55768780242133e-05
True,True,9,accepted,0x1.b701c9fc046a8p-7,True,0.13309429318750005,0.11969686312500004,9.866025399375e-05,5.8193878426506654e-05
True,True,10,accepted,0x1.e2e85e2ed1a86p-7,True,0.14783146625625004,0.13309429318750005,9.852627969312501e-05,4.897677968719979e-05
True,True,11,accepted,0x1.0999670026830p-6,True,0.16404235663187505,0.14783146625625004,9.837890796243751e-05,3.7527033560177744e-05
True,True,12,accepted,0x1.2428be19c3f68p-6,True,0.18187433604506256,0.16404235663187505,9.821679905868125e-05,2.344526308907215e-05
True,True,13,accepted,0x1.4160044f8ac26p-6,True,0.20148951339956883,0.18187433604506256,9.803847926454938e-05,6.4106135232520195e-06
True,True,14,accepted,0x1.618337f118a2ap-7,True,0.2122778609445473,0.20148951339956883,9.892116224550216e-05,7.011230778004171e-05
True,True,15,accepted,0x1.84dd23ef9b195p-7,True,0.22414504324402357,0.2122778609445473,9.881327877005237e-05,6.473207131024066e-05
True,True,16,accepted,0x1.abc00dedf768bp-7,True,0.2371989437734475,0.22414504324402357,9.869460694705761e-05,5.83066896526218e-05
True,True,17,accepted,0x1.d68675b8f68cdp-7,True,0.2515582343558138,0.2371989437734475,9.856406794176337e-05,5.06759153197022e-05
True,True,18,accepted,0x1.02c9f3f2879a4p-6,True,0.26735345399641675,0.2515582343558138,9.842047503593971e-05,4.144231243340147e-05
True,True,19,accepted,0x1.1caaf2bdfb902p-6,True,0.28472819560108,0.26735345399641675,9.826252283953367e-05,2.9868492518109988e-05
True,True,20,accepted,0x1.3922716a94b83p-6,True,0.30384041136620954,0.28472819560108,9.808877542348704e-05,1.6548389807146e-05
True,True,21,accepted,0x1.5872aff53d311p-6,True,0.32486384870785207,0.30384041136620954,9.789765326583576e-05,1.69604440903864e-06
True,True,22,accepted,0x1.7ae48e5a901c6p-7,True,0.33642673924575545,0.32486384870785207,9.884370794620966e-05,7.119163568973557e-05
True,True,23,accepted,0x1.a0c836306b527p-7,True,0.34914591883744917,0.33642673924575545,9.872807904083062e-05,6.6789178758778e-05
True,True,24,accepted,0x1.ca75d53542dacp-7,True,0.36313701638831225,0.34914591883744917,9.86008872449137e-05,6.181324544967545e-05
True,True,25,accepted,0x1.f84e6a876323ep-7,True,0.37852722369426167,0.36313701638831225,9.846097626940506e-05,5.6286534888110105e-05
True,True,26,accepted,0x1.155e5430dced6p-6,True,0.395456451730806,0.37852722369426167,9.830707419634557e-05,5.0307067710512766e-05
True,True,27,accepted,0x1.311af635bfd1fp-6,True,0.4140786025710048,0.395456451730806,9.813778191598012e-05,4.4039941088254576e-05
True,True,28,accepted,0x1.4f9da86e53009p-6,True,0.4345629684952235,0.4140786025710048,9.795156040757813e-05,3.778745814889065e-05
