age,boundary,cumulative_materialized_width_max_components,event_index,materialized_width_max_component,record_type,slot,source_boundary_index,source_category,source_category_id,source_occurrence_index,status
[0],17,6.061039281242022e-05,32,6.061039281242022e-05,capacity_eviction,[0],[0],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[1],18,0.0001386439300431855,34,7.803353723076529e-05,capacity_eviction,[1],[1],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[2],19,0.00023969779600815303,36,0.00010105386596496752,capacity_eviction,[2],[2],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[3],20,0.0003712677909077218,38,0.00013156999489956874,capacity_eviction,[3],[3],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[4],21,0.0005432744685775083,40,0.00017200667766978654,capacity_eviction,[4],[4],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[5],22,0.0007827040407668683,42,0.00023942957218935995,capacity_eviction,[5],[5],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[6],23,0.0008472392076561556,44,6.453516688928717e-05,capacity_eviction,[6],[6],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[7],24,0.0009289437784464167,46,8.170457079026116e-05,capacity_eviction,[7],[7],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[8],25,0.0010348289038312744,48,0.00010588512538485778,capacity_eviction,[8],[8],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[9],26,0.0011749306009625137,50,0.00014010169713123935,capacity_eviction,[9],[9],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[10],27,0.001360346927358849,52,0.00018541632639633516,capacity_eviction,[10],[10],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[11],28,0.001605304345083278,54,0.00024495741772442923,capacity_eviction,[11],[11],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[12],29,0.001927540868214141,56,0.0003222365231308629,capacity_eviction,[12],[12],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[13],30,0.0020049740182058085,58,7.743314999166746e-05,capacity_eviction,[13],[13],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[14],31,0.002101858484837014,60,9.688446663120571e-05,capacity_eviction,[14],[14],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[15],32,0.002225336936489159,62,0.00012347845165214475,capacity_eviction,[15],[15],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[16],33,0.0023826381305643157,64,0.00015730119407515687,capacity_eviction,[0],[16],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[17],34,0.002582648570664149,66,0.00020001044009983343,capacity_eviction,[1],[17],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[18],35,0.0028356348891358657,68,0.00025298631847171674,capacity_eviction,[2],[18],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[19],36,0.0031537914308481063,70,0.00031815654171224043,capacity_eviction,[3],[19],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[20],37,0.003551037530097953,72,0.0003972460992498467,capacity_eviction,[4],[20],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[21],38,0.003647123447156025,74,9.608591705807176e-05,capacity_eviction,[5],[21],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[22],39,0.003771225883060209,76,0.0001241024359041843,capacity_eviction,[6],[22],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[23],40,0.003931087581991296,78,0.00015986169893108667,capacity_eviction,[7],[23],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[24],41,0.00413605741348429,80,0.00020496983149299387,capacity_eviction,[8],[24],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[25],42,0.004396827018978515,82,0.00026076960549422507,capacity_eviction,[9],[25],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[26],43,0.004706771513777877,84,0.0003099444947993623,capacity_eviction,[10],[26],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[27],44,0.005070196000102442,86,0.00036342448632456476,capacity_eviction,[11],[27],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[28],45,0.0054939517579210865,88,0.0004237557578186443,capacity_eviction,[12],[28],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[29],46,0.005984032598048403,90,0.0004900808401273161,capacity_eviction,[13],[29],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[30],47,0.0065739305436843445,92,0.0005898979456359414,capacity_eviction,[14],[30],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[31],48,0.006710827608631629,94,0.00013689706494728507,capacity_eviction,[15],[31],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[32],49,0.006883556933230473,96,0.00017272932459884305,capacity_eviction,[0],[32],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[33],50,0.007101638234592681,98,0.00021808130136220796,capacity_eviction,[1],[33],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[34],51,0.007377114728599148,100,0.00027547649400646717,capacity_eviction,[2],[34],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[35],52,0.007724843918641249,102,0.000347729190042102,capacity_eviction,[3],[35],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[36],53,0.00816193318902408,104,0.00043708927038283205,capacity_eviction,[4],[36],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[37],54,0.008711076392929087,106,0.0005491432039050066,capacity_eviction,[5],[37],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[38],55,0.009398437430799877,108,0.0006873610378707913,capacity_eviction,[6],[38],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
