step,time,endpoint_max_abs,endpoint_max_rel,endpoint_max_ulp,tube_max_abs,tube_max_rel,tube_max_ulp
1,0.01,0.0,0.0,0,0.0,0.0,0
2,0.02,4.440892098500626e-16,1.8775565686901258e-16,1,4.440892098500626e-16,1.9112820959720833e-16,1
3,0.03,2.220446049250313e-16,1.8356379307839048e-16,1,2.220446049250313e-16,1.8724940995286072e-16,1
4,0.04,2.220446049250313e-16,1.8574492937659563e-16,1,2.220446049250313e-16,1.8947243393793463e-16,1
5,0.05,4.440892098500626e-16,3.076667040843071e-16,2,4.440892098500626e-16,2.0540610193292259e-16,1
6,0.06,4.440892098500626e-16,2.0498152377648426e-16,1,4.440892098500626e-16,2.0498152377648426e-16,1
7,0.07,4.440892098500626e-16,2.110779876665922e-16,1,4.440892098500626e-16,2.110779876665922e-16,1
8,0.08,4.440892098500626e-16,2.941175854774766e-16,2,4.440892098500626e-16,3.171816707589998e-16,2
9,0.09,8.881784197001252e-16,4.3280110439947056e-16,2,8.881784197001252e-16,4.2416555467540633e-16,2
10,0.1,8.881784197001252e-16,4.213254751186681e-16,2,8.881784197001252e-16,4.213254751186681e-16,2
11,0.11,4.440892098500626e-16,3.2814017157145546e-16,2,4.440892098500626e-16,3.3344012032390523e-16,2
12,0.12,4.440892098500626e-16,3.2303142507638203e-16,2,4.440892098500626e-16,3.280843331433778e-16,2
13,0.13,4.440892098500626e-16,3.181537954430796e-16,2,4.440892098500626e-16,3.229719530278819e-16,2
14,0.14,4.440892098500626e-16,3.134960946664175e-16,2,4.440892098500626e-16,3.180910191628356e-16,2
15,0.15,4.440892098500626e-16,3.0904782825798963e-16,2,4.440892098500626e-16,3.1343032663211484e-16,2
16,0.16,4.440892098500626e-16,3.047991399606312e-16,2,4.440892098500626e-16,3.0897936502778887e-16,2
17,0.17,4.440892098500626e-16,3.0074076168043687e-16,2,4.440892098500626e-16,3.0472826295005145e-16,2
18,0.18,4.440892098500626e-16,2.9686396818512203e-16,2,4.440892098500626e-16,3.006677378672889e-16,2
19,0.19,4.440892098500626e-16,2.9441398371233313e-16,2,4.440892098500626e-16,2.967890507963347e-16,2
20,0.2,4.440892098500626e-16,3.0455176985377267e-16,2,4.440892098500626e-16,3.04557882107611e-16,2
21,0.21,4.440892098500626e-16,3.1536851035806013e-16,2,4.440892098500626e-16,3.1538352489905156e-16,2
22,0.22,4.440892098500626e-16,3.269172486734729e-16,2,4.440892098500626e-16,3.2694209089518965e-16,2
23,0.23,6.661338147750939e-16,4.062919026459196e-16,3,6.661338147750939e-16,3.9619736632480644e-16,3
24,0.24,6.661338147750939e-16,4.150082961006154e-16,3,4.440892098500626e-16,3.3818540548798607e-16,2
25,0.25,4.440892098500626e-16,3.510477645768879e-16,2,4.440892098500626e-16,3.510889104659914e-16,2
26,0.26,4.440892098500626e-16,3.648374433923972e-16,2,4.440892098500626e-16,3.648910844380328e-16,2
27,0.27,6.661338147750939e-16,4.514034251821584e-16,3,6.661338147750939e-16,4.3860072767484317e-16,3
28,0.28,6.661338147750939e-16,5.845366601427751e-16,3,6.661338147750939e-16,5.846607850448257e-16,3
29,0.29,6.661338147750939e-16,6.097181256039841e-16,3,6.661338147750939e-16,6.098677039981312e-16,3
30,0.3,6.661338147750939e-16,6.367802251456319e-16,3,6.661338147750939e-16,6.369580268595342e-16,4
31,0.31,6.661338147750939e-16,6.659054664706941e-16,4,6.661338147750939e-16,6.661146171904442e-16,4
