lane,segment,physical_time,finite_ok_leaves,initial_subset_ok_leaves,all_remainder_rounds_ok_leaves,local_property_ok_leaves,composed_property_ok_leaves,overall_accepted_leaves,minimum_property_margin
L0_baseline_native,1,0.1,48,48,48,48,48,48,1.2260066619192058
L0_baseline_native,2,0.2,48,48,48,48,48,48,1.163589901482446
L0_baseline_native,3,0.30000000000000004,48,48,48,48,48,48,1.1100174499315378
L0_baseline_native,4,0.4,48,48,48,48,48,48,1.0658565484559412
L0_baseline_native,5,0.5,48,48,48,48,48,48,1.0315708659874556
L0_baseline_native,6,0.6000000000000001,48,48,48,48,48,48,1.0075183012332618
L0_baseline_native,7,0.7000000000000001,48,48,48,48,48,48,0.9939573116595983
L0_baseline_native,8,0.8,48,48,48,48,48,48,0.9910458114576612
L0_baseline_native,9,0.9,48,48,48,48,48,48,0.9959058369892981
L0_baseline_native,10,1.0,48,48,48,48,48,48,1.0038472588861955
L0_baseline_native,11,1.1,48,48,48,48,48,48,1.0222197168867733
L0_baseline_native,12,1.2000000000000002,48,48,48,48,48,48,1.0509805909576408
L0_baseline_native,13,1.3,48,48,48,48,48,48,1.0896631264387995
L0_baseline_native,14,1.4000000000000001,48,48,48,48,48,48,1.1377274669105957
L0_baseline_native,15,1.5,48,48,48,48,48,48,1.1946696084054143
L0_baseline_native,16,1.6,48,48,48,48,48,48,1.2595258397359106
L0_baseline_native,17,1.7000000000000002,48,48,48,48,48,48,1.2041247694690114
L0_baseline_native,18,1.8,48,48,48,48,48,48,1.1492053383775107
L0_baseline_native,19,1.9000000000000001,48,48,48,48,48,48,1.103076305932667
L0_baseline_native,20,2.0,48,48,48,48,48,48,1.0661660950576777
L0_baseline_native,21,2.1,48,48,48,48,48,48,1.0387996581781902
L0_baseline_native,22,2.2,48,48,48,48,48,48,1.0211946359127386
L0_baseline_native,23,2.3000000000000003,48,48,48,48,48,48,1.0134257918613798
L0_baseline_native,24,2.4000000000000004,48,48,48,48,48,48,1.0152537209662074
L0_baseline_native,25,2.5,48,48,48,48,48,48,1.0189720343369562
L0_baseline_native,26,2.6,48,48,48,48,48,48,0.9453803730330004
L0_baseline_native,27,2.7,48,48,48,48,48,48,0.8460738338232898
L0_baseline_native,28,2.8000000000000003,48,48,48,48,48,48,0.7277930429646366
L0_baseline_native,29,2.9000000000000004,48,48,48,48,48,48,0.608297689051021
L0_baseline_native,30,3.0,48,48,48,48,48,48,0.48873287152944234
L0_baseline_native,31,3.1,48,48,48,48,48,48,0.44143861386113326
L0_baseline_native,32,3.2,48,48,48,48,48,48,0.5408940477015116
L0_baseline_native,33,3.3000000000000003,48,48,48,48,48,48,0.6403494815416109
L0_baseline_native,34,3.4000000000000004,48,48,48,48,48,48,0.7390826131317081
L0_baseline_native,35,3.5,48,48,48,48,48,48,0.6652681661376312
L0_baseline_native,36,3.6,48,48,48,48,48,48,0.5686917779457019
L0_baseline_native,37,3.7,48,48,48,48,48,48,0.4820609331376362
L0_baseline_native,38,3.8000000000000003,48,48,48,48,48,48,0.4053756317134025
L0_baseline_native,39,3.9000000000000004,48,48,48,48,48,48,0.3386358736729691
L0_baseline_native,40,4.0,48,48,48,48,48,48,0.2818416590163051
L0_baseline_native,41,4.1000000000000005,48,48,48,48,48,48,0.21811308006037233
L0_baseline_native,42,4.2,48,48,48,48,48,48,0.14149702428598276
L0_baseline_native,43,4.3,48,48,48,48,48,48,0.05448070920516224
L0_baseline_native,44,4.4,48,48,48,47,47,47,-0.042012028629915044
L0_baseline_native,45,4.5,48,48,48,38,38,38,-0.24611010013749457
L0_baseline_native,46,4.6000000000000005,48,48,48,8,8,8,-0.5548720837621839
L0_baseline_native,47,4.7,48,48,48,2,2,2,-0.8636340673874829
L0_baseline_native,48,4.800000000000001,48,42,41,0,0,0,-1.1723960510133913
L1_tight_endpoint_box_controller,1,0.1,48,48,48,48,48,48,1.2260066619192058
L1_tight_endpoint_box_controller,2,0.2,48,48,48,48,48,48,1.1635615236914545
L1_tight_endpoint_box_controller,3,0.30000000000000004,48,48,48,48,48,48,1.1099092139793312
L1_tight_endpoint_box_controller,4,0.4,48,48,48,48,48,48,1.0655789769528043
L1_tight_endpoint_box_controller,5,0.5,48,48,48,48,48,48,1.0310096630617491
L1_tight_endpoint_box_controller,6,0.6000000000000001,48,48,48,48,48,48,1.006538461103714
L1_tight_endpoint_box_controller,7,0.7000000000000001,48,48,48,48,48,48,0.9924010430293193
L1_tight_endpoint_box_controller,8,0.8,48,48,48,48,48,48,0.988722446344243
L1_tight_endpoint_box_controller,9,0.9,48,48,48,48,48,48,0.9926037771892156
L1_tight_endpoint_box_controller,10,1.0,48,48,48,48,48,48,0.9993431855351325
L1_tight_endpoint_box_controller,11,1.1,48,48,48,48,48,48,1.0163676044306187
L1_tight_endpoint_box_controller,12,1.2000000000000002,48,48,48,48,48,48,1.0434717862062748
L1_tight_endpoint_box_controller,13,1.3,48,48,48,48,48,48,1.0801966542174786
L1_tight_endpoint_box_controller,14,1.4000000000000001,48,48,48,48,48,48,1.1259820603854083
L1_tight_endpoint_box_controller,15,1.5,48,48,48,48,48,48,1.1801688904015744
L1_tight_endpoint_box_controller,16,1.6,48,48,48,48,48,48,1.1409743141361128
L1_tight_endpoint_box_controller,17,1.7000000000000002,48,48,48,48,48,48,1.08140944510771
L1_tight_endpoint_box_controller,18,1.8,48,48,48,48,48,48,0.9177563660233123
L1_tight_endpoint_box_controller,19,1.9000000000000001,48,48,48,48,48,48,0.7390343561220436
L1_tight_endpoint_box_controller,20,2.0,48,48,48,48,48,48,0.5603123462204227
L1_tight_endpoint_box_controller,21,2.1,48,48,48,48,48,48,0.14053842566693353
L1_tight_endpoint_box_controller,22,2.2,48,48,48,0,0,0,-0.30611781615086153
L1_tight_endpoint_box_controller,23,2.3000000000000003,48,48,48,0,0,0,-0.7808339667519313
L1_tight_endpoint_box_controller,24,2.4000000000000004,48,48,48,0,0,0,-1.2555501173540775
L1_tight_endpoint_box_controller,25,2.5,48,2,1,0,0,0,-1.7302662679573007
L1_tight_endpoint_box_controller,31,3.1,48,0,0,0,0,0,-2.837877956219292
L1_tight_endpoint_box_controller,41,4.1000000000000005,48,0,0,0,0,0,-2.8310680559918966
L2_physical_endpoint_projection,1,0.1,48,48,48,48,48,48,1.2260066619192058
L2_physical_endpoint_projection,2,0.2,48,48,48,48,48,48,1.1635899014823696
L2_physical_endpoint_projection,3,0.30000000000000004,48,48,48,48,48,48,1.1100159168960415
L2_physical_endpoint_projection,4,0.4,48,48,48,48,48,48,1.0658521869656883
L2_physical_endpoint_projection,5,0.5,48,48,48,48,48,48,1.031562521848663
L2_physical_endpoint_projection,6,0.6000000000000001,48,48,48,48,48,48,1.0075048553894201
L2_physical_endpoint_projection,7,0.7000000000000001,48,48,48,48,48,48,0.9939375669659132
L2_physical_endpoint_projection,8,0.8,48,48,48,48,48,48,0.99101837455707
L2_physical_endpoint_projection,9,0.9,48,48,48,48,48,48,0.9958687089892451
L2_physical_endpoint_projection,10,1.0,48,48,48,48,48,48,1.0037980029180722
L2_physical_endpoint_projection,11,1.1,48,48,48,48,48,48,1.0221554426955488
L2_physical_endpoint_projection,12,1.2000000000000002,48,48,48,48,48,48,1.0508977508849782
L2_physical_endpoint_projection,13,1.3,48,48,48,48,48,48,1.0895573827162872
L2_physical_endpoint_projection,14,1.4000000000000001,48,48,48,48,48,48,1.1375936303817509
L2_physical_endpoint_projection,15,1.5,48,48,48,48,48,48,1.1945015542103494
L2_physical_endpoint_projection,16,1.6,48,48,48,48,48,48,1.2593164363646476
L2_physical_endpoint_projection,17,1.7000000000000002,48,48,48,48,48,48,1.203857766062515
L2_physical_endpoint_projection,18,1.8,48,48,48,48,48,48,1.1488812506039263
L2_physical_endpoint_projection,19,1.9000000000000001,48,48,48,48,48,48,1.1026850635432561
