stage,aten_event_count,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,host_scalar_sync_percent,aten_to_count,aten_to_percent
sin_tm,1192195,104771,104771,104771,74.8300145701797,15742,81.87870591906793
affine_composition,97609,9267,9267,9267,6.618718395566094,1142,5.939873088525954
tora_rhs,29335,1440,1440,1440,1.028483272862326,207,1.076667013419328
remainder_picard_round_01,13953,1425,1425,1425,1.017769905436677,107,0.5565380214293145
remainder_picard_round_02,13953,1425,1425,1425,1.017769905436677,107,0.5565380214293145
remainder_picard_round_03,13953,1425,1425,1425,1.017769905436677,107,0.5565380214293145
remainder_picard_round_04,13953,1425,1425,1425,1.017769905436677,107,0.5565380214293145
remainder_picard_round_05,13953,1425,1425,1425,1.017769905436677,107,0.5565380214293145
remainder_picard_round_06,13953,1425,1425,1425,1.017769905436677,107,0.5565380214293145
remainder_picard_round_07,13953,1425,1425,1425,1.017769905436677,107,0.5565380214293145
remainder_picard_round_08,13953,1425,1425,1425,1.017769905436677,107,0.5565380214293145
remainder_picard_round_09,13953,1425,1425,1425,1.017769905436677,107,0.5565380214293145
remainder_picard_round_10,13953,1425,1425,1425,1.017769905436677,107,0.5565380214293145
initial_remainder_picard,13894,1420,1420,1420,1.0141987829614605,107,0.5565380214293145
polynomial_picard_k1,13765,1401,1401,1401,1.0006285175556382,107,0.5565380214293145
polynomial_picard_k2,13765,1401,1401,1401,1.0006285175556382,107,0.5565380214293145
natural_polynomial_range_picard_roundoff,12718,1310,1310,1310,0.9356340885066994,104,0.5409341516696141
natural_polynomial_range_tube,12730,1310,1310,1310,0.9356340885066994,104,0.5409341516696141
composed_exact_endpoint_substitution,14675,1130,1130,1130,0.8070736793989086,145,0.7541870383855196
endpoint_projection,14876,1129,1129,1129,0.8063594549038654,145,0.7541870383855196
exact_endpoint_substitution,14669,1129,1129,1129,0.8063594549038654,145,0.7541870383855196
full_q3_step,341,25,25,25,0.01785561237608205,3,0.015603869759700406
final_acceptance_property_decision,3641,15,15,15,0.01071336742564923,49,0.25486320607510665
unscoped,3556,13,13,13,0.009284918435562665,49,0.25486320607510665
composed_acceptance_property_decision,75,1,1,1,0.000714224495043282,0,0.0
