stage,source_callsite,input_shapes,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,percent_of_total_host_sync
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:3269:_sound_mul_tm,[[]],13,13,13,16.883116883116884
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:3375:sin_tm,[[]],13,13,13,16.883116883116884
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:3269:_sound_mul_tm,[[]],2,2,2,2.5974025974025974
affine_composition,src/torch_tm_flowpipe/tora_q3.py:198:compose_tora_q3_tm,[[]],2,2,2,2.5974025974025974
initial_remainder_picard,src/torch_tm_flowpipe/tora_q3.py:847:_zero_exact_held_remainder,[[]],2,2,2,2.5974025974025974
remainder_picard_round_01,src/torch_tm_flowpipe/tora_q3.py:847:_zero_exact_held_remainder,[[]],2,2,2,2.5974025974025974
remainder_picard_round_02,src/torch_tm_flowpipe/tora_q3.py:847:_zero_exact_held_remainder,[[]],2,2,2,2.5974025974025974
remainder_picard_round_03,src/torch_tm_flowpipe/tora_q3.py:847:_zero_exact_held_remainder,[[]],2,2,2,2.5974025974025974
remainder_picard_round_04,src/torch_tm_flowpipe/tora_q3.py:847:_zero_exact_held_remainder,[[]],2,2,2,2.5974025974025974
remainder_picard_round_05,src/torch_tm_flowpipe/tora_q3.py:847:_zero_exact_held_remainder,[[]],2,2,2,2.5974025974025974
remainder_picard_round_06,src/torch_tm_flowpipe/tora_q3.py:847:_zero_exact_held_remainder,[[]],2,2,2,2.5974025974025974
remainder_picard_round_07,src/torch_tm_flowpipe/tora_q3.py:847:_zero_exact_held_remainder,[[]],2,2,2,2.5974025974025974
remainder_picard_round_08,src/torch_tm_flowpipe/tora_q3.py:847:_zero_exact_held_remainder,[[]],2,2,2,2.5974025974025974
remainder_picard_round_09,src/torch_tm_flowpipe/tora_q3.py:847:_zero_exact_held_remainder,[[]],2,2,2,2.5974025974025974
remainder_picard_round_10,src/torch_tm_flowpipe/tora_q3.py:847:_zero_exact_held_remainder,[[]],2,2,2,2.5974025974025974
full_q3_step,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],2,2,2,2.5974025974025974
remainder_picard_round_01,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],2,2,2,2.5974025974025974
remainder_picard_round_02,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],2,2,2,2.5974025974025974
remainder_picard_round_03,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],2,2,2,2.5974025974025974
remainder_picard_round_04,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],2,2,2,2.5974025974025974
remainder_picard_round_05,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],2,2,2,2.5974025974025974
remainder_picard_round_06,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],2,2,2,2.5974025974025974
remainder_picard_round_07,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],2,2,2,2.5974025974025974
remainder_picard_round_08,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],2,2,2,2.5974025974025974
remainder_picard_round_09,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],2,2,2,2.5974025974025974
remainder_picard_round_10,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],2,2,2,2.5974025974025974
unscoped,src/torch_tm_flowpipe/batched_dense_tm.py:136:dense_validation_batch,[[]],1,1,1,1.2987012987012987
composed_acceptance_property_decision,src/torch_tm_flowpipe/tora_q3.py:361:compose_tora_q3_step,[[]],1,1,1,1.2987012987012987
final_acceptance_property_decision,src/torch_tm_flowpipe/tora_q3.py:872:dense_tora_q3_dr_step,[[]],1,1,1,1.2987012987012987
