stage,source_callsite,input_shapes,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,percent_of_total_host_sync
sin_tm,<stack-unavailable>:0:unknown,[[]],26,26,26,33.76623376623377
remainder_picard_round_01,<stack-unavailable>:0:unknown,[[]],4,4,4,5.194805194805195
remainder_picard_round_02,<stack-unavailable>:0:unknown,[[]],4,4,4,5.194805194805195
remainder_picard_round_03,<stack-unavailable>:0:unknown,[[]],4,4,4,5.194805194805195
remainder_picard_round_04,<stack-unavailable>:0:unknown,[[]],4,4,4,5.194805194805195
remainder_picard_round_05,<stack-unavailable>:0:unknown,[[]],4,4,4,5.194805194805195
remainder_picard_round_06,<stack-unavailable>:0:unknown,[[]],4,4,4,5.194805194805195
remainder_picard_round_07,<stack-unavailable>:0:unknown,[[]],4,4,4,5.194805194805195
remainder_picard_round_08,<stack-unavailable>:0:unknown,[[]],4,4,4,5.194805194805195
remainder_picard_round_09,<stack-unavailable>:0:unknown,[[]],4,4,4,5.194805194805195
remainder_picard_round_10,<stack-unavailable>:0:unknown,[[]],4,4,4,5.194805194805195
affine_composition,<stack-unavailable>:0:unknown,[[]],4,4,4,5.194805194805195
initial_remainder_picard,<stack-unavailable>:0:unknown,[[]],2,2,2,2.5974025974025974
full_q3_step,<stack-unavailable>:0:unknown,[[]],2,2,2,2.5974025974025974
final_acceptance_property_decision,<stack-unavailable>:0:unknown,[[]],1,1,1,1.2987012987012987
composed_acceptance_property_decision,<stack-unavailable>:0:unknown,[[]],1,1,1,1.2987012987012987
unscoped,<stack-unavailable>:0:unknown,[[]],1,1,1,1.2987012987012987
