stage,source_callsite,input_shapes,aten_to_count,percent_of_total_aten_to
sin_tm,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",6552,53.98368624866112
sin_tm,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",2535,20.8865452747796
sin_tm,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",949,7.819065666968773
affine_composition,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",576,4.745818571310868
tora_rhs,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",181,1.4913075718876163
sin_tm,<stack-unavailable>:0:unknown,"[[48,6],[],[],[],[],[]]",130,1.0711048858861334
sin_tm,<stack-unavailable>:0:unknown,"[[48,1],[],[],[],[],[]]",129,1.062865617533163
affine_composition,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",74,0.6097058581197989
exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",60,0.4943561011782154
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",60,0.4943561011782154
endpoint_projection,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",60,0.4943561011782154
polynomial_picard_k1,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
polynomial_picard_k2,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
initial_remainder_picard,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
remainder_picard_round_01,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
remainder_picard_round_02,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
remainder_picard_round_03,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
remainder_picard_round_04,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
remainder_picard_round_05,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
remainder_picard_round_06,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
remainder_picard_round_07,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
remainder_picard_round_08,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
remainder_picard_round_09,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
remainder_picard_round_10,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",38,0.31309219741286975
natural_polynomial_range_picard_roundoff,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",36,0.29661366070692924
natural_polynomial_range_tube,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",36,0.29661366070692924
final_acceptance_property_decision,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",30,0.2471780505891077
unscoped,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",30,0.2471780505891077
sin_tm,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",13,0.10711048858861333
exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",10,0.08239268352970257
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",10,0.08239268352970257
endpoint_projection,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",10,0.08239268352970257
polynomial_picard_k1,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
polynomial_picard_k2,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
initial_remainder_picard,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
natural_polynomial_range_picard_roundoff,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
remainder_picard_round_01,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
remainder_picard_round_02,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
remainder_picard_round_03,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
remainder_picard_round_04,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
remainder_picard_round_05,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
remainder_picard_round_06,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
remainder_picard_round_07,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
remainder_picard_round_08,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
remainder_picard_round_09,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
remainder_picard_round_10,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
natural_polynomial_range_tube,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",6,0.049435610117821535
affine_composition,<stack-unavailable>:0:unknown,"[[48,6],[],[],[],[],[]]",6,0.049435610117821535
final_acceptance_property_decision,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",5,0.041196341764851284
affine_composition,<stack-unavailable>:0:unknown,"[[5],[],[],[],[],[]]",5,0.041196341764851284
unscoped,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",5,0.041196341764851284
exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[84],[],[],[],[]]",3,0.024717805058910768
final_acceptance_property_decision,<stack-unavailable>:0:unknown,"[[84],[],[],[],[]]",3,0.024717805058910768
affine_composition,<stack-unavailable>:0:unknown,"[[21],[],[],[],[],[]]",3,0.024717805058910768
affine_composition,<stack-unavailable>:0:unknown,"[[56],[],[],[],[],[]]",3,0.024717805058910768
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[84],[],[],[],[]]",3,0.024717805058910768
unscoped,<stack-unavailable>:0:unknown,"[[84],[],[],[],[]]",3,0.024717805058910768
endpoint_projection,<stack-unavailable>:0:unknown,"[[84],[],[],[],[]]",3,0.024717805058910768
full_q3_step,<stack-unavailable>:0:unknown,"[[48,5],[],[],[],[],[]]",2,0.016478536705940513
exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[48,5],[],[],[],[],[]]",2,0.016478536705940513
final_acceptance_property_decision,<stack-unavailable>:0:unknown,"[[48,5],[],[],[],[],[]]",2,0.016478536705940513
affine_composition,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",2,0.016478536705940513
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[48,5],[],[],[],[],[]]",2,0.016478536705940513
unscoped,<stack-unavailable>:0:unknown,"[[48,5],[],[],[],[],[]]",2,0.016478536705940513
endpoint_projection,<stack-unavailable>:0:unknown,"[[48,5],[],[],[],[],[]]",2,0.016478536705940513
full_q3_step,<stack-unavailable>:0:unknown,"[[5],[],[],[],[],[]]",1,0.008239268352970256
exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",1,0.008239268352970256
exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[84,6],[],[],[],[],[],[],[]]",1,0.008239268352970256
exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",1,0.008239268352970256
final_acceptance_property_decision,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",1,0.008239268352970256
final_acceptance_property_decision,<stack-unavailable>:0:unknown,"[[84,6],[],[],[],[],[],[],[]]",1,0.008239268352970256
final_acceptance_property_decision,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",1,0.008239268352970256
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",1,0.008239268352970256
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[84,6],[],[],[],[],[],[],[]]",1,0.008239268352970256
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",1,0.008239268352970256
unscoped,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",1,0.008239268352970256
unscoped,<stack-unavailable>:0:unknown,"[[84,6],[],[],[],[],[],[],[]]",1,0.008239268352970256
unscoped,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",1,0.008239268352970256
endpoint_projection,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",1,0.008239268352970256
endpoint_projection,<stack-unavailable>:0:unknown,"[[84,6],[],[],[],[],[],[],[]]",1,0.008239268352970256
endpoint_projection,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",1,0.008239268352970256
