stage,aten_event_count,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,host_scalar_sync_percent,aten_to_count,aten_to_percent
sin_tm,241426,26,26,26,9.66542750929368,7670,80.73684210526316
remainder_picard_round_01,1945,20,20,20,7.434944237918216,54,0.5684210526315789
remainder_picard_round_02,1945,20,20,20,7.434944237918216,54,0.5684210526315789
remainder_picard_round_03,1945,20,20,20,7.434944237918216,54,0.5684210526315789
remainder_picard_round_04,1945,20,20,20,7.434944237918216,54,0.5684210526315789
remainder_picard_round_05,1945,20,20,20,7.434944237918216,54,0.5684210526315789
remainder_picard_round_06,1945,20,20,20,7.434944237918216,54,0.5684210526315789
remainder_picard_round_07,1945,20,20,20,7.434944237918216,54,0.5684210526315789
remainder_picard_round_08,1945,20,20,20,7.434944237918216,54,0.5684210526315789
remainder_picard_round_09,1945,20,20,20,7.434944237918216,54,0.5684210526315789
remainder_picard_round_10,1945,20,20,20,7.434944237918216,54,0.5684210526315789
initial_remainder_picard,1895,18,18,18,6.691449814126394,54,0.5684210526315789
affine_composition,14221,5,5,5,1.858736059479554,669,7.042105263157895
final_acceptance_property_decision,3518,4,4,4,1.486988847583643,43,0.45263157894736844
unscoped,14735,4,4,4,1.486988847583643,43,0.45263157894736844
composed_exact_endpoint_substitution,4300,3,3,3,1.1152416356877324,78,0.8210526315789474
endpoint_projection,4504,3,3,3,1.1152416356877324,78,0.8210526315789474
exact_endpoint_substitution,4297,3,3,3,1.1152416356877324,78,0.8210526315789474
full_q3_step,300,2,2,2,0.7434944237918215,3,0.031578947368421054
composed_acceptance_property_decision,75,1,1,1,0.37174721189591076,0,0.0
polynomial_picard_k1,1713,0,0,0,0.0,54,0.5684210526315789
polynomial_picard_k2,1713,0,0,0,0.0,54,0.5684210526315789
tora_rhs,19325,0,0,0,0.0,52,0.5473684210526316
natural_polynomial_range_picard_roundoff,999,0,0,0,0.0,42,0.4421052631578947
natural_polynomial_range_tube,1011,0,0,0,0.0,42,0.4421052631578947
