operator,event_count,self_cpu_time_us,most_common_input_shapes,most_common_input_shapes_count
aten::as_strided,53136,40766.51700003632,"[[48],[],[],[]]",20216
aten::empty_strided,22982,135470.78299997945,"[[],[],[],[],[],[]]",22982
aten::fill_,21281,107836.62100001768,"[[48,1],[]]",12160
aten::empty_like,20781,51784.53500000007,"[[48,1],[],[],[],[],[]]",12168
aten::unsqueeze,16566,24347.317999959105,"[[48],[]]",10360
aten::full_like,16160,43901.65500002053,"[[48,1],[],[],[],[],[],[]]",10114
aten::nextafter,16158,150351.21999997104,"[[48,1],[48,1]]",10114
aten::mul,12669,110906.55799997896,"[[48,1],[48,1]]",5919
aten::abs,10986,57637.19699998698,[[48]],4558
aten::empty,10400,46026.664999999215,"[[],[],[],[],[],[]]",10400
aten::resize_,10026,35641.89900000246,"[[0],[],[]]",10026
aten::to,9500,2066.3560000022917,"[[48],[],[],[],[]]",8064
aten::pow,8069,89563.09199999938,"[[48],[]]",8064
aten::result_type,8064,1605.9599999932761,"[[48],[]]",8064
aten::cat,7147,87360.21400000766,"[[],[]]",7147
aten::stack,6916,50997.31300002116,"[[],[]]",6916
aten::le,6708,68365.50900001258,"[[48,1],[48,1]]",2674
aten::select,6347,20855.072000024094,"[[48,6],[],[]]",2226
aten::all,5740,83601.01099999763,"[[48,1]]",2771
aten::copy_,5416,31057.05499999542,"[[48],[48],[]]",2286
aten::slice,5174,17710.839999993754,"[[48,6],[],[],[],[]]",2266
aten::view,4802,7002.473000005896,"[[96],[]]",2456
aten::min,4639,98454.73800000249,"[[2,48],[],[]]",2456
aten::max,4639,94962.78999999721,"[[2,48],[],[]]",2456
aten::add,3699,33085.29399998778,"[[48,1],[48,1],[]]",2457
aten::div,3369,33787.536000003485,"[[48,1],[]]",3354
aten::zero_,3249,9220.513999996809,"[[48,1]]",1937
aten::zeros_like,3150,7619.657000020204,"[[48,1],[],[],[],[],[]]",1937
aten::index_select,2592,30741.522999998808,"[[48,4],[],[84]]",1680
aten::__and__,2542,3890.7170000070328,"[[48],[48]]",1149
aten::bitwise_and,2542,24814.01700000308,"[[48],[48]]",1149
aten::ge,2493,36280.04699998935,"[[48],[]]",1138
aten::clone,2117,8786.372999993042,"[[48,1],[]]",1190
aten::where,1803,23161.7269999982,"[[48],[48],[48]]",1576
aten::neg,1797,14887.823000006527,"[[48,1]]",1781
aten::maximum,1757,15997.58199999726,"[[48],[48]]",1138
aten::ones_like,1431,3684.366999994443,"[[48],[],[],[],[],[]]",1138
aten::minimum,1407,13439.890999993957,"[[48],[48]]",1138
aten::clamp,1138,15578.677999998727,"[[84],[],[]]",840
aten::sub,502,4725.179000003292,"[[48,1],[48,1],[]]",247
aten::sum,431,6644.1519999954835,"[[48,1,84],[],[],[]]",260
aten::eq,425,3940.7599999988847,"[[48,1],[48,1]]",195
aten::lift_fresh,314,60.50900000088586,[[]],297
aten::isfinite,304,2292.379000000776,"[[48,1]]",195
aten::ne,304,3390.799999997989,"[[48,1],[]]",195
aten::item,269,535.5530000029612,[[]],269
aten::_local_scalar_dense,269,319.7439999979688,[[]],269
aten::ones,206,975.3239999993384,"[[],[],[],[],[]]",206
aten::arange,206,1117.106000001404,"[[],[],[],[],[]]",103
aten::_to_copy,124,739.9390000078711,"[[],[],[],[],[],[],[]]",72
aten::expand,110,485.72100000071805,"[[],[],[]]",31
aten::zeros,99,352.7439999991766,"[[],[],[],[],[]]",99
aten::expand_as,78,151.0930000002263,"[[1,1,455],[48,1,455]]",26
aten::scatter_add_,78,1207.3079999949477,"[[48,1,84],[],[48,1,455],[48,1,455]]",39
aten::reshape,46,52.5279999980703,"[[1],[]]",15
aten::index_put_,41,115.22999999998137,"[[48,84],[],[48,21],[]]",12
aten::_index_put_impl_,41,605.3619999941438,"[[48,84],[],[48,21],[],[]]",12
aten::nonzero,35,1175.1150000011548,[[84]],30
aten::t,35,45.972999997437,"[[1,1]]",15
aten::transpose,35,90.52399999881163,"[[1,1],[],[]]",15
aten::set_,35,186.24600000074133,"[[1,1],[1,1]]",15
aten::bincount,15,396.57100000290666,"[[455],[],[]]",15
aten::rsub,15,70.60999999963678,"[[84],[],[]]",15
aten::__iand__,12,24.099999999313695,"[[48,5],[48,5]]",10
aten::bitwise_and_,12,116.31700000059527,"[[48,5],[48,5]]",10
aten::__ior__,7,13.440999999459564,"[[56],[56]]",5
aten::bitwise_or_,7,61.0120000005586,"[[56],[56]]",5
aten::detach,5,10.328999999444932,"[[84,6]]",5
aten::resolve_conj,5,1.6810000003315508,"[[84,6]]",5
aten::resolve_neg,5,1.0440000002272427,"[[84,6]]",5
aten::index,5,103.56200000131503,"[[48,5,56],[]]",5
aten::squeeze,5,21.080999999307096,"[[48,5,1],[]]",5
aten::is_nonzero,4,6.984000000171363,[[]],4
aten::isclose,2,56.004000000000815,"[[48],[48],[],[],[]]",2
aten::bmm,2,77.62100000027567,"[[48,5,84],[48,84,84]]",2
aten::detach_,1,2.3650000000488944,[[5]],1
aten::broadcast_tensors,1,1.5119999999878928,[[]],1
