stage,source_callsite,input_shapes,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,percent_of_total_host_sync
initial_remainder_picard,src/torch_tm_flowpipe/tora_q3.py:824:_zero_exact_held_remainder,[[]],18,18,18,6.691449814126394
remainder_picard_round_01,src/torch_tm_flowpipe/tora_q3.py:824:_zero_exact_held_remainder,[[]],18,18,18,6.691449814126394
remainder_picard_round_02,src/torch_tm_flowpipe/tora_q3.py:824:_zero_exact_held_remainder,[[]],18,18,18,6.691449814126394
remainder_picard_round_03,src/torch_tm_flowpipe/tora_q3.py:824:_zero_exact_held_remainder,[[]],18,18,18,6.691449814126394
remainder_picard_round_04,src/torch_tm_flowpipe/tora_q3.py:824:_zero_exact_held_remainder,[[]],18,18,18,6.691449814126394
remainder_picard_round_05,src/torch_tm_flowpipe/tora_q3.py:824:_zero_exact_held_remainder,[[]],18,18,18,6.691449814126394
remainder_picard_round_06,src/torch_tm_flowpipe/tora_q3.py:824:_zero_exact_held_remainder,[[]],18,18,18,6.691449814126394
remainder_picard_round_07,src/torch_tm_flowpipe/tora_q3.py:824:_zero_exact_held_remainder,[[]],18,18,18,6.691449814126394
remainder_picard_round_08,src/torch_tm_flowpipe/tora_q3.py:824:_zero_exact_held_remainder,[[]],18,18,18,6.691449814126394
remainder_picard_round_09,src/torch_tm_flowpipe/tora_q3.py:824:_zero_exact_held_remainder,[[]],18,18,18,6.691449814126394
remainder_picard_round_10,src/torch_tm_flowpipe/tora_q3.py:824:_zero_exact_held_remainder,[[]],18,18,18,6.691449814126394
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:3036:_sound_mul_tm,[[]],13,13,13,4.83271375464684
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:3142:sin_tm,[[]],13,13,13,4.83271375464684
exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:2692:endpoint,[[]],3,3,3,1.1152416356877324
final_acceptance_property_decision,src/torch_tm_flowpipe/batched_dense_tm.py:2692:endpoint,[[]],3,3,3,1.1152416356877324
composed_exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:2692:endpoint,[[]],3,3,3,1.1152416356877324
unscoped,src/torch_tm_flowpipe/batched_dense_tm.py:2692:endpoint,[[]],3,3,3,1.1152416356877324
endpoint_projection,src/torch_tm_flowpipe/batched_dense_tm.py:2692:endpoint,[[]],3,3,3,1.1152416356877324
affine_composition,src/torch_tm_flowpipe/tora_q3.py:193:compose_tora_q3_tm,[[]],3,3,3,1.1152416356877324
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:3036:_sound_mul_tm,[[]],2,2,2,0.7434944237918215
full_q3_step,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],2,2,2,0.7434944237918215
remainder_picard_round_01,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],2,2,2,0.7434944237918215
remainder_picard_round_02,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],2,2,2,0.7434944237918215
remainder_picard_round_03,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],2,2,2,0.7434944237918215
remainder_picard_round_04,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],2,2,2,0.7434944237918215
remainder_picard_round_05,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],2,2,2,0.7434944237918215
remainder_picard_round_06,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],2,2,2,0.7434944237918215
remainder_picard_round_07,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],2,2,2,0.7434944237918215
remainder_picard_round_08,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],2,2,2,0.7434944237918215
remainder_picard_round_09,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],2,2,2,0.7434944237918215
remainder_picard_round_10,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],2,2,2,0.7434944237918215
unscoped,src/torch_tm_flowpipe/batched_dense_tm.py:99:dense_validation_batch,[[]],1,1,1,0.37174721189591076
composed_acceptance_property_decision,src/torch_tm_flowpipe/tora_q3.py:358:compose_tora_q3_step,[[]],1,1,1,0.37174721189591076
final_acceptance_property_decision,src/torch_tm_flowpipe/tora_q3.py:849:dense_tora_q3_dr_step,[[]],1,1,1,0.37174721189591076
