stage,source_callsite,input_shapes,aten_to_count,percent_of_total_aten_to
tora_rhs,src/torch_tm_flowpipe/batched_dense_tm.py:2434:constants_like,"[[],[],[],[],[],[]]",26,32.5
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:287:_to_layout,"[[84],[],[],[],[],[]]",13,16.25
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:3062:_sound_mul_tm,"[[],[],[],[],[],[],[],[]]",13,16.25
affine_composition,src/torch_tm_flowpipe/tora_q3.py:193:compose_tora_q3_tm,"[[5],[],[],[],[],[]]",5,6.25
affine_composition,src/torch_tm_flowpipe/tora_q3.py:193:compose_tora_q3_tm,"[[21],[],[],[],[],[]]",3,3.75
affine_composition,src/torch_tm_flowpipe/tora_q3.py:193:compose_tora_q3_tm,"[[56],[],[],[],[],[]]",3,3.75
full_q3_step,src/torch_tm_flowpipe/batched_dense_tm.py:2518:with_remainder,"[[48,5],[],[],[],[],[]]",2,2.5
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:287:_to_layout,"[[84],[],[],[],[],[]]",2,2.5
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:3062:_sound_mul_tm,"[[],[],[],[],[],[],[],[]]",2,2.5
exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:2714:endpoint,"[[],[],[],[],[],[]]",1,1.25
exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:2714:endpoint,"[[84],[],[],[],[],[]]",1,1.25
final_acceptance_property_decision,src/torch_tm_flowpipe/batched_dense_tm.py:2714:endpoint,"[[],[],[],[],[],[]]",1,1.25
final_acceptance_property_decision,src/torch_tm_flowpipe/batched_dense_tm.py:2714:endpoint,"[[84],[],[],[],[],[]]",1,1.25
composed_exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:2714:endpoint,"[[],[],[],[],[],[]]",1,1.25
composed_exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:2714:endpoint,"[[84],[],[],[],[],[]]",1,1.25
unscoped,src/torch_tm_flowpipe/batched_dense_tm.py:2714:endpoint,"[[],[],[],[],[],[]]",1,1.25
unscoped,src/torch_tm_flowpipe/batched_dense_tm.py:2714:endpoint,"[[84],[],[],[],[],[]]",1,1.25
endpoint_projection,src/torch_tm_flowpipe/batched_dense_tm.py:2714:endpoint,"[[],[],[],[],[],[]]",1,1.25
endpoint_projection,src/torch_tm_flowpipe/batched_dense_tm.py:2714:endpoint,"[[84],[],[],[],[],[]]",1,1.25
full_q3_step,src/torch_tm_flowpipe/tora_q3.py:847:dense_tora_q3_dr_step,"[[5],[],[],[],[],[]]",1,1.25
