stage,aten_event_count,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,host_scalar_sync_percent,aten_to_count,aten_to_percent
sin_tm,165467,26,26,26,10.276679841897232,26,32.5
remainder_picard_round_01,1837,20,20,20,7.905138339920948,0,0.0
remainder_picard_round_02,1837,20,20,20,7.905138339920948,0,0.0
remainder_picard_round_03,1837,20,20,20,7.905138339920948,0,0.0
remainder_picard_round_04,1837,20,20,20,7.905138339920948,0,0.0
remainder_picard_round_05,1837,20,20,20,7.905138339920948,0,0.0
remainder_picard_round_06,1837,20,20,20,7.905138339920948,0,0.0
remainder_picard_round_07,1837,20,20,20,7.905138339920948,0,0.0
remainder_picard_round_08,1837,20,20,20,7.905138339920948,0,0.0
remainder_picard_round_09,1837,20,20,20,7.905138339920948,0,0.0
remainder_picard_round_10,1837,20,20,20,7.905138339920948,0,0.0
initial_remainder_picard,1787,18,18,18,7.1146245059288535,0,0.0
affine_composition,12916,4,4,4,1.5810276679841897,15,18.75
full_q3_step,300,2,2,2,0.7905138339920948,3,3.75
final_acceptance_property_decision,3415,1,1,1,0.3952569169960474,2,2.5
unscoped,14634,1,1,1,0.3952569169960474,2,2.5
composed_acceptance_property_decision,75,1,1,1,0.3952569169960474,0,0.0
tora_rhs,19169,0,0,0,0.0,26,32.5
composed_exact_endpoint_substitution,4127,0,0,0,0.0,2,2.5
endpoint_projection,4331,0,0,0,0.0,2,2.5
exact_endpoint_substitution,4124,0,0,0,0.0,2,2.5
natural_polynomial_range_picard_roundoff,915,0,0,0,0.0,0,0.0
natural_polynomial_range_tube,927,0,0,0,0.0,0,0.0
polynomial_picard_k1,1605,0,0,0,0.0,0,0.0
polynomial_picard_k2,1605,0,0,0,0.0,0,0.0
