stage,source_callsite,input_shapes,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,percent_of_total_host_sync
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],56550,56550,56550,40.3893951946976
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1072:<listcomp>,[[]],22464,22464,22464,16.044339056652287
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1073:<listcomp>,[[]],22464,22464,22464,16.044339056652287
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],5075,5075,5075,3.624689312344656
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:1072:<listcomp>,[[]],2016,2016,2016,1.4398765820072565
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:1073:<listcomp>,[[]],2016,2016,2016,1.4398765820072565
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],1417,1417,1417,1.0120561094763305
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,[[]],936,936,936,0.668514127360512
tora_rhs,src/torch_tm_flowpipe/batched_dense_tm.py:134:__post_init__,[[]],906,906,906,0.6470873925092135
polynomial_picard_k1,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
polynomial_picard_k2,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
initial_remainder_picard,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
natural_polynomial_range_picard_roundoff,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
remainder_picard_round_01,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
remainder_picard_round_02,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
remainder_picard_round_03,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
remainder_picard_round_04,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
remainder_picard_round_05,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
remainder_picard_round_06,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
remainder_picard_round_07,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
remainder_picard_round_08,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
remainder_picard_round_09,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
remainder_picard_round_10,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
natural_polynomial_range_tube,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],725,725,725,0.5178127589063795
exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,[[]],629,629,629,0.4492472073822244
