stage,source_callsite,input_shapes,aten_to_count,percent_of_total_aten_to
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",6552,34.078851555185686
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",3744,19.473629460106107
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:277:_positive_power_over_factorial,"[[],[],[],[],[],[]]",1716,8.925413502548633
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",936,4.868407365026527
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:264:_interval_div_positive_integer,"[[],[],[],[],[],[]]",819,4.259856444398211
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[84],[],[],[],[],[]]",780,4.057006137522105
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",576,2.995942993862478
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",336,1.7476334130864455
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48,6],[],[],[],[],[],[],[]]",312,1.6228024550088422
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:445:_range_for_terms,"[[48,6],[],[],[],[],[]]",156,0.8114012275044211
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1758:interval_monomial_bounds,"[[48,6],[],[],[],[],[]]",130,0.6761676895870176
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:419:_monomial_interval_bounds_for_exponents,"[[84,6],[],[],[],[],[]]",130,0.6761676895870176
tora_rhs,src/torch_tm_flowpipe/batched_dense_tm.py:251:_interval_scale,"[[],[],[],[],[],[]]",129,0.6709663996671175
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:251:_interval_scale,"[[48,1],[],[],[],[],[]]",103,0.5357328617497139
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48],[],[],[],[],[],[],[]]",78,0.40570061375221056
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[840],[],[],[],[],[]]",78,0.40570061375221056
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[6601],[],[],[],[],[]]",78,0.40570061375221056
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",72,0.37449287423280975
exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",60,0.3120773951940081
composed_exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",60,0.3120773951940081
endpoint_projection,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",60,0.3120773951940081
polynomial_picard_k1,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
polynomial_picard_k2,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
initial_remainder_picard,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
natural_polynomial_range_picard_roundoff,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_01,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_02,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_03,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_04,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_05,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_06,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_07,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_08,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_09,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_10,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
natural_polynomial_range_tube,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[6],[],[],[],[],[]]",48,0.2496619161552065
exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[5],[],[],[],[],[]]",48,0.2496619161552065
composed_exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[5],[],[],[],[],[]]",48,0.2496619161552065
endpoint_projection,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[5],[],[],[],[],[]]",48,0.2496619161552065
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[84],[],[],[],[],[]]",48,0.2496619161552065
polynomial_picard_k1,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
polynomial_picard_k2,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
initial_remainder_picard,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
remainder_picard_round_01,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
remainder_picard_round_02,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
remainder_picard_round_03,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
remainder_picard_round_04,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
remainder_picard_round_05,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
remainder_picard_round_06,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
remainder_picard_round_07,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
remainder_picard_round_08,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
remainder_picard_round_09,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
remainder_picard_round_10,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",38,0.19764901695620513
natural_polynomial_range_picard_roundoff,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",36,0.18724643711640487
natural_polynomial_range_tube,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",36,0.18724643711640487
final_acceptance_property_decision,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",30,0.15603869759700406
unscoped,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[48],[],[],[],[]]",30,0.15603869759700406
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48,6],[],[],[],[],[],[],[]]",28,0.14563611775720378
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1865:add,"[[48,1,84],[],[],[],[],[]]",26,0.13523353791740353
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1875:scale,"[[48,1],[],[],[],[],[]]",26,0.13523353791740353
tora_rhs,src/torch_tm_flowpipe/batched_dense_tm.py:1875:scale,"[[],[],[],[],[],[]]",26,0.13523353791740353
tora_rhs,src/torch_tm_flowpipe/batched_dense_tm.py:2203:constants_like,"[[],[],[],[],[],[]]",26,0.13523353791740353
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:445:_range_for_terms,"[[48,6],[],[],[],[],[]]",14,0.07281805887860189
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1488:_merge_coefficients_by_index,"[[6601],[],[],[],[],[]]",13,0.06761676895870176
tora_rhs,src/torch_tm_flowpipe/batched_dense_tm.py:1865:add,"[[48,1,84],[],[],[],[],[]]",13,0.06761676895870176
tora_rhs,src/torch_tm_flowpipe/batched_dense_tm.py:1870:sub,"[[48,1,84],[],[],[],[],[]]",13,0.06761676895870176
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:1913:mul_trunc,"[[48,1,84],[],[],[],[],[]]",13,0.06761676895870176
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:2800:_sound_mul_tm,"[[],[],[],[],[],[],[],[]]",13,0.06761676895870176
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:2800:_sound_mul_tm,"[[84],[],[],[],[],[]]",13,0.06761676895870176
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:419:_monomial_interval_bounds_for_exponents,"[[840,6],[],[],[],[],[]]",13,0.06761676895870176
sin_tm,src/torch_tm_flowpipe/batched_dense_tm.py:419:_monomial_interval_bounds_for_exponents,"[[6601,6],[],[],[],[],[]]",13,0.06761676895870176
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[840],[],[],[],[],[]]",12,0.062415479038801625
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[6601],[],[],[],[],[]]",12,0.062415479038801625
exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",10,0.05201289919900135
exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",10,0.05201289919900135
composed_exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",10,0.05201289919900135
composed_exact_endpoint_substitution,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",10,0.05201289919900135
endpoint_projection,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",10,0.05201289919900135
endpoint_projection,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",10,0.05201289919900135
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:419:_monomial_interval_bounds_for_exponents,"[[84,6],[],[],[],[],[]]",8,0.041610319359201085
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48],[],[],[],[],[],[],[]]",7,0.036409029439300945
affine_composition,src/torch_tm_flowpipe/batched_dense_tm.py:1758:interval_monomial_bounds,"[[48,6],[],[],[],[],[]]",6,0.031207739519400812
polynomial_picard_k1,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
polynomial_picard_k1,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
polynomial_picard_k2,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
polynomial_picard_k2,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
initial_remainder_picard,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
initial_remainder_picard,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
natural_polynomial_range_picard_roundoff,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[84],[],[],[],[],[]]",6,0.031207739519400812
natural_polynomial_range_picard_roundoff,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_01,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_01,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_02,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_02,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_03,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_03,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_04,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_04,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_05,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_05,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_06,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_06,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_07,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_07,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_08,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_08,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_09,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_09,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_10,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",6,0.031207739519400812
remainder_picard_round_10,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
natural_polynomial_range_tube,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[84],[],[],[],[],[]]",6,0.031207739519400812
natural_polynomial_range_tube,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",6,0.031207739519400812
final_acceptance_property_decision,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",5,0.026006449599500676
final_acceptance_property_decision,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",5,0.026006449599500676
unscoped,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[56],[],[],[],[],[]]",5,0.026006449599500676
unscoped,src/torch_tm_flowpipe/batched_dense_tm.py:386:_power_interval_bounds,"[[],[],[],[],[],[],[],[]]",5,0.026006449599500676
affine_composition,src/torch_tm_flowpipe/tora_q3.py:191:compose_tora_q3_tm,"[[5],[],[],[],[],[]]",5,0.026006449599500676
polynomial_picard_k1,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48,6],[],[],[],[],[],[],[]]",4,0.020805159679600543
polynomial_picard_k2,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48,6],[],[],[],[],[],[],[]]",4,0.020805159679600543
initial_remainder_picard,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48,6],[],[],[],[],[],[],[]]",4,0.020805159679600543
natural_polynomial_range_picard_roundoff,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48,6],[],[],[],[],[],[],[]]",4,0.020805159679600543
remainder_picard_round_01,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48,6],[],[],[],[],[],[],[]]",4,0.020805159679600543
remainder_picard_round_02,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48,6],[],[],[],[],[],[],[]]",4,0.020805159679600543
remainder_picard_round_03,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48,6],[],[],[],[],[],[],[]]",4,0.020805159679600543
remainder_picard_round_04,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48,6],[],[],[],[],[],[],[]]",4,0.020805159679600543
remainder_picard_round_05,src/torch_tm_flowpipe/batched_dense_tm.py:1030:validate_dense_subdivision_cover,"[[48,6],[],[],[],[],[],[],[]]",4,0.020805159679600543
