stage,source_callsite,input_shapes,aten_to_count,percent_of_total_aten_to
sin_tm,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",6552,34.078851555185686
sin_tm,<stack-unavailable>:0:unknown,"[[6],[],[],[],[],[]]",3744,19.473629460106107
sin_tm,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",2535,13.185269946946843
sin_tm,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",949,4.936024133985228
sin_tm,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",793,4.124622906480807
affine_composition,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",576,2.995942993862478
affine_composition,<stack-unavailable>:0:unknown,"[[6],[],[],[],[],[]]",336,1.7476334130864455
sin_tm,<stack-unavailable>:0:unknown,"[[48,6],[],[],[],[],[],[],[]]",312,1.6228024550088422
sin_tm,<stack-unavailable>:0:unknown,"[[48,6],[],[],[],[],[]]",286,1.4875689170914386
tora_rhs,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[]]",181,0.9414334755019245
sin_tm,<stack-unavailable>:0:unknown,"[[84,6],[],[],[],[],[]]",130,0.6761676895870176
sin_tm,<stack-unavailable>:0:unknown,"[[48,1],[],[],[],[],[]]",129,0.6709663996671175
sin_tm,<stack-unavailable>:0:unknown,"[[6601],[],[],[],[],[]]",91,0.4733173827109123
sin_tm,<stack-unavailable>:0:unknown,"[[48],[],[],[],[],[],[],[]]",78,0.40570061375221056
sin_tm,<stack-unavailable>:0:unknown,"[[840],[],[],[],[],[]]",78,0.40570061375221056
affine_composition,<stack-unavailable>:0:unknown,"[[],[],[],[],[],[],[],[]]",74,0.38489545407261
exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",60,0.3120773951940081
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",60,0.3120773951940081
endpoint_projection,<stack-unavailable>:0:unknown,"[[48],[],[],[],[]]",60,0.3120773951940081
affine_composition,<stack-unavailable>:0:unknown,"[[84],[],[],[],[],[]]",50,0.26006449599500675
polynomial_picard_k1,<stack-unavailable>:0:unknown,"[[6],[],[],[],[],[]]",48,0.2496619161552065
polynomial_picard_k2,<stack-unavailable>:0:unknown,"[[6],[],[],[],[],[]]",48,0.2496619161552065
initial_remainder_picard,<stack-unavailable>:0:unknown,"[[6],[],[],[],[],[]]",48,0.2496619161552065
natural_polynomial_range_picard_roundoff,<stack-unavailable>:0:unknown,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_01,<stack-unavailable>:0:unknown,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_02,<stack-unavailable>:0:unknown,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_03,<stack-unavailable>:0:unknown,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_04,<stack-unavailable>:0:unknown,"[[6],[],[],[],[],[]]",48,0.2496619161552065
remainder_picard_round_05,<stack-unavailable>:0:unknown,"[[6],[],[],[],[],[]]",48,0.2496619161552065
