term_id,route_index,stable_call_hash,exponent_tuple,degree,coefficient_decimal,coefficient_hex,term_range_lower_decimal,term_range_lower_hex,term_range_upper_decimal,term_range_upper_hex,left_parent_id,right_parent_id,source_class,first_truncated_step,first_intervalization_operation
call44-discarded-route:05992c4d18fe42d0de8983c5,0,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[0,0,4]",4,0.50628567143890335,0x1.0337e02286e85p-1,-9.8813129168249309e-324,-0x0.0000000000002p-1022,8.7291875769145937e-11,0x1.7fe9ea301c249p-34,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:c31ca0fcdfe03d2db4f7802d,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:57b520cb854a3d18250478fb,1,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[0,1,3]",4,-6.3338485554760489,-0x1.955dc654e588cp+2,-3.0137090143277491e-07,-0x1.439833dd9262fp-22,3.0137090143277491e-07,0x1.439833dd9262fp-22,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:642c8350e0e8d01e069adbfb,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:92eeb7a3cb573fca4021ec05,2,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[0,2,2]",4,-0.72680770936254968,-0x1.742023dc62b9dp-1,-9.5435207042723718e-06,-0x1.403a37f7f2099p-17,9.8813129168249309e-324,0x0.0000000000002p-1022,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:ef39f880c4251684b811c6df,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:3c0367a15d8782d0331b18e0,3,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[0,3,1]",4,0,0x0.0p+0,-4.9406564584124654e-324,-0x0.0000000000001p-1022,4.9406564584124654e-324,0x0.0000000000001p-1022,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:b6d2ac845fb9de76cab40e83,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:bbbc90f929192ec9a58bad0d,4,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[0,4,0]",4,0,0x0.0p+0,-4.9406564584124654e-324,-0x0.0000000000001p-1022,4.9406564584124654e-324,0x0.0000000000001p-1022,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:96b903635a9ac2a1dd0dc4de,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:89429d8dbf07deb82a0e35a3,5,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[1,0,3]",4,1.6193517715426597,0x1.9e8dd6737ed1bp+0,-7.7050390272536693e-08,-0x1.4aedccceb8ecap-24,7.7050390272536693e-08,0x1.4aedccceb8ecap-24,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:e95280f53e75f630ae3fa6d7,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:0608b60547e490d667df7ebf,6,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[1,1,2]",4,-3.0703602945528652,-0x1.890190ee054f5p+1,-4.0316092775543885e-05,-0x1.5232266587ca5p-15,4.0316092775543885e-05,0x1.5232266587ca5p-15,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:dd88d17a75be37f8b1936b80,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:8073323cf8c7df7c62c0cfa9,7,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[1,2,1]",4,0,0x0.0p+0,-4.9406564584124654e-324,-0x0.0000000000001p-1022,4.9406564584124654e-324,0x0.0000000000001p-1022,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:442111b8aab29e7f186653d3,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:113569d1f98e75318ee7c8b7,8,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[1,3,0]",4,0,0x0.0p+0,-4.9406564584124654e-324,-0x0.0000000000001p-1022,4.9406564584124654e-324,0x0.0000000000001p-1022,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:f7b71ceb64a8bb085492d14f,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:22c927cf2c4abb713718acdf,9,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[2,0,2]",4,0.30150387123885186,0x1.34bd6e4a5a61dp-2,-9.8813129168249309e-324,-0x0.0000000000002p-1022,3.9589679643187876e-06,0x1.09ae8d3e382e4p-18,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:405a58c5ef187c64dcbf909b,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:a50723d69cc650013374dea3,10,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[2,1,1]",4,-0.38448630324277161,-0x1.89b6c708c0257p-2,-0.0013932383513703857,-0x1.6d3aa49e617d0p-10,0.0013932383513703857,0x1.6d3aa49e617d0p-10,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:382cd594748b6900eabbc2b8,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:ffda638f8af9388fd050eeec,11,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[2,2,0]",4,0,0x0.0p+0,-4.9406564584124654e-324,-0x0.0000000000001p-1022,4.9406564584124654e-324,0x0.0000000000001p-1022,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:f16c307045648f43cde94143,current_state_polynomial,307,call44_polynomial_truncation_range
call44-discarded-route:3a4dd3fb7dc75aeda80ce19e,12,b7613d231be82bea5afc477540342cfa04ee17a6448d7bfb5921dc70ae341a9d,"[3,0,1]",4,0,0x0.0p+0,-4.9406564584124654e-324,-0x0.0000000000001p-1022,4.9406564584124654e-324,0x0.0000000000001p-1022,x-square-cutoff:c9252ef94be0b41c4887737d,candidate-y:228ba1d3d6b8c0a58301df46,current_state_polynomial,307,call44_polynomial_truncation_range
