context,cover_validation_s,coverage_valid,depth,device,fallback_reason,finite,horner,horner_hi,horner_lo,horner_range_s,horner_stage_count,horner_stage_sha256,horner_validated,horner_width,hull_s,lane,leaf_count,leaf_counts,leaf_evaluation_s,method_requested,method_used,natural_hi,natural_lo,natural_range_s,natural_validated,natural_width,phase,phase_group,range_attribution_s,range_call_index,selected_hi,selected_lo,selected_width,selection_s,split_variables,tightened_hi,tightened_lo,tightened_width,wall_s
polynomial_truncation,0.0004231473430991173,True,0,cpu,,True,"{""fallback_reason"": ""Horner not requested for this named context"", ""orders"": [], ""requested"": false, ""requested_orders"": [], ""validated"": false}",[[2.225073858507202e-308]],[[-2.225073858507202e-308]],0.0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,[[4.450147717014404e-308]],0.0,A0_natural,1,[1],0.0,natural,natural,[[2.225073858507202e-308]],[[-2.225073858507202e-308]],0.001430528238415718,True,[[4.450147717014404e-308]],polynomial_range,attribution,0.0018990430980920792,0,[[2.225073858507202e-308]],[[-2.225073858507202e-308]],[[4.450147717014404e-308]],0.0,[[]],[[2.225073858507202e-308]],[[-2.225073858507202e-308]],[[4.450147717014404e-308]],0.0018990430980920792
poly_times_remainder,0.0003229845315217972,True,0,cpu,,True,"{""fallback_reason"": ""Horner not requested for this named context"", ""orders"": [], ""requested"": false, ""requested_orders"": [], ""validated"": false}",[[1.3784916034151118]],[[-0.13366032117015292]],0.0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,[[1.5121519245852646]],0.0,A0_natural,1,[1],0.0,natural,natural,[[1.3784916034151118]],[[-0.13366032117015292]],0.0008952151983976364,True,[[1.5121519245852646]],polynomial_range,attribution,0.0012600841000676155,1,[[1.3784916034151118]],[[-0.13366032117015292]],[[1.5121519245852646]],0.0,[[]],[[1.3784916034151118]],[[-0.13366032117015292]],[[1.5121519245852646]],0.0012600841000676155
remainder_times_poly,0.00031572673469781876,True,0,cpu,,True,"{""fallback_reason"": ""Horner not requested for this named context"", ""orders"": [], ""requested"": false, ""requested_orders"": [], ""validated"": false}",[[1.3784916034151118]],[[-0.13366032117015292]],0.0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,[[1.5121519245852646]],0.0,A0_natural,1,[1],0.0,natural,natural,[[1.3784916034151118]],[[-0.13366032117015292]],0.0008636647835373878,True,[[1.5121519245852646]],polynomial_range,attribution,0.001222069375216961,2,[[1.3784916034151118]],[[-0.13366032117015292]],[[1.5121519245852646]],0.0,[[]],[[1.3784916034151118]],[[-0.13366032117015292]],[[1.5121519245852646]],0.001222069375216961
polynomial_truncation,0.00030934810638427734,True,0,cpu,,True,"{""fallback_reason"": ""Horner not requested for this named context"", ""orders"": [], ""requested"": false, ""requested_orders"": [], ""validated"": false}",[[2.225073858507202e-308]],[[-2.225073858507202e-308]],0.0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,[[4.450147717014404e-308]],0.0,A0_natural,1,[1],0.0,natural,natural,[[2.225073858507202e-308]],[[-2.225073858507202e-308]],0.0011062053963541985,True,[[4.450147717014404e-308]],polynomial_range,attribution,0.0014585675671696663,3,[[2.225073858507202e-308]],[[-2.225073858507202e-308]],[[4.450147717014404e-308]],0.0,[[]],[[2.225073858507202e-308]],[[-2.225073858507202e-308]],[[4.450147717014404e-308]],0.0014585675671696663
poly_times_remainder,0.0002954695373773575,True,0,cpu,,True,"{""fallback_reason"": ""Horner not requested for this named context"", ""orders"": [], ""requested"": false, ""requested_orders"": [], ""validated"": false}",[[1.900239100685933]],[[-0.5537857793014239]],0.0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,[[2.4540248799873567]],0.0,A0_natural,1,[1],0.0,natural,natural,[[1.900239100685933]],[[-0.5537857793014239]],0.0008525969460606575,True,[[2.4540248799873567]],polynomial_range,attribution,0.0011908290907740593,4,[[1.900239100685933]],[[-0.5537857793014239]],[[2.4540248799873567]],0.0,[[]],[[1.900239100685933]],[[-0.5537857793014239]],[[2.4540248799873567]],0.0011908290907740593
remainder_times_poly,0.0003022262826561928,True,0,cpu,,True,"{""fallback_reason"": ""Horner not requested for this named context"", ""orders"": [], ""requested"": false, ""requested_orders"": [], ""validated"": false}",[[4.373732489975402]],[[0.9014183282268264]],0.0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,[[3.4723141617485753]],0.0,A0_natural,1,[1],0.0,natural,natural,[[4.373732489975402]],[[0.9014183282268264]],0.0008519506081938744,True,[[3.4723141617485753]],polynomial_range,attribution,0.0011956077069044113,5,[[4.373732489975402]],[[0.9014183282268264]],[[3.4723141617485753]],0.0,[[]],[[4.373732489975402]],[[0.9014183282268264]],[[3.4723141617485753]],0.0011956077069044113
integration_overflow,0.0002992181107401848,True,0,cpu,,True,"{""fallback_reason"": ""Horner not requested for this named context"", ""orders"": [], ""requested"": false, ""requested_orders"": [], ""validated"": false}","[[2.225073858507202e-308, 2.225073858507202e-308]]","[[-2.225073858507202e-308, -2.225073858507202e-308]]",0.0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,"[[4.450147717014404e-308, 4.450147717014404e-308]]",0.0,A0_natural,1,[1],0.0,natural,natural,"[[2.225073858507202e-308, 2.225073858507202e-308]]","[[-2.225073858507202e-308, -2.225073858507202e-308]]",0.0008873734623193741,True,"[[4.450147717014404e-308, 4.450147717014404e-308]]",polynomial_range,attribution,0.001228461042046547,6,"[[2.225073858507202e-308, 2.225073858507202e-308]]","[[-2.225073858507202e-308, -2.225073858507202e-308]]","[[4.450147717014404e-308, 4.450147717014404e-308]]",0.0,[[]],"[[2.225073858507202e-308, 2.225073858507202e-308]]","[[-2.225073858507202e-308, -2.225073858507202e-308]]","[[4.450147717014404e-308, 4.450147717014404e-308]]",0.001228461042046547
cutoff,0.00029728468507528305,True,0,cpu,,True,"{""fallback_reason"": ""Horner not requested for this named context"", ""orders"": [], ""requested"": false, ""requested_orders"": [], ""validated"": false}","[[2.225073858507202e-308, 2.225073858507202e-308]]","[[-2.225073858507202e-308, -2.225073858507202e-308]]",0.0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,"[[4.450147717014404e-308, 4.450147717014404e-308]]",0.0,A0_natural,1,[1],0.0,natural,natural,"[[2.225073858507202e-308, 2.225073858507202e-308]]","[[-2.225073858507202e-308, -2.225073858507202e-308]]",0.0008746208623051643,True,"[[4.450147717014404e-308, 4.450147717014404e-308]]",polynomial_range,attribution,0.001213444396853447,7,"[[2.225073858507202e-308, 2.225073858507202e-308]]","[[-2.225073858507202e-308, -2.225073858507202e-308]]","[[4.450147717014404e-308, 4.450147717014404e-308]]",0.0,[[]],"[[2.225073858507202e-308, 2.225073858507202e-308]]","[[-2.225073858507202e-308, -2.225073858507202e-308]]","[[4.450147717014404e-308, 4.450147717014404e-308]]",0.001213444396853447
polynomial_truncation,0.00029516033828258514,True,0,cpu,,True,"{""fallback_reason"": ""Horner not requested for this named context"", ""orders"": [], ""requested"": false, ""requested_orders"": [], ""validated"": false}",[[2.225073858507202e-308]],[[-2.225073858507202e-308]],0.0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,[[4.450147717014404e-308]],0.0,A0_natural,1,[1],0.0,natural,natural,[[2.225073858507202e-308]],[[-2.225073858507202e-308]],0.001118374988436699,True,[[4.450147717014404e-308]],polynomial_range,attribution,0.0014551877975463867,8,[[2.225073858507202e-308]],[[-2.225073858507202e-308]],[[4.450147717014404e-308]],0.0,[[]],[[2.225073858507202e-308]],[[-2.225073858507202e-308]],[[4.450147717014404e-308]],0.0014551877975463867
poly_times_remainder,0.00029394589364528656,True,0,cpu,,True,"{""fallback_reason"": ""Horner not requested for this named context"", ""orders"": [], ""requested"": false, ""requested_orders"": [], ""validated"": false}",[[1.3943404172539255]],[[-0.13995152220560306]],0.0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,[[1.5342919394595287]],0.0,A0_natural,1,[1],0.0,natural,natural,[[1.3943404172539255]],[[-0.13995152220560306]],0.0008736466988921165,True,[[1.5342919394595287]],polynomial_range,attribution,0.001209036447107792,9,[[1.3943404172539255]],[[-0.13995152220560306]],[[1.5342919394595287]],0.0,[[]],[[1.3943404172539255]],[[-0.13995152220560306]],[[1.5342919394595287]],0.001209036447107792
