mode,channel,threshold,crossed,step,time,ratio
legacy,endpoint_x,1.1,True,98,0.98,1.1014040574318127
legacy,endpoint_x,1.5,True,343,3.43,1.5017568365688476
legacy,endpoint_x,2.0,True,365,3.65,2.0426370366761484
legacy,endpoint_x,5.0,True,388,3.88,5.140268244542912
legacy,endpoint_y,1.1,True,134,1.34,1.1018456483906447
legacy,endpoint_y,1.5,True,306,3.06,1.5196338559200582
legacy,endpoint_y,2.0,True,315,3.15,2.085105340069018
legacy,endpoint_y,5.0,True,536,5.36,5.012109472110111
legacy,segment_tube_x,1.1,True,100,1.0,1.1011186386824114
legacy,segment_tube_x,1.5,True,349,3.49,1.5022901066777974
legacy,segment_tube_x,2.0,True,368,3.68,2.037292340231183
legacy,segment_tube_x,5.0,True,389,3.89,5.047481911231647
legacy,segment_tube_y,1.1,True,118,1.18,1.1003694160011634
legacy,segment_tube_y,1.5,True,308,3.08,1.5069796507564288
legacy,segment_tube_y,2.0,True,315,3.15,2.049350334830603
legacy,segment_tube_y,5.0,True,575,5.75,5.013208007476718
g1,endpoint_x,1.1,True,98,0.98,1.1011151965520014
g1,endpoint_x,1.5,True,343,3.43,1.50074695769864
g1,endpoint_x,2.0,True,365,3.65,2.040852252881029
g1,endpoint_x,5.0,True,388,3.88,5.133695359522748
g1,endpoint_y,1.1,True,134,1.34,1.1015932456070643
g1,endpoint_y,1.5,True,306,3.06,1.5186087701818651
g1,endpoint_y,2.0,True,315,3.15,2.082871516199566
g1,endpoint_y,5.0,True,536,5.36,5.002276217308078
g1,segment_tube_x,1.1,True,100,1.0,1.1008342695310407
g1,segment_tube_x,1.5,True,349,3.49,1.5013377046883936
g1,segment_tube_x,2.0,True,368,3.68,2.0355593122486724
g1,segment_tube_x,5.0,True,389,3.89,5.041094204936441
g1,segment_tube_y,1.1,True,118,1.18,1.1002037760806875
g1,segment_tube_y,1.5,True,308,3.08,1.5060403265601714
g1,segment_tube_y,2.0,True,315,3.15,2.047261390418129
g1,segment_tube_y,5.0,True,575,5.75,5.002719561371593
g2,endpoint_x,1.1,True,98,0.98,1.101082234530187
g2,endpoint_x,1.5,True,343,3.43,1.5003566330106033
g2,endpoint_x,2.0,True,365,3.65,2.0396851710914263
g2,endpoint_x,5.0,True,388,3.88,5.12799945605395
g2,endpoint_y,1.1,True,134,1.34,1.1015490490922326
g2,endpoint_y,1.5,True,306,3.06,1.5181718789711567
g2,endpoint_y,2.0,True,315,3.15,2.0814729890869197
g2,endpoint_y,5.0,True,537,5.37,5.010023528457768
g2,segment_tube_x,1.1,True,100,1.0,1.1008016171631616
g2,segment_tube_x,1.5,True,349,3.49,1.500901653601866
g2,segment_tube_x,2.0,True,368,3.68,2.034356738327837
g2,segment_tube_x,5.0,True,389,3.89,5.035498471984118
g2,segment_tube_y,1.1,True,118,1.18,1.1001735965053647
g2,segment_tube_y,1.5,True,308,3.08,1.505575743806581
g2,segment_tube_y,2.0,True,315,3.15,2.0459103701999037
g2,segment_tube_y,5.0,True,576,5.76,5.014387339216859
