reset_mode,requested_horizon,schedule,status,completed_horizon,accepted_steps,rejected_steps,runtime_s,peak_rss_bytes,endpoint_x_width,endpoint_y_width,segment_x_width,segment_y_width,fallback_count,message
normalized_insertion,0.1,fixed,completed,0.1,10,0,3.520163808017969,414121984,0.3034700000284669,0.30193021831725253,0.3249974866214651,0.3475033050938747,0,
normalized_insertion_bounded_source_ledger_o4_g1,0.1,fixed,completed,0.1,10,0,5.471304765000241,420679680,0.30347102837539564,0.30195183679067505,0.32499862822814896,0.3475255985275627,0,
normalized_insertion,0.5,fixed,completed,0.5,50,0,20.3090529589972,427388928,0.18538385019478265,0.3963695105821591,0.19015720858695984,0.45184381229891957,0,
normalized_insertion_bounded_source_ledger_o4_g1,0.5,fixed,completed,0.5,50,0,33.37746336800046,432168960,0.18536773866614698,0.3963492718832675,0.19014117517448104,0.45182304681993557,0,
normalized_insertion,1.0,fixed,completed,1.0,100,0,43.190890272002434,445300736,0.08795592352408854,0.11429217453027352,0.09222151766116604,0.12856523859517788,0,
normalized_insertion_bounded_source_ledger_o4_g1,1.0,fixed,completed,1.0,100,0,67.72049698099727,447037440,0.0879321664098851,0.11427955189409278,0.09219770101344604,0.1285521242640359,0,
normalized_insertion,2.0,fixed,completed,2.0,200,0,89.33900755699142,482074624,0.07976224115543862,0.0629540098696969,0.08969934444676753,0.07113170549406578,0,
normalized_insertion_bounded_source_ledger_o4_g1,2.0,fixed,completed,2.0,200,0,125.4612946829875,482201600,0.07972211766900728,0.06292242956882643,0.08965908120687671,0.07109970084543471,0,
normalized_insertion,3.0,fixed,completed,3.0,300,0,129.2162034510111,517357568,0.18725958974064205,0.15586425555328454,0.21273503964284135,0.17276779494517935,0,
normalized_insertion_bounded_source_ledger_o4_g1,3.0,fixed,completed,3.0,300,0,183.58727084600832,518729728,0.1871493507664448,0.15576388608688774,0.21262445032413368,0.17266856705570488,0,
