reset_mode,requested_horizon,schedule,status,completed_horizon,accepted_steps,rejected_steps,runtime_s,peak_rss_bytes,endpoint_x_width,endpoint_y_width,segment_x_width,segment_y_width,fallback_count,message
normalized_insertion,1.0,adaptive,completed,1.0,50,0,21.941750967002008,425938944,0.08860109625965418,0.11505788366805136,0.09287440867300756,0.12939840659711122,0,
normalized_insertion_bounded_source_ledger_o4_g1,1.0,adaptive,completed,1.0,50,0,36.24886022598366,430977024,0.08854954222557221,0.11500541428775679,0.0928225889352412,0.1293438600236581,0,
normalized_insertion,3.0,adaptive,completed,3.0,91,0,41.31391594701563,441602048,0.1931745205590657,0.18107651944399894,0.2569130788562208,0.22718906839012343,0,
normalized_insertion_bounded_source_ledger_o4_g1,3.0,adaptive,completed,3.0,91,0,89.35560970500228,442241024,0.1926649466898181,0.18045906165102243,0.2563965830902602,0.22658018447259698,0,
normalized_insertion,6.0,adaptive,completed,6.0,234,0,104.8757353569963,492744704,0.7644646451215691,1.1161441366695262,0.774733947857494,1.1273554838450843,0,
normalized_insertion_bounded_source_ledger_o4_g1,6.0,adaptive,completed,6.0,232,0,170.75314510401222,494710784,0.7603888249950335,1.1074632397211839,0.7789083078613597,1.1279781732733158,0,
normalized_insertion,6.5,adaptive,failed,6.397083942944808,307,1,141.73419220300275,523264000,1.5122004956501196,3.4726042432149087,1.5209534671329474,3.4763301670059743,0,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002
normalized_insertion_bounded_source_ledger_o4_g1,6.5,adaptive,failed,6.382737816137232,300,1,221.39252740200027,520429568,1.4546574179387737,3.232858106180844,1.4635823621386892,3.237145036386092,0,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002
normalized_insertion,7.5,adaptive,failed,6.397083942944808,307,1,182.51248033798765,524800000,1.5122004956501196,3.4726042432149087,1.5209534671329474,3.4763301670059743,0,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002
normalized_insertion_bounded_source_ledger_o4_g1,7.5,adaptive,failed,6.382737816137232,300,1,220.91365448798751,520241152,1.4546574179387737,3.232858106180844,1.4635823621386892,3.237145036386092,0,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002
normalized_insertion,10.0,adaptive,failed,6.397083942944808,307,1,138.08444483601488,524877824,1.5122004956501196,3.4726042432149087,1.5209534671329474,3.4763301670059743,0,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002
normalized_insertion_bounded_source_ledger_o4_g1,10.0,adaptive,failed,6.382737816137232,300,1,220.71932628299692,520937472,1.4546574179387737,3.232858106180844,1.4635823621386892,3.237145036386092,0,Flowstar raw remainder compat residual not subset of target remainder; minimum step reached before h_min=0.002
